[37.37s -> 39.17s]  Hello, everyone. Hello.
[12078.29s -> 12079.37s]  French toast and Canadian bacon
[12079.37s -> 12080.73s]  should be cooked on the griddle.
[12080.73s -> 12090.50s]  Omelets, well, it's not breakfast anymore, it's lunch.
[12090.50s -> 12092.22s]  Hamburgers or quesadilla.
[12092.22s -> 12093.66s]  Put hamburger patties on the griddle
[12093.66s -> 12095.74s]  and remove them from the griddle when they are dark brown
[12095.74s -> 12098.78s]  to ensure that they have been thoroughly cooked.
[12099.42s -> 12102.18s]  Put the cooked hamburger patty on the bun first
[12102.18s -> 12103.98s]  and any extra ingredients.
[12106.16s -> 12110.08s]  So dark brown, put it down first, then any extras.
[12110.08s -> 12112.72s]  Quesadilla, put the tortilla into which cheese
[12112.72s -> 12116.21s]  has already been folded in a frying pan.
[12116.21s -> 12118.21s]  Never on the griddle.
[12118.21s -> 12119.53s]  Remove the quesadilla from the pan
[12119.53s -> 12121.37s]  when it has been lightly browned.
[12125.01s -> 12125.85s]  They'll put it in the frying pan.
[12125.85s -> 12129.62s]  Don't, and just remove it when it's been browned.
[12129.66s -> 12133.41s]  All right, are we ordering food or what?
[12133.41s -> 12138.30s]  You want a quesadilla and one hamburger.
[12138.30s -> 12139.82s]  Something don't look right.
[12139.82s -> 12141.30s]  Do this one again.
[12141.30s -> 12142.75s]  What?
[12142.75s -> 12146.27s]  Oh, shit, sorry, I handed you an empty plate.
[12146.27s -> 12150.04s]  All right, you want one hamburger,
[12150.04s -> 12152.12s]  two cheese, one lettuce, two pickle, one tomato.
[12152.12s -> 12156.98s]  Onion, wait, is this, okay, you want two cheese,
[12156.98s -> 12159.14s]  one lettuce, two pickle, one tomato.
[12159.14s -> 12165.68s]  Two cheese, one, two cheese,
[12166.12s -> 12177.58s]  two cheese, one lettuce, two pickle, two cheese.
[12177.58s -> 12178.86s]  Now what?
[12178.86s -> 12180.70s]  Where do I put it?
[12180.70s -> 12181.54s]  Where do I put it?
[12181.54s -> 12183.74s]  Where did I just put that meat?
[12183.74s -> 12186.02s]  Where did I, oh, okay, well, somebody's gonna find that
[12186.02s -> 12187.38s]  at some point.
[12187.38s -> 12192.82s]  How do I put it on a plate?
[12192.82s -> 12199.40s]  Two cheese, oh, son of a, god damn it.
[12200.92s -> 12203.24s]  I, all right, I thought I was looking for a plate.
[12203.24s -> 12208.43s]  I didn't, I thought, all right, two cheese,
[12208.43s -> 12219.58s]  one lettuce, two pickle, one tomato,
[12219.58s -> 12225.73s]  and then ketchup, okay?
[12230.58s -> 12232.50s]  It looks like fucking dog shit.
[12233.47s -> 12238.49s]  Order up.
[12238.49s -> 12243.67s]  All right, you just want a quesadilla.
[12243.67s -> 12246.14s]  You don't, do you want anything on it?
[12246.14s -> 12252.29s]  No.
[12252.29s -> 12254.62s]  Order up.
[12254.62s -> 12255.66s]  One quesadilla.
[12265.32s -> 12267.30s]  Order up.
[12267.30s -> 12269.18s]  One, two cheese, all right.
[12295.58s -> 12299.42s]  This messes the hamburger patties like in the onion tray.
[12299.42s -> 12300.30s]  The person should be like, all right,
[12300.30s -> 12302.06s]  you're trolling the restaurant, you're fired.
[12302.90s -> 12303.74s]  Like, stop.
[12303.74s -> 12304.94s]  Like, why did you do that?
[12304.94s -> 12306.58s]  I don't know, I thought it was funny for the internet.
[12306.58s -> 12307.82s]  All right, well, sorry, but like,
[12307.82s -> 12311.26s]  what the hell are you doing?
[12311.26s -> 12315.71s]  It's been buried at the bottom.
[12315.71s -> 12318.51s]  All right, what do you want on these?
[12318.51s -> 12324.50s]  Cheese, lettuce, pickles.
[12324.50s -> 12325.94s]  Shit.
[12325.94s -> 12331.49s]  Nope, this one's two cheese, two lettuce, one pickle.
[12331.49s -> 12337.30s]  One tomato, two onion, okay?
[12337.30s -> 12344.31s]  One ketchup.
[12344.31s -> 12346.48s]  Order up.
[12346.48s -> 12353.98s]  Two cheese, one lettuce, two pickle.
[12353.98s -> 12364.57s]  One tomato, mustard, ketchup.
[12364.57s -> 12366.08s]  Order up.
[12366.08s -> 12367.12s]  And then you want two things.
[12367.12s -> 12369.80s]  You want one burger, one quesadilla.
[12369.80s -> 12377.66s]  One cheese, two pickle, one tomato.
[12377.66s -> 12383.54s]  One mustard, ketchup.
[12383.54s -> 12385.14s]  And a quesadilla.
[12385.14s -> 12392.22s]  This one's for me.
[12392.22s -> 12417.50s]  That easy.
[12417.50s -> 12426.23s]  Hey, there we go.
[12426.23s -> 12427.59s]  I'm low on precious mana.
[12441.21s -> 12442.77s]  Bro, what?
[12442.77s -> 12444.45s]  Anytime I'm gonna queue for Diablo 4,
[12444.45s -> 12449.22s]  I play Nancy Drew.
[12449.22s -> 12458.99s]  Out of mana, once again.
[12458.99s -> 12460.59s]  I'm gonna like play Nancy Drew, though.
[12460.59s -> 12462.43s]  Like, I'm like feeling that right now.
[12473.63s -> 12474.91s]  All right, let me get to the end of this
[12474.91s -> 12495.19s]  and we'll go back to Nancy Drew for a little bit.
[12495.19s -> 12496.19s]  I do like this, though.
[12496.19s -> 12498.45s]  I probably, this would probably be like,
[12498.45s -> 12500.82s]  probably play this like on a chill stream
[12500.82s -> 12503.50s]  when it actually releases or maybe next week or something.
[12503.50s -> 12504.94s]  What do you need?
[12504.94s -> 12507.22s]  Because I actually do like it.
[12507.22s -> 12509.56s]  I'm looking for Viggo.
[12509.56s -> 12512.64s]  You and that nuisance of a child both.
[12512.64s -> 12516.66s]  Girl's been nagging us about a demon woman all week.
[12516.66s -> 12519.30s]  Viggo's gone, looking into her claims.
[12519.30s -> 12522.98s]  He should be at the mining camp north of here.
[12522.98s -> 12526.42s]  All escort of knights went missing there last week,
[12526.42s -> 12528.82s]  along with the girl's mother and another woman.
[12528.82s -> 12529.66s]  Like Grim Dawn?
[12529.66s -> 12532.50s]  I played Grim Dawn when it was in early access
[12532.50s -> 12534.22s]  up to, I believe, Act Three.
[12536.00s -> 12548.93s]  I played it a long time ago.
[12548.93s -> 12554.32s]  Waypoint.
[12554.32s -> 12557.76s]  Map is actually really big.
[12557.76s -> 12561.14s]  I wonder if it's just this or if it's any more.
[12561.14s -> 12564.64s]  This is actually pretty large.
[12564.64s -> 12565.48s]  Pretty cool.
[12582.26s -> 12587.77s]  I can't, wait, can I afford this?
[12587.77s -> 12597.59s]  Not much.
[12597.59s -> 12601.78s]  The mining camp, let me just see what these things are.
[12601.82s -> 12605.46s]  I provide a steady supply of, shall we say,
[12605.46s -> 12608.54s]  specimens for the clergy nearby.
[12608.54s -> 12611.94s]  However, the desire for knowledge has become more dangerous
[12611.94s -> 12614.21s]  to satisfy.
[12614.21s -> 12617.05s]  I require a host of intact ghoul hearts
[12617.05s -> 12619.29s]  from the surrounding area.
[12619.29s -> 12622.17s]  There's something special about the ravenous dead nearby.
[12623.01s -> 12626.37s]  They can reanimate with only a few drops of blood.
[12626.37s -> 12627.21s]  I don't know what happened.
[12627.21s -> 12629.09s]  I'd venture out and retrieve these myself,
[12629.09s -> 12633.37s]  but I'm more accustomed to dealing with the fully dead.
[12633.37s -> 12636.41s]  Your discretion is appreciated, of course,
[12636.41s -> 12643.42s]  and you will be rewarded.
[12643.42s -> 12653.54s]  Better?
[12653.54s -> 12656.22s]  Cool.
[12656.22s -> 12658.26s]  Yeah, let me just do this next little arc
[12658.26s -> 12676.39s]  and we'll go back to, we'll go back to Nasidro.
[12676.39s -> 12677.47s]  Stay in Diablo?
[12679.71s -> 12680.79s]  Yeah, I don't know.
[12680.79s -> 12683.18s]  I'm down for pretty much anything.
[12683.18s -> 12684.50s]  We'll see how this goes.
[12684.50s -> 12692.74s]  I am enjoying playing this, just saying.
[12692.74s -> 12696.32s]  Ghoul hearts.
[12696.32s -> 12697.44s]  Indecisive?
[12697.44s -> 12699.04s]  That's literally my entire life.
[12700.85s -> 12703.41s]  My whole life is being indecisive of things.
[12712.10s -> 12712.94s]  What's that?
[12718.82s -> 12728.99s]  Offhand?
[12728.99s -> 12741.50s]  I think the stab is better.
[12741.50s -> 12743.18s]  We got a great hairline.
[12743.18s -> 12744.94s]  Well, the thing about hairlines is
[12744.94s -> 12749.86s]  what they change every five to seven years, right?
[12749.86s -> 12752.42s]  I've been told.
[12752.42s -> 12757.21s]  You notice a difference every five to 10 years.
[12757.21s -> 12761.11s]  So if it stays like this for like five to 10 years,
[12761.11s -> 12762.63s]  I'm happy with that.
[12762.63s -> 12767.35s]  Although, at what point of the cycle am I in, right?
[12767.35s -> 12768.99s]  Am I at the end of the 10 years
[12768.99s -> 12772.22s]  or am I at the beginning of a new 10 years?
[12772.22s -> 12774.34s]  For a hairline, what your hairline looks like.
[12774.34s -> 12775.80s]  That's the question.
[12775.80s -> 12791.38s]  Would be the end.
[12791.38s -> 12795.74s]  I lack the needed magic.
[12795.74s -> 12798.74s]  That's a cool shrine.
[12798.74s -> 12801.02s]  Dude, your roots are holding on for dear life.
[12801.02s -> 12810.62s]  You're definitely at the end of the cycle.
[12810.62s -> 12821.98s]  More strangers in the camp.
[12821.98s -> 12825.59s]  Ooh, iron.
[12825.59s -> 12828.48s]  Your roots are hanging on.
[12828.52s -> 12831.16s]  Well, I think they're fine for a little another while,
[12831.16s -> 12833.86s]  at least, I don't know.
[12833.86s -> 12835.38s]  Are you Viggo?
[12835.38s -> 12836.22s]  I was sent here.
[12840.48s -> 12841.32s]  That.
[12851.71s -> 12852.55s]  This is a loud.
[12854.34s -> 12856.87s]  Mother's trapped in there with her.
[12856.87s -> 12858.87s]  You let my mother through, sir.
[12858.87s -> 12861.11s]  Shouldn't you be responsible for her safety?
[12863.30s -> 12865.18s]  We have soldiers stationed inside.
[12865.18s -> 12867.02s]  You should be worried about them too.
[12867.02s -> 12869.02s]  Did I fuck this up?
[12872.10s -> 12877.47s]  Maybe you can help.
[12877.47s -> 12879.49s]  I think it's gonna...
[12879.49s -> 12885.03s]  All right, we have to fix this.
[12885.03s -> 12887.03s]  The pots and pans are louder than the people.
[12887.03s -> 12887.87s]  I think it's because I have the...
[12887.87s -> 12890.59s]  This is all fucked up.
[12890.59s -> 12899.00s]  Hello.
[12899.00s -> 12901.28s]  Mines are closed on church orders.
[12901.28s -> 12903.00s]  They're not safe.
[12903.00s -> 12904.72s]  Especially not for children.
[12912.83s -> 12914.64s]  She did.
[12914.64s -> 12918.28s]  The horned woman is the demon Lilith.
[12920.79s -> 12924.59s]  No, that can't be.
[12924.59s -> 12927.51s]  My mother taught me that name.
[12927.51s -> 12929.95s]  You speak of the daughter of hatred.
[12931.38s -> 12933.58s]  Did Prava mention me?
[12933.58s -> 12936.38s]  She wasn't angry, was she?
[12936.38s -> 12938.58s]  There's more than your job at stake here.
[12941.76s -> 12943.78s]  Come on.
[12943.78s -> 12945.30s]  Let's get this over with.
[12951.84s -> 12954.38s]  Oh, what's my shirt say?
[12954.38s -> 12956.42s]  It's the Star Wars Periodic Table.
[12969.64s -> 12979.81s]  I like it.
[12979.81s -> 12981.88s]  I'm hoisted stuck.
[12981.88s -> 12985.77s]  We've got to go on foot.
[12985.77s -> 12986.61s]  Look out.
[12994.67s -> 12995.51s]  Level up.
[12996.39s -> 12998.55s]  Hey, that's my mother's charm on your wrist.
[12999.86s -> 13001.66s]  It's mine now, girl.
[13001.66s -> 13004.50s]  She gave it to me when I let her and her friend...
[13004.50s -> 13008.31s]  Ooh, wait a minute.
[13008.31s -> 13010.11s]  So engulf yourself in flames for two seconds,
[13010.11s -> 13015.24s]  burning surrounding enemies for 18 damage per second.
[13015.24s -> 13019.99s]  20 second cooldown.
[13019.99s -> 13026.37s]  That seems kind of good though.
[13026.37s -> 13030.07s]  18 damage a second.
[13030.07s -> 13042.52s]  I mean, that's like 40 damage over two seconds.
[13042.52s -> 13044.16s]  This heal, self-heal.
[13047.90s -> 13055.82s]  Teleport is always good.
[13055.82s -> 13063.40s]  I kind of like this frost nova.
[13063.40s -> 13064.32s]  I think I'm just gonna do this.
[13064.32s -> 13065.28s]  Just be damaged.
[13083.80s -> 13085.60s]  Two-spell Andy.
[13085.60s -> 13087.84s]  I know, but it does so much damage.
[13087.84s -> 13089.12s]  I'm destroying stuff.
[13094.45s -> 13096.13s]  Hey, look, if you wanna...
[13096.13s -> 13097.81s]  The person that has to go like...
[13098.97s -> 13099.81s]  Ice lance.
[13099.81s -> 13101.49s]  And then she...
[13101.49s -> 13103.25s]  Electric, electrical pulse.
[13104.05s -> 13104.89s]  Dash.
[13104.89s -> 13107.57s]  And then, machine gun.
[13107.57s -> 13108.41s]  I just go like this
[13108.41s -> 13120.79s]  and I do the same amount of damage that you did.
[13120.79s -> 13123.90s]  I just go like this.
[13123.90s -> 13130.83s]  Then motherfuckers explode.
[13130.83s -> 13134.94s]  But you have less fun.
[13134.98s -> 13137.50s]  Who said I was having less fun?
[13137.50s -> 13139.42s]  I kill people in one hit.
[13139.42s -> 13154.34s]  They die in one hit.
[13154.34s -> 13156.92s]  He's having no fun.
[13156.92s -> 13161.57s]  He's talking.
[13161.57s -> 13165.34s]  Whatever, we're playing.
[13165.34s -> 13167.22s]  Your face says you're not having fun.
[13167.22s -> 13168.82s]  Huh, what are you talking about?
[13178.01s -> 13178.85s]  Yeah, I don't know.
[13178.85s -> 13181.86s]  I only have two moves.
[13181.86s -> 13183.78s]  And one of them is here.
[13183.78s -> 13184.62s]  That doesn't really...
[13184.62s -> 13186.26s]  I should just take this off the bar, right?
[13186.26s -> 13189.25s]  Cause I'm not really doing it.
[13189.25s -> 13190.81s]  One move.
[13190.81s -> 13193.65s]  Maybe we should go back.
[13193.65s -> 13195.29s]  Round up the knights.
[13195.29s -> 13196.13s]  And leave my mother in...
[13196.13s -> 13198.21s]  Hey, nobody complains to Cyclops
[13198.21s -> 13199.85s]  when he takes his glasses off.
[13199.85s -> 13202.72s]  No, I'm going on.
[13202.72s -> 13203.56s]  Cyclops.
[13203.56s -> 13207.12s]  I mean, you should do something else.
[13207.12s -> 13207.96s]  Why?
[13209.12s -> 13210.96s]  Out of mana, once again.
[13216.47s -> 13222.21s]  What do you mean what?
[13222.21s -> 13223.05s]  What do you mean what?
[13223.05s -> 13224.57s]  Cyclops takes his glasses off
[13224.57s -> 13226.93s]  and he has red beams come out of his eyes.
[13226.93s -> 13227.77s]  That's all he has.
[13227.77s -> 13229.21s]  That's what he does.
[13229.25s -> 13232.64s]  He just goes...
[13232.64s -> 13233.48s]  And it's like, holy shit, dude.
[13233.48s -> 13235.16s]  He's annihilated the whole room.
[13235.16s -> 13236.00s]  Nice job.
[13250.09s -> 13251.81s]  Bro, you're onto nothing.
[13251.81s -> 13256.37s]  Cyclops has the glasses that kind of constricts his eyes
[13256.37s -> 13258.13s]  to make it so the blazer beams don't come out.
[13258.13s -> 13259.37s]  And he takes glasses off and he...
[13259.37s -> 13260.61s]  I've seen every...
[13260.61s -> 13262.89s]  Cyclops is like my favorite character in Marvel.
[13262.89s -> 13263.81s]  I'm low on practice.
[13263.81s -> 13265.33s]  Side Spider-Man.
[13265.33s -> 13266.29s]  And Wolverine.
[13267.84s -> 13280.48s]  And what is Cyclops' name?
[13280.48s -> 13281.32s]  Scott.
[13294.43s -> 13300.99s]  Real fan.
[13300.99s -> 13302.31s]  I didn't even have to even type that one
[13302.31s -> 13304.97s]  on the second monitor.
[13304.97s -> 13308.53s]  I'm low on precious mana.
[13308.53s -> 13310.13s]  Beams are too damn old.
[13310.13s -> 13310.97s]  What happened?
[13310.97s -> 13312.61s]  Shaking like leaves.
[13323.34s -> 13324.98s]  Cyclops was never given a chance to level up
[13324.98s -> 13328.40s]  and pick a new skill.
[13328.40s -> 13337.68s]  That's fair.
[13337.68s -> 13339.24s]  I'm low on precious mana.
[13340.44s -> 13341.28s]  What?
[13341.28s -> 13342.08s]  All right, but hold on a minute.
[13342.08s -> 13344.92s]  Why are you assuming that Cyclops,
[13344.92s -> 13350.42s]  Scott Cyclops would pick like Icebolt?
[13351.50s -> 13352.34s]  No, he would just be like,
[13352.34s -> 13353.18s]  wait a minute,
[13353.18s -> 13354.26s]  the thing that I already know how to do,
[13354.26s -> 13356.10s]  the thing I already know what's happening,
[13356.10s -> 13357.74s]  the thing I already have been used to,
[13357.74s -> 13361.38s]  I can just make it do 20% more damage.
[13361.38s -> 13362.58s]  Who's picking that one?
[13397.07s -> 13397.91s]  Itchy ear.
[13411.98s -> 13412.98s]  When is the...
[13412.98s -> 13415.02s]  Special about this place anyway.
[13415.02s -> 13416.46s]  What would draw Lilith here?
[13416.46s -> 13418.18s]  What's the level cap in the beta?
[13418.18s -> 13419.46s]  Hell if I know.
[13419.46s -> 13420.30s]  Is there one?
[13420.30s -> 13421.66s]  Trevor doesn't tell us anything.
[13421.66s -> 13424.22s]  No one goes in, nothing comes out.
[13424.22s -> 13425.06s]  That's all.
[13426.06s -> 13437.22s]  Ego is no longer following you.
[13437.22s -> 13438.38s]  They're not following me anymore.
[13438.38s -> 13439.86s]  No lift.
[13439.86s -> 13442.10s]  The jam must be deeper down.
[13442.10s -> 13442.94s]  Does he like it?
[13442.94s -> 13444.82s]  I do.
[13444.82s -> 13446.18s]  The thing about a game like this though,
[13446.18s -> 13449.58s]  is going through the story
[13449.58s -> 13452.34s]  and going through the game progression,
[13452.34s -> 13453.58s]  it's enjoyable, it's fun.
[13453.58s -> 13457.18s]  It's kind of just relaxing to play, right?
[13457.18s -> 13460.30s]  But the real test, if this game is any good,
[13460.30s -> 13466.30s]  is 12 hours from now, 20 hours from now.
[13466.30s -> 13467.38s]  I think that's how you really tell
[13467.94s -> 13470.14s]  of a game like this, is there any fun for real?
[13470.14s -> 13473.18s]  Because that's where the loot,
[13473.18s -> 13475.02s]  you go find the certain gear
[13475.02s -> 13477.26s]  and do the high level bosses and the dungeons
[13477.26s -> 13479.89s]  and is that fun.
[13479.89s -> 13483.29s]  It's hard to say, oh wow, Diablo 4, this is fantastic.
[13483.29s -> 13486.57s]  I kind of don't know until you have to play it.
[13486.57s -> 13488.93s]  I think there's enough time that you have to pass
[13488.93s -> 13492.17s]  for you to experience this,
[13492.17s -> 13494.17s]  at least the part of the game that I want to experience.
[13501.50s -> 13502.74s]  Nowhere to go.
[13502.74s -> 13505.26s]  My favorite part about Diablo 2
[13505.26s -> 13511.30s]  was just opening up the Mephisto loot box.
[13511.30s -> 13512.30s]  That was my favorite thing to do.
[13512.30s -> 13514.14s]  I loved the item hunting.
[13514.14s -> 13515.66s]  That was the best part for me.
[13536.21s -> 13537.53s]  My favorite part about Diablo 4
[13537.53s -> 13541.41s]  is Nancy Drew out of Mana once again.
[13541.41s -> 13543.09s]  That's a pretty good part as well.
[13547.02s -> 13551.28s]  My favorite part about Diablo was the loot boxes.
[13551.28s -> 13555.15s]  I mean, kind of.
[13555.15s -> 13559.11s]  Killing Mephisto or killing Diablo was,
[13559.11s -> 13559.95s]  boom, boom, boom, boom.
[13559.95s -> 13562.71s]  There's the, okay, two greens, a yellow,
[13562.71s -> 13564.95s]  and ah, there's no unique.
[13564.95s -> 13565.91s]  That's all right, but cool.
[13565.91s -> 13568.13s]  What's the set though?
[13568.13s -> 13572.60s]  It's just fun to do.
[13572.60s -> 13574.28s]  And then trading was kind of fun too,
[13574.28s -> 13575.52s]  being able to be like, oh, I got this
[13575.52s -> 13581.81s]  and this is kind of fun, I can trade this.
[13581.81s -> 13583.57s]  That's a huge part of why I feel like a lot of people
[13583.57s -> 13592.18s]  played the old Diablo games.
[13592.18s -> 13593.82s]  I liked collecting stuff too.
[13593.82s -> 13596.94s]  Every time I made a character in old Diablo,
[13596.98s -> 13598.82s]  I always had to have a,
[13598.82s -> 13601.02s]  I'd have like three or four other characters
[13601.02s -> 13604.95s]  just to hold perfect topazes.
[13604.95s -> 13605.79s]  I would never use them.
[13605.79s -> 13606.95s]  I just wanted to have them.
[13606.95s -> 13612.10s]  You'd have like 20 rows of ding, ding, ding, ding.
[13612.10s -> 13616.43s]  Just perfect skulls, perfect topazes, perfect emeralds.
[13616.43s -> 13617.27s]  It's fun to collect.
[13617.27s -> 13623.06s]  It was a collecting game for me.
[13623.06s -> 13627.06s]  That was quick thinking.
[13627.06s -> 13629.14s]  You freak hoarder.
[13629.14s -> 13630.78s]  You hoarder.
[13630.78s -> 13636.93s]  It's Diablo.
[13636.93s -> 13640.93s]  Why would your mother leave you like that?
[13640.93s -> 13644.70s]  She wouldn't, or she shouldn't have.
[13644.70s -> 13646.14s]  I really was like a little loot goblin
[13646.14s -> 13647.82s]  is having like the sack over my shoulder.
[13647.82s -> 13661.11s]  Like, oh, you're looking for perfect skulls?
[13661.11s -> 13662.35s]  I've got plenty of those.
[13670.49s -> 13672.49s]  Identifying an item was always cool too.
[13675.95s -> 13677.15s]  I don't know how many people don't know
[13677.15s -> 13679.87s]  how Diablo really works or I don't even know
[13679.87s -> 13680.71s]  how it works in this game
[13680.71s -> 13681.55s]  because I haven't really found one yet,
[13681.55s -> 13684.97s]  but getting an item that you know
[13684.97s -> 13687.37s]  was potentially really cool
[13687.37s -> 13691.05s]  and needing to have that second step of,
[13691.05s -> 13692.85s]  all right, what is it?
[13692.85s -> 13696.61s]  Or what are the roles on it?
[13696.61s -> 13698.09s]  What's the enhanced defense role?
[13698.09s -> 13699.69s]  What's the enhanced damage role?
[13699.69s -> 13702.09s]  Enhanced damage role, this is a big deal.
[13702.09s -> 13704.34s]  What is it?
[13704.34s -> 13706.09s]  It was fun.
[13706.09s -> 13711.48s]  Now, I don't love wild RNG.
[13711.48s -> 13714.00s]  One of my favorite parts about D2 was the unique items.
[13714.00s -> 13715.44s]  I know you can just spam that, that's fine.
[13715.44s -> 13716.52s]  Spam the emote.
[13716.52s -> 13720.81s]  That's, I don't fucking have chat anymore.
[13721.65s -> 13723.26s]  Shit.
[13723.26s -> 13726.80s]  All right, one of my favorite parts about Diablo 2
[13726.80s -> 13729.48s]  was that a unique item was the same.
[13729.48s -> 13730.32s]  Every time you found it,
[13730.32s -> 13733.76s]  let's say it was like a unique colossal sword, right?
[13733.76s -> 13736.12s]  It was always gonna be the grandfather colossal sword, right?
[13736.12s -> 13739.74s]  But when you opened it, when you identified it,
[13739.74s -> 13743.02s]  there was a couple of parameters that were random.
[13743.02s -> 13744.82s]  It was always the same parameter,
[13744.82s -> 13748.58s]  but it was either a good percentage, lower or higher.
[13748.58s -> 13752.06s]  It was always a percentage that was lower or higher.
[13752.90s -> 13757.30s]  And I, and I'm getting booed off the stage.
[13759.11s -> 13760.31s]  But you know what I mean.
[13767.20s -> 13772.20s]  But an item having 200 to 250% enhanced damage
[13772.84s -> 13778.11s]  and it rolls a 201 is like a,
[13778.11s -> 13780.87s]  I'm still gonna use this and, but no, it sucks,
[13780.87s -> 13782.83s]  but it's okay because it's still the same item.
[13782.83s -> 13785.35s]  Now it's of mana once again.
[13785.35s -> 13787.71s]  I wasn't a big fan of having everything
[13787.71s -> 13788.83s]  be random on the item.
[13789.67s -> 13792.87s]  Just be kind of just throw dice in the air.
[13792.87s -> 13796.24s]  But if you rolled like a 240, okay.
[13796.24s -> 13797.56s]  Now you're talking.
[13797.56s -> 13800.42s]  Now you're talking.
[13800.42s -> 13801.26s]  I'm just gonna get up and do this
[13801.26s -> 13816.65s]  in an open mic night one day.
[13816.65s -> 13821.24s]  This game is cringe.
[13821.24s -> 13822.08s]  Okay.
[13835.09s -> 13836.74s]  Yeah.
[13836.74s -> 13837.58s]  This cringe.
[13847.50s -> 13848.38s]  Well, I only have two moves,
[13848.38s -> 13849.98s]  so it doesn't look cool when I do that.
[13849.98s -> 13850.82s]  But you know what I mean?
[13850.82s -> 13863.88s]  It would have been cool if I had three or four moves.
[13863.88s -> 13864.72s]  All right, here we go.
[13864.72s -> 13875.21s]  An opening.
[13875.21s -> 13876.09s]  Get more spells.
[13877.81s -> 13879.57s]  Actually, all jokes aside,
[13879.57s -> 13903.71s]  this is working out pretty fine.
[13903.71s -> 13909.93s]  Flame shield.
[13909.93s -> 13912.17s]  Charge bolts is fun.
[13912.17s -> 13922.05s]  At least it was in the other games.
[13922.05s -> 13934.60s]  Upgrade fireball.
[13934.60s -> 13946.73s]  Mana wouldn't be bad.
[13946.73s -> 13951.74s]  Upgrade fireball to be more like a hot.
[13951.74s -> 13956.09s]  That is actually really good.
[13956.09s -> 13958.89s]  Bigger radius.
[13958.89s -> 13961.25s]  Yeah.
[13961.25s -> 13962.33s]  If I got five points in this already,
[13962.33s -> 13964.41s]  then I definitely should just keep going this way.
[13964.41s -> 13972.00s]  Increased based on the distance traveled.
[13977.34s -> 13980.06s]  Tunnels closed.
[13980.06s -> 13982.81s]  We're trapped without the hoist.
[13982.81s -> 13986.02s]  Look, there she is.
[13986.02s -> 13987.98s]  Remember, why do you look like a Calvin Klein model?
[13987.98s -> 13991.98s]  Like your lips are doing some Zoolander shit tonight.
[13991.98s -> 13993.50s]  I think it's because I'm biting my lip
[13993.50s -> 14008.29s]  and I'm going like, look, I'm biting my lip.
[14008.29s -> 14010.57s]  I just turned the facecum on and I'm just like.
[14010.57s -> 14012.38s]  It's her.
[14012.38s -> 14014.93s]  The way I saw her.
[14014.93s -> 14016.74s]  Lilith.
[14016.74s -> 14019.63s]  We need to find my mother.
[14019.63s -> 14021.11s]  Now he's extra conscious of it.
[14021.11s -> 14021.95s]  Ah, it's all right.
[14021.95s -> 14025.08s]  I don't care.
[14025.08s -> 14026.60s]  I feel like this is gonna be a boss
[14026.60s -> 14036.43s]  and I really want to see what it is.
[14036.43s -> 14040.08s]  With my enhanced fireball.
[14040.08s -> 14046.04s]  No filters, no makeup.
[14046.04s -> 14054.67s]  I don't even know how to put one of those on.
[14054.67s -> 14055.51s]  Over there.
[14055.51s -> 14056.35s]  The hoist.
[14061.17s -> 14062.01s]  Filter.
[14066.18s -> 14068.77s]  At last, I'll ride out.
[14068.77s -> 14073.40s]  Oh hell.
[14073.40s -> 14074.88s]  Slane.
[14074.88s -> 14076.56s]  What happened?
[14076.56s -> 14077.48s]  This is on normal.
[14077.48s -> 14080.16s]  This is on the whatever tier two, whatever it is.
[14080.16s -> 14082.76s]  Veteran.
[14082.76s -> 14085.12s]  We need reinforcements.
[14085.12s -> 14087.24s]  I would even want to turn it up with another one.
[14087.24s -> 14090.13s]  I wonder how many they're gonna have at launch.
[14090.13s -> 14092.17s]  What was that?
[14092.17s -> 14093.97s]  It's came from beyond the gate.
[14096.70s -> 14105.91s]  This is definitely a boss room.
[14105.91s -> 14109.59s]  All right, let's do it.
[14109.59s -> 14112.26s]  The escort.
[14112.26s -> 14113.26s]  They're all dead.
[14119.20s -> 14123.28s]  Over there.
[14123.28s -> 14124.12s]  Who did this?
[14124.12s -> 14124.96s]  A woman.
[14126.16s -> 14128.86s]  Vico.
[14128.86s -> 14130.98s]  It was one of the women you sent.
[14133.99s -> 14136.91s]  Are they actually difficulty settings or are they bullshit?
[14137.75s -> 14138.59s]  Hi.
[14139.63s -> 14140.47s]  That's a good question.
[14140.47s -> 14141.31s]  I don't know.
[14141.31s -> 14143.51s]  This just makes monsters have more health, right?
[14143.51s -> 14144.71s]  You get more experience.
[14147.19s -> 14148.31s]  I don't know exactly what it does.
[14155.46s -> 14157.02s]  20% more health.
[14160.98s -> 14163.26s]  We can take a look.
[14163.26s -> 14164.10s]  Second hand.
[14165.90s -> 14167.74s]  I'm pretty sure you can change it off with life.
[14170.80s -> 14171.64s]  You did nothing.
[14173.48s -> 14174.92s]  Spells.
[14174.92s -> 14175.96s]  Bears.
[14175.96s -> 14180.17s]  All you supposed to do is go to Korvala,
[14180.17s -> 14183.33s]  tell Prava, raise the army.
[14183.33s -> 14187.15s]  The father, evil, itself.
[14188.31s -> 14189.63s]  Mox sanctuary.
[14192.44s -> 14198.39s]  Do this for me.
[14198.39s -> 14200.47s]  He's dead.
[14200.47s -> 14202.56s]  Hand on tail.
