[1.66s -> 3.66s]  Just because.
[2473.83s -> 2476.33s]  It's beautiful. Do you miss Boston weather?
[2476.33s -> 2479.34s]  Not at all.
[2479.34s -> 2481.34s]  This is snow season here
[2481.34s -> 2483.34s]  for Boston, so
[2483.34s -> 2485.34s]  I am absolutely ecstatic that
[2485.34s -> 2487.34s]  it's like 50 degrees
[2487.34s -> 2489.34s]  every day. It drops down overnight
[2489.34s -> 2491.34s]  because it's obviously the desert, so it drops down to like
[2491.34s -> 2493.34s]  low 40s.
[2493.34s -> 2495.34s]  So it gets cold, but
[2495.34s -> 2497.34s]  the days are great.
[2497.34s -> 2500.79s]  He's literally talking about
[2500.79s -> 2502.79s]  the weather.
[2502.79s -> 2504.79s]  Oh god, I just got booted.
[2504.79s -> 2506.79s]  Wait, you got booted?
[2506.79s -> 2508.79s]  Really? Yeah.
[2508.79s -> 2510.79s]  Oh, okay. Why does this game
[2510.79s -> 2512.79s]  hate me so much?
[2512.79s -> 2516.06s]  I'll just quit out.
[2516.06s -> 2518.06s]  I don't know why this game hates me so much.
[2518.06s -> 2523.24s]  What's wrong with the weather?
[2523.24s -> 2525.24s]  I'll just say this. Lately it's been pretty cold
[2525.24s -> 2528.76s]  here, but
[2528.76s -> 2531.06s]  considered at times in my life
[2531.06s -> 2533.06s]  moving to a place where I don't
[2533.06s -> 2535.06s]  have to deal with like
[2535.06s -> 2537.69s]  bone chill.
[2537.69s -> 2539.69s]  The one thing that I will say
[2539.69s -> 2541.69s]  is going to the west coast
[2541.69s -> 2544.49s]  is, I mean
[2544.49s -> 2546.49s]  there are pros and cons everywhere. I mean I miss Boston
[2546.49s -> 2548.49s]  all the time. Yeah.
[2548.49s -> 2550.49s]  But you miss bagels. Yeah.
[2550.49s -> 2552.49s]  You bet your ass I do.
[2552.49s -> 2555.56s]  I miss the bagels. I miss the
[2555.56s -> 2557.56s]  sub sandwiches, like the steak and cheese subs.
[2557.56s -> 2559.99s]  I miss those.
[2559.99s -> 2562.36s]  Yeah. I would miss those too.
[2562.36s -> 2565.05s]  I miss the pizza. Ah, that's
[2565.05s -> 2567.05s]  right. Do you find any good pizza?
[2567.05s -> 2569.22s]  Yeah, I mean there's some decent pizza places
[2569.22s -> 2571.22s]  out here, but not like there are in New York
[2571.22s -> 2575.83s]  obviously. Okay, I'm
[2575.83s -> 2577.83s]  going to try to invite you again. Yeah,
[2577.83s -> 2579.83s]  I don't know why
[2579.83s -> 2581.83s]  because
[2581.83s -> 2583.83s]  every time it kicks me out it says, there's a problem
[2583.83s -> 2585.83s]  with the Rockstar servers. It doesn't
[2585.83s -> 2587.83s]  like say, you've been disconnected because your computer
[2587.83s -> 2589.83s]  sucks. It's, you've been
[2589.83s -> 2591.83s]  disconnected but our servers are a problem.
[2591.83s -> 2593.83s]  That's like what the error code is. At least
[2593.83s -> 2597.10s]  they're honest about it. I don't know
[2597.10s -> 2599.10s]  though, I feel like, I don't
[2599.10s -> 2601.10s]  know who this is. Who the fuck is this?
[2601.10s -> 2607.37s]  I think I just,
[2607.37s -> 2611.85s]  all right. All right.
[2611.85s -> 2616.20s]  I'm ready for an invite.
[2616.20s -> 2618.20s]  Here it is. Hey, coming
[2618.20s -> 2620.20s]  to you. Hey.
[2620.20s -> 2623.53s]  Hey.
[2628.33s -> 2630.33s]  I've been watching The Office like
[2630.33s -> 2632.33s]  a dumbass lately. I don't know why. It's a good show.
[2632.33s -> 2634.33s]  There's an episode.
[2634.33s -> 2636.33s]  It's a good show. I don't know. It's just it was something to watch
[2636.33s -> 2638.33s]  and there's an episode where in the beginning
[2638.33s -> 2640.33s]  it was cold open.
[2640.33s -> 2642.33s]  We talked about the weather and now I'm talking about
[2642.33s -> 2644.33s]  I'm describing episodes of The Office.
[2644.33s -> 2646.33s]  Your audience is going to be like, can you stop
[2646.33s -> 2648.33s]  streaming with this guy?
[2648.33s -> 2650.33s]  This guy sucks. He can't even
[2650.33s -> 2652.33s]  stay connected to Rockstar's video game
[2652.33s -> 2654.33s]  servers and he's talking about the weather.
[2654.33s -> 2658.04s]  Anyway, there's an episode
[2658.04s -> 2660.04s]  where they go A and I'm going to stop
[2660.04s -> 2662.04s]  there. It's good enough.
[2662.04s -> 2664.04s]  There's an episode where they go A.
[2664.04s -> 2666.04s]  Yeah, they go A.
[2666.04s -> 2668.28s]  Here, I'll invite you again.
[2668.28s -> 2670.28s]  We have another problem at this point.
[2670.28s -> 2672.28s]  I'll just like watch you stream.
[2672.28s -> 2674.28s]  No, I mean, I'm down to
[2674.28s -> 2676.28s]  try a couple more matches at least.
[2676.28s -> 2678.28s]  It's worth a shot.
[2678.28s -> 2680.28s]  I think we could have some fun if it
[2680.28s -> 2682.28s]  just was stable. I know, I know. I don't understand.
[2682.28s -> 2684.28s]  I've gotten
[2684.28s -> 2686.28s]  disconnected like three or four times when I stream this too.
[2686.28s -> 2688.28s]  But it happens.
[2688.28s -> 2690.28s]  Usually from random matches.
[2690.28s -> 2693.02s]  I don't understand.
[2693.02s -> 2695.02s]  What's the weather like on The Office?
[2695.02s -> 2697.02s]  What's the weather like?
[2697.02s -> 2699.02s]  Well,
[2699.02s -> 2701.02s]  there's an episode where they go A.
[2701.02s -> 2703.83s]  I can answer that
[2703.83s -> 2705.83s]  because it was filmed in
[2705.83s -> 2707.83s]  California and they try to make it look
[2707.83s -> 2709.83s]  like Scranton, Pennsylvania, so it's snowy.
[2709.83s -> 2711.83s]  But it's really not.
[2715.72s -> 2717.72s]  Well,
[2717.72s -> 2721.56s]  I got booted again.
[2721.56s -> 2723.56s]  Super cool.
[2723.56s -> 2725.56s]  Wait, wait, wait, wait. But you're still
[2725.56s -> 2727.56s]  like, you haven't had any problems streaming.
[2727.56s -> 2729.56s]  Oh, no, not at all. I've got no drop frames at all.
[2729.56s -> 2732.57s]  It's something
[2732.57s -> 2734.57s]  to do with where I'm coming from.
[2734.57s -> 2736.87s]  Why does Rockstar not want to
[2736.87s -> 2738.87s]  acknowledge Las Vegas?
[2738.87s -> 2740.87s]  Maybe they don't. I don't understand.
[2740.87s -> 2742.87s]  No, I'm not deleting the game.
[2745.62s -> 2747.62s]  Yeah, I don't know. It's something to do with
[2747.62s -> 2749.80s]  how they connect. I figured
[2749.80s -> 2751.80s]  it was a problem from three days ago because it was the
[2751.80s -> 2753.80s]  first day or two of the beta, but
[2753.80s -> 2755.80s]  it looks like it's kind of just a server routing
[2755.80s -> 2757.80s]  or server problem
[2757.80s -> 2759.80s]  with Rockstar. And
[2759.80s -> 2762.23s]  specifically either Las Vegas
[2762.23s -> 2764.60s]  servers or
[2764.60s -> 2766.60s]  California servers because, I mean, technically
[2766.60s -> 2769.93s]  I'm on the West Coast.
[2769.93s -> 2771.93s]  Well, maybe they'll get that sorted out in a couple days.
[2771.93s -> 2773.93s]  That's what I was hoping for
[2773.93s -> 2775.93s]  three days ago.
[2775.93s -> 2777.93s]  Yeah, sorry. Sorry this is kind of
[2777.93s -> 2779.93s]  impeding on everything.
[2779.93s -> 2781.93s]  That's fine. I mean, I'm still shooting people in the
[2781.93s -> 2783.93s]  face. It's not a big deal. But I would prefer
[2783.93s -> 2785.93s]  to shoot people in the face with you in an
[2785.93s -> 2788.68s]  actual match. That would be better.
[2788.68s -> 2790.68s]  I'll invite you again.
[2790.68s -> 2794.01s]  Let's try again. Yeah, let's try again.
[2794.01s -> 2798.17s]  Even though it says I'm on a mission.
[2798.17s -> 2800.17s]  Maybe they just hate you.
[2800.17s -> 2803.69s]  I don't know, maybe. I tried restarting
[2803.69s -> 2809.32s]  it. Moving to the country,
[2809.32s -> 2811.32s]  gonna eat myself some
[2811.32s -> 2813.32s]  peaches. Moving
[2813.32s -> 2815.32s]  to the country, gonna eat
[2815.32s -> 2817.32s]  me a lot of peaches.
[2817.32s -> 2819.32s]  Look out!
[2819.32s -> 2821.32s]  Look out, man!
[2821.32s -> 2824.20s]  Peaches come
[2824.20s -> 2826.20s]  in a can. They was put
[2826.20s -> 2828.20s]  there by a man.
[2830.70s -> 2832.70s]  I haven't heard that in a long time. Holy shit.
[2832.70s -> 2834.70s]  Yeah, that was
[2834.70s -> 2836.70s]  for you. I figured you might know about that. That was
[2836.70s -> 2838.94s]  great. Yeah.
[2838.94s -> 2840.94s]  I feel like, I feel really good
[2840.94s -> 2842.94s]  right now. I was a little sad
[2842.94s -> 2844.94s]  about like the Rockstar server issue here, but
[2844.94s -> 2846.94s]  I feel fantastic.
[2846.94s -> 2848.94s]  Yeah, that just takes
[2848.94s -> 2850.94s]  the power of song. That's all it takes.
[2850.94s -> 2853.99s]  Alright, here we go.
[2853.99s -> 2856.23s]  Don't do it, Rockstar. I know
[2856.23s -> 2858.23s]  you want to. Look at them.
[2858.23s -> 2860.23s]  Look at them do it. Look at how much they want.
[2860.23s -> 2862.23s]  Okay. I'm ready
[2862.23s -> 2864.60s]  for an invite.
[2864.60s -> 2866.60s]  And this will be the last time because it's going to stay
[2866.60s -> 2868.60s]  on. I'm not going to get disconnected from
[2868.60s -> 2871.03s]  Rockstar servers. The problem is
[2871.03s -> 2873.03s]  I can't actually invite you now because I'm in a mission.
[2873.03s -> 2875.03s]  Supposedly. Maybe for the better
[2875.03s -> 2877.03s]  so I can stay connected for a minute.
[2877.03s -> 2884.01s]  That's what you think. I know.
[2884.01s -> 2887.59s]  Let me try...
[2887.59s -> 2889.59s]  Explain to me what
[2889.59s -> 2891.59s]  you were just doing. Because
[2891.59s -> 2893.59s]  you were doing like a randomized Ocarina
[2893.59s -> 2896.54s]  of Time? Yeah.
[2896.54s -> 2898.54s]  So there's a randomizer
[2898.54s -> 2900.54s]  and you can assign a bunch of different
[2900.54s -> 2902.54s]  options. It's a really customizable randomizer.
[2902.54s -> 2904.54s]  And
[2904.54s -> 2906.54s]  all you have to do is
[2906.54s -> 2908.54s]  every chest...
[2908.54s -> 2910.54s]  Wow, I did what you did earlier.
[2910.54s -> 2912.54s]  Every treasure chest.
[2912.54s -> 2914.54s]  Oh, Jesus.
[2914.54s -> 2916.54s]  Good luck saying it the right way ever again.
[2916.54s -> 2918.54s]  Every treasure chest
[2918.54s -> 2920.54s]  has randomized content
[2920.54s -> 2922.54s]  except for a couple. And
[2922.54s -> 2924.54s]  you can find medallions, you can find items,
[2924.54s -> 2926.54s]  you can find swords, you can find all kinds of crazy shit.
[2926.54s -> 2928.54s]  Really? And essentially
[2928.54s -> 2930.54s]  you have to get the six medallions
[2930.54s -> 2932.54s]  and they could be anywhere. And then you can fight
[2932.54s -> 2934.54s]  Ganon. And you can
[2934.54s -> 2936.54s]  make it really hard for yourself
[2936.54s -> 2938.54s]  or you can make it a lot easier for yourself.
[2938.54s -> 2940.54s]  Like, for example, I started the game
[2940.54s -> 2942.54s]  Kakariko Village was open.
[2942.54s -> 2944.54s]  I started the game where
[2944.54s -> 2946.54s]  Kokiri Forest was open so I could just leave
[2946.54s -> 2948.54s]  and go to the world map anytime. Oh, really?
[2948.54s -> 2950.54s]  So, but yeah,
[2950.54s -> 2952.54s]  I mean, it's kind of cool because you could just play the game
[2952.54s -> 2954.54s]  in like six or seven hours
[2954.54s -> 2956.54s]  if you're lucky and you know what you're doing.
[2956.54s -> 2958.54s]  So could you get everything in the first six
[2958.54s -> 2960.54s]  chests of the game?
[2960.54s -> 2962.54s]  I got a hookshot in the first chest.
[2962.54s -> 2964.54s]  Wow. That's cool.
[2964.54s -> 2966.54s]  And you can get some, I got a
[2966.54s -> 2968.54s]  medallion real early. You can get really broken
[2968.54s -> 2970.54s]  like stuff early on
[2970.54s -> 2972.54s]  or you can get five blue rupees.
[2972.54s -> 2974.54s]  Five rupees every time.
[2974.54s -> 2976.54s]  Which is the worst thing ever.
[2976.54s -> 2978.54s]  Yeah, that's like
[2978.54s -> 2980.54s]  what is it, green rupee the lowest?
[2980.54s -> 2983.93s]  Mhm.
[2983.93s -> 2985.93s]  But it's a really fun thing.
[2985.93s -> 2987.93s]  I love it. I'm really enjoying it.
[2987.93s -> 2990.74s]  No, it seemed cool. It seemed really cool
[2990.74s -> 2993.11s]  from what I saw.
[2993.11s -> 2995.11s]  You've never done a randomizer stream?
[2995.11s -> 2997.11s]  Never. I mean, the only randomizer
[2997.11s -> 2999.11s]  I've ever heard of or ever done was something like
[2999.11s -> 3004.49s]  Team Fortress
[3004.49s -> 3006.49s]  and that just randomizes loadouts, not like
[3006.49s -> 3008.49s]  randomizing the whole game essentially. Oh, I see.
[3008.49s -> 3011.11s]  I gotcha. So I'm just
[3011.11s -> 3013.11s]  kind of, I'm just running until my character
[3013.11s -> 3015.54s]  dies.
[3015.54s -> 3017.54s]  Is that possible?
[3017.54s -> 3019.54s]  You need to feed the character eventually.
[3019.54s -> 3021.54s]  Hey chat, does anyone know how to
[3021.54s -> 3023.54s]  abandon this stupid mailbag quest?
[3023.54s -> 3025.54s]  Oh yeah, I got stuck in
[3025.54s -> 3027.91s]  the mail room by the way. You gotta be
[3027.91s -> 3036.87s]  careful with that mail door.
[3036.87s -> 3038.87s]  Shoot yourself in the head. Okay, now
[3038.87s -> 3040.87s]  the timer ran out. Okay, so now I can probably
[3040.87s -> 3045.86s]  invite you.
[3045.86s -> 3048.62s]  Yes, the mail door.
[3048.62s -> 3050.62s]  The door to the mail room. The mail door.
[3050.62s -> 3052.62s]  I got trapped in there. Remember when I was
[3052.62s -> 3056.20s]  breaking windows? Did someone not
[3056.20s -> 3058.20s]  understand? They were like, what are you talking about, Jerma?
[3058.20s -> 3060.20s]  They were saying like M-A-L-E, like
[3060.20s -> 3062.20s]  mail door. Oh.
[3062.20s -> 3073.13s]  Okay.
[3073.13s -> 3075.56s]  You alright? You okay?
[3075.56s -> 3077.99s]  What happened?
[3077.99s -> 3079.99s]  Tell me in minute detail.
[3079.99s -> 3081.99s]  I got shot in the head.
[3081.99s -> 3083.99s]  Hey, can you invite me?
[3083.99s -> 3085.99s]  I see.
[3085.99s -> 3087.99s]  Because my invite thing is totally
[3087.99s -> 3089.99s]  blocked out for some reason.
[3089.99s -> 3093.56s]  Mine is too.
[3093.56s -> 3095.56s]  You invites and updates.
[3095.56s -> 3098.25s]  Can I?
[3098.25s -> 3101.70s]  Yeah, I can't invite you either.
[3101.70s -> 3105.67s]  It's blocked out.
[3105.67s -> 3107.67s]  Rockstar, what the heck are you doing here?
[3107.67s -> 3115.29s]  I guess I'll just die.
[3115.29s -> 3117.29s]  Are we in the same game?
[3117.29s -> 3120.17s]  I'm playing Red Dead Redemption 3.
[3120.17s -> 3122.54s]  Well, because
[3122.54s -> 3124.54s]  if we're in the same lobby,
[3124.54s -> 3127.16s]  I don't think so.
[3127.16s -> 3129.16s]  No, because I can't. No, I don't think so either.
[3129.16s -> 3131.16s]  Because I can't even get you into my posse.
[3131.16s -> 3135.13s]  R1 on the player list.
[3135.13s -> 3139.16s]  Apparently
[3139.16s -> 3144.28s]  you're not even online.
[3144.28s -> 3146.28s]  Yeah, apparently.
[3146.28s -> 3148.28s]  Go to your friends tabs or go to players and hit R1.
[3148.28s -> 3150.46s]  And does it say I'm like
[3150.46s -> 3159.59s]  online?
[3159.59s -> 3165.42s]  I'm just eating baked beans.
[3165.42s -> 3167.42s]  You know what's a cool thing to do as a streamer I found out
[3167.42s -> 3169.42s]  I've learned over the years?
[3169.42s -> 3171.42s]  Eat food while you're streaming.
[3171.42s -> 3173.42s]  I can't
[3173.42s -> 3175.42s]  do that, man.
[3175.42s -> 3177.42s]  It's either the best thing for some
[3177.42s -> 3179.42s]  people and they love it.
[3179.42s -> 3181.42s]  Or it's like they'll watch
[3181.42s -> 3183.42s]  the stream specifically because it's social eating.
[3183.42s -> 3185.42s]  Yeah, I've heard of that.
[3185.42s -> 3187.42s]  They hate the way it sounds, yeah.
[3187.42s -> 3189.42s]  I've heard of like the social eating thing, but not just like
[3189.42s -> 3191.42s]  oh, hey guys, just gonna take a break from Red Dead
[3191.42s -> 3193.42s]  and eat a plate of spaghetti. Hold on.
[3193.42s -> 3195.42s]  I couldn't do it. I don't want people
[3195.42s -> 3197.42s]  to look at me when I'm eating.
[3197.42s -> 3199.42s]  Yeah, don't fucking look at me is what I say.
[3199.42s -> 3201.42s]  I don't?
[3201.42s -> 3203.42s]  When I go to dinner, out with friends
[3203.42s -> 3205.42s]  or family and the food comes out,
[3205.42s -> 3207.42s]  I hate the fact that everyone's just
[3207.42s -> 3209.42s]  able to look at me just across the table.
[3209.42s -> 3211.42s]  Fuck, you know what?
[3211.42s -> 3213.42s]  Let's go off on this. Fuck the whole table
[3213.42s -> 3215.42s]  scenario that we have here in the United States.
[3215.42s -> 3217.42s]  Somebody's sitting across from you.
[3217.42s -> 3219.42s]  They're always looking at you and they're staring at your eyes
[3219.42s -> 3221.42s]  like you do the weird eye contact when you both take a huge
[3221.42s -> 3223.42s]  bite and you're like, oh, whoops.
[3223.42s -> 3225.42s]  Just line us up on the
[3225.42s -> 3227.42s]  other side so it's just a giant bench
[3227.42s -> 3229.42s]  and no one's across
[3229.42s -> 3231.42s]  from you. Everyone just sits and you can fit so many
[3231.42s -> 3234.62s]  more people. Like Thanksgiving, except
[3234.62s -> 3236.62s]  for the fact that you don't have to sit across from anybody.
[3236.62s -> 3239.37s]  That's like the Last Supper you mean, right?
[3239.37s -> 3241.37s]  What the fuck are you doing here?
[3241.37s -> 3243.37s]  How did you get in here? How did you get in here?
[3243.37s -> 3247.59s]  No, no, no. Get off me.
[3247.59s -> 3250.28s]  Get off me.
[3250.28s -> 3254.31s]  Get your hands in the air. How did you find me?
[3254.31s -> 3257.00s]  I don't even understand how
[3257.00s -> 3260.84s]  you got in here.
[3260.84s -> 3264.68s]  I went into
[3264.68s -> 3266.68s]  the menus and I found you.
[3266.68s -> 3269.62s]  Easy, easy.
[3269.62s -> 3272.50s]  Watch the edge.
[3272.50s -> 3274.50s]  Oh my god, you're choking me to death.
[3274.50s -> 3276.50s]  Oh shit, I didn't mean to do that.
[3276.50s -> 3279.45s]  Oh, that's a shame.
[3279.45s -> 3281.45s]  No, stay right there.
[3281.45s -> 3283.45s]  I want to take a picture of you.
[3283.45s -> 3287.42s]  I want to get like a good photo of you.
[3287.42s -> 3294.97s]  By the way, I'm the camera.
[3294.97s -> 3297.46s]  Okay.
[3297.46s -> 3305.21s]  I lived. I somehow lived.
[3305.21s -> 3307.21s]  Oh, look who I've got.
[3307.21s -> 3310.66s]  Hey, come on down here.
[3310.66s -> 3312.66s]  Come retrieve your body. Who's this?
[3312.66s -> 3314.66s]  Oh, that's me. Was that me?
[3314.66s -> 3316.66s]  Yeah, I threw you down there.
[3316.66s -> 3318.66s]  What the fuck? Hold on a minute.
[3318.66s -> 3321.54s]  I know what we're going to do today.
[3321.54s -> 3325.56s]  Okay, we're going to make
[3325.56s -> 3327.56s]  a bunch of dead bodies of ourselves
[3327.56s -> 3329.80s]  on this ledge.
[3329.80s -> 3331.80s]  It really will be Westworld then.
[3331.80s -> 3333.80s]  I just invited you to a posse though.
[3333.80s -> 3335.80s]  Oh, did you?
[3335.80s -> 3337.80s]  I don't see any invites.
[3337.80s -> 3339.80s]  I think I just kicked the muskrat.
[3339.80s -> 3342.04s]  How come I don't have any invites from you?
[3342.04s -> 3344.66s]  Because this fucking
[3344.66s -> 3346.66s]  service is so fucking broken.
[3348.66s -> 3358.39s]  I'm gone.
[3358.39s -> 3360.39s]  Here's the wild thing.
[3360.39s -> 3362.39s]  This is worse than before. This is worse than it was
[3362.39s -> 3365.14s]  three days ago.
[3365.14s -> 3367.14s]  Did you get disconnected again?
[3367.14s -> 3370.60s]  Yeah, this is worse than it was three days ago.
[3370.60s -> 3378.26s]  Damn.
[3378.26s -> 3380.26s]  There's something wrong with
[3380.26s -> 3382.26s]  what Rockstar servers on the East Coast,
[3382.26s -> 3384.26s]  West Coast specifically, has to be.
[3384.26s -> 3386.82s]  I'm sure it's something.
[3386.82s -> 3388.82s]  Because I have a
[3388.82s -> 3390.82s]  stable connection everywhere.
[3396.78s -> 3398.95s]  Okay, this is weird.
[3398.95s -> 3400.95s]  I'm lagging too because my character is doing the
[3400.95s -> 3402.95s]  whistling face, but there are no whistles coming out of it.
[3408.58s -> 3410.58s]  He says he doesn't eat on stream, but
[3410.58s -> 3412.58s]  there was a time you shoved a bunch of taquitos
[3412.58s -> 3414.58s]  into your mouth or something.
[3414.58s -> 3419.77s]  The character is going
[3419.77s -> 3422.58s]  meme-y.
[3422.58s -> 3424.58s]  I'm all lagged out.
[3424.58s -> 3426.58s]  Did you eat like taquitos
[3426.58s -> 3428.58s]  on stream?
[3428.58s -> 3430.58s]  They said you don't
[3430.58s -> 3432.58s]  eat on stream, but you ate a
[3432.58s -> 3434.58s]  shitload of taquitos when you were shitfaced or something.
[3434.58s -> 3437.59s]  What?
[3437.59s -> 3439.59s]  Oh, they're talking about
[3439.59s -> 3441.59s]  me.
[3441.59s -> 3447.42s]  Oh, me.
[3447.42s -> 3449.42s]  You don't remember this.
[3449.42s -> 3451.42s]  I guess you were shitfaced.
[3451.42s -> 3453.42s]  When did I eat taquitos?
[3453.42s -> 3459.24s]  What the fuck are you guys talking about?
[3459.24s -> 3461.24s]  I ate testiculitos.
[3461.24s -> 3463.24s]  Vdub gave me some.
[3463.24s -> 3465.24s]  What?
[3465.24s -> 3467.54s]  What the fuck?
[3467.54s -> 3469.54s]  I have a rival as a pro Call of Duty player
[3469.54s -> 3471.54s]  named Vdub.
[3471.54s -> 3473.54s]  He's got a thing called testiculitos.
[3473.54s -> 3475.54s]  It's a long story.
[3475.54s -> 3477.54s]  Testiculitos.
[3477.54s -> 3479.54s]  Okay, is your invite
[3479.54s -> 3481.85s]  grayed out?
[3481.85s -> 3483.85s]  Oh yeah, yes it is.
[3483.85s -> 3485.85s]  So, I don't know, maybe there's just a problem again
[3485.85s -> 3487.85s]  and we picked the great, perfect day
[3487.85s -> 3489.85s]  three days later where it just doesn't work
[3489.85s -> 3492.66s]  again.
[3492.66s -> 3494.66s]  I mean, I know how I joined your game before.
[3494.66s -> 3496.66s]  I went into the friends menu, I went to your profile
[3496.66s -> 3498.66s]  and then I clicked join, so I'm going to do that again
[3498.66s -> 3500.66s]  and see if that works.
[3500.66s -> 3502.66s]  Yeah, I don't understand, man. I wish I knew.
[3509.75s -> 3512.38s]  Oh, there's tobacco here.
[3512.38s -> 3516.66s]  I was wasted and
[3516.66s -> 3518.66s]  Kim brought me
[3518.66s -> 3522.12s]  taquitos.
[3522.12s -> 3525.06s]  That didn't happen. I've never had a taquito before
[3525.06s -> 3532.68s]  in my life.
[3532.68s -> 3534.68s]  What did you just crack open?
[3534.68s -> 3537.11s]  Is it like a coarse light?
[3537.11s -> 3539.11s]  No, it was gum, dude.
[3539.11s -> 3541.11s]  I got disconnected again.
[3541.11s -> 3543.61s]  Is there something else we can do?
[3543.61s -> 3545.61s]  I feel like I've like torn
[3545.61s -> 3547.61s]  you away from what you were doing and it's like,
[3547.61s -> 3549.61s]  hey, it's been an hour and everything's just shot.
[3549.61s -> 3551.61s]  This was the plan from the beginning.
[3551.61s -> 3553.61s]  This is not at all
[3553.61s -> 3555.61s]  disrupting me or my streaming.
[3555.61s -> 3558.81s]  Well, I mean, I kind of have to go soon anyway,
[3558.81s -> 3560.81s]  so this isn't really that big of a deal. It's just a shame
[3560.81s -> 3562.81s]  that this doesn't work because I was having fun.
[3562.81s -> 3564.81s]  Yeah, I really want to play it.
[3569.16s -> 3571.16s]  Just watch you play. We're going to
[3571.16s -> 3573.16s]  live vicariously through you.
[3573.16s -> 3575.16s]  Yeah, but even if you do watch me play, I'm going to get
[3575.16s -> 3577.16s]  disconnected too. I've been getting disconnected.
[3577.16s -> 3579.85s]  Alert, you have been disconnected
[3579.85s -> 3581.85s]  from Red Dead Online due to a fault on
[3581.85s -> 3583.85s]  Rockstar Game Services.
[3583.85s -> 3588.50s]  When is the beta supposed to be done?
[3588.50s -> 3594.31s]  A year.
[3594.31s -> 3599.54s]  Alert. Hey, did you
[3599.54s -> 3602.17s]  get the alert? I got an alert.
[3602.17s -> 3604.86s]  Yep. I got it on my cell phone.
[3604.86s -> 3607.48s]  Hey, please ping me.
[3607.48s -> 3609.48s]  Please send me a text every time that
[3609.48s -> 3612.36s]  the servers go down. By the way,
[3612.36s -> 3614.36s]  I think Kraken was playing this not too long ago,
[3614.36s -> 3616.36s]  so maybe we can get the old crew
[3616.36s -> 3618.36s]  back together. Yeah, I'd
[3618.36s -> 3620.36s]  love to actually play this because what's here would
[3620.36s -> 3623.37s]  be fun. Yeah.
[3623.37s -> 3625.37s]  Maybe not, you know, when the game
[3625.37s -> 3627.37s]  is still broken, but when it's fixed,
[3627.37s -> 3629.37s]  we can
[3629.37s -> 3631.86s]  bug Kraken. Yeah, how many people
[3631.86s -> 3633.86s]  can you have in like a squad?
[3633.86s -> 3636.10s]  I think four.
[3636.10s -> 3638.10s]  Four for a non-paid posse.
[3638.10s -> 3640.10s]  You have to pay,
[3640.10s -> 3642.47s]  you have to actually pay for it
[3642.47s -> 3645.48s]  with like in-game money.
[3645.48s -> 3647.48s]  That's kind of weird. That's cool.
[3647.48s -> 3649.48s]  Yeah. What about
[3649.48s -> 3651.48s]  Critical? Critical is like, he's a bigger
[3651.48s -> 3653.48s]  YouTuber slash street, like
[3653.48s -> 3655.48s]  I guess more YouTuber, but he's like such a big
[3655.48s -> 3657.48s]  YouTuber. I always feel bad bothering him. I don't know.
[3657.48s -> 3660.15s]  It's hard to explain.
[3660.15s -> 3662.15s]  I would like to get Critical involved.
[3662.15s -> 3664.15s]  He's not a very proactive person
[3664.15s -> 3666.15s]  when it comes to stuff like this.
[3666.15s -> 3668.71s]  He threw
[3668.71s -> 3670.71s]  cards at me the other day, and
[3670.71s -> 3672.71s]  I was screaming at him and stuff. So yeah,
[3672.71s -> 3674.71s]  maybe he'll play. You think he would be
[3674.71s -> 3676.71s]  down? Maybe, yeah.
[3676.71s -> 3678.71s]  I'll give him a shout. I was going to talk to him anyways.
[3678.71s -> 3680.71s]  So how
[3680.71s -> 3682.71s]  about we make a plan without
[3682.71s -> 3684.71s]  people expecting it to be
[3684.71s -> 3686.71s]  like Word of God, that it's going
[3686.71s -> 3688.71s]  to happen 100%. But when this
[3688.71s -> 3690.71s]  game gets fixed, and when
[3690.71s -> 3692.71s]  we can play with a stable connection,
[3692.71s -> 3694.71s]  me, you, Criken,
[3694.71s -> 3696.71s]  Critical will try to get like a thing going.
[3696.71s -> 3699.14s]  Oh, sick! That sounds
[3699.14s -> 3701.70s]  good. Cool.
[3701.70s -> 3703.70s]  So,
[3703.70s -> 3705.70s]  I think,
[3705.70s -> 3707.70s]  I don't know what your plan is. Are you going to just
[3707.70s -> 3710.52s]  take off? What, tonight?
[3710.52s -> 3712.52s]  Like right now. Like
[3712.52s -> 3714.52s]  right now? I'm going to invite you one more time because
[3714.52s -> 3716.52s]  I think the server's restarted. Oh, the server's
[3716.52s -> 3718.52s]  restarted? Yeah, maybe.
[3718.52s -> 3724.09s]  Okay. Somebody said,
[3724.09s -> 3726.09s]  oh no, it's the end of the stream voice.
[3728.09s -> 3730.09s]  Mine? No, I like mine.
[3730.09s -> 3732.09s]  Like, all right, do you do a thing when you
[3732.09s -> 3734.09s]  stream, when like, okay, let's say you've been streaming for
[3734.09s -> 3736.09s]  you know, six, seven, four,
[3736.09s -> 3738.09s]  whatever, five. You're getting a little tired.
[3738.09s -> 3740.39s]  Do you do like a, okay,
[3740.39s -> 3742.39s]  so, do you do like a, I'm going to
[3742.39s -> 3744.39s]  end the stream voice? Yep.
[3744.39s -> 3746.39s]  Yeah. I think so.
[3746.39s -> 3752.34s]  I didn't just do it right there.
[3752.34s -> 3754.34s]  Are you in game? I'm loading in
[3754.34s -> 3756.34s]  right now. Okay, when, okay, let me know
