[0.66s -> 1.16s]  How's it going?
[4372.49s -> 4373.41s]  God help us.
[4379.05s -> 4380.53s]  Use the angel for the ceiling.
[4381.88s -> 4382.56s]  Does it have enough weight?
[4392.72s -> 4394.04s]  I'm not sure this has enough weight.
[4398.72s -> 4399.68s]  Break the angel maybe?
[4401.07s -> 4401.87s]  That's not a bad idea.
[4408.24s -> 4409.32s]  Oh, that was a direct hit.
[4412.04s -> 4412.72s]  That was a direct hit.
[4412.76s -> 4413.84s]  Smash the button.
[4415.36s -> 4415.80s]  Good idea.
[4431.32s -> 4433.12s]  Smash that like button.
[4435.32s -> 4436.40s]  Press it a hundred times.
[4442.48s -> 4453.54s]  Oh, what just came out?
[4455.08s -> 4455.44s]  What was that?
[4455.88s -> 4456.40s]  I heard something come out.
[4459.10s -> 4459.62s]  What is that?
[4461.76s -> 4462.32s]  Potato?
[4462.32s -> 4463.12s]  Like a baked potato.
[4463.16s -> 4463.72s]  Ooh, wood.
[4463.72s -> 4464.28s]  This is wood.
[4464.28s -> 4465.08s]  Wood makes fire.
[4465.08s -> 4466.60s]  Fire makes electricity.
[4466.60s -> 4467.96s]  Electricity makes currents.
[4467.96s -> 4469.76s]  Currents allows for a bomb to be lit.
[4471.67s -> 4471.91s]  Okay.
[4471.91s -> 4472.27s]  Here we go.
[4484.54s -> 4484.98s]  Come on.
[4484.98s -> 4485.74s]  I need a spark.
[4499.76s -> 4500.68s]  This has to work.
[4502.12s -> 4503.56s]  How could I, how would this not light on fire?
[4504.38s -> 4505.50s]  You need fire.
[4505.58s -> 4507.10s]  I need a fire duck.
[4511.64s -> 4514.64s]  Wait, what if we put the fire, the wood right on top of the vent here?
[4515.77s -> 4516.53s]  Can we like roast it?
[4516.85s -> 4517.65s]  Like a marshmallow kind of?
[4529.13s -> 4531.29s]  No, we need, we need a duck that's on fire.
[4538.53s -> 4540.61s]  So the way that you're problem solving is concerning.
[4543.84s -> 4546.48s]  Dude, it's a, it's a duck game.
[4550.80s -> 4552.24s]  I'm not changing a tire.
[4561.21s -> 4562.13s]  You were right the first time.
[4562.13s -> 4562.65s]  Restart.
[4563.17s -> 4563.69s]  Fire.
[4563.93s -> 4564.21s]  Okay.
[4564.21s -> 4564.53s]  All right.
[4564.57s -> 4565.65s]  Well, you have to, we're restarting.
[4568.67s -> 4569.83s]  It's a lot of ducks I haven't seen yet.
[4572.69s -> 4572.89s]  All right.
[4572.89s -> 4573.89s]  We'll get, we're going to restart.
[4575.96s -> 4576.36s]  New game.
[4582.59s -> 4583.75s]  Stop bullying Jerma.
[4583.83s -> 4584.39s]  Stop.
[4584.63s -> 4585.55s]  What the heck did I do?
[4585.63s -> 4589.18s]  Thank you.
[4591.56s -> 4592.20s]  You've ruined it.
[4592.56s -> 4593.24s]  I don't think I did.
[4593.73s -> 4594.69s]  I had the, okay.
[4594.69s -> 4597.67s]  That metal duck was small enough for me to throw.
[4598.76s -> 4603.08s]  I think I need to use the metal duck to break that panel and break the lights.
[4605.28s -> 4606.32s]  Oh shit.
[4608.87s -> 4609.63s]  I can get them back.
[4614.84s -> 4615.88s]  I'm not getting to a million again.
[4615.88s -> 4618.42s]  I just want to see, I want to see what's behind the panels.
[4619.02s -> 4620.30s]  We, I want to see the content.
[4627.88s -> 4629.20s]  That's a good strategy for the beginning.
[4634.87s -> 4652.71s]  It's kind of very gently.
[4652.71s -> 4653.79s]  You got to get, here we go right here.
[4653.83s -> 4654.95s]  And then just shake.
[4672.13s -> 4675.87s]  This gives us the metal one.
[4675.87s -> 4676.15s]  No.
[4676.64s -> 4676.96s]  All right.
[4678.20s -> 4679.08s]  I don't want to use that.
[4679.32s -> 4679.72s]  Okay.
[4679.72s -> 4679.96s]  Okay.
[4679.96s -> 4681.68s]  Keep all the power-ups in the corner.
[4683.83s -> 4685.59s]  Cause I don't want to use them until later.
[4691.80s -> 4717.30s]  So now, wood, you get the wood duck.
[4717.30s -> 4718.02s]  Oh, that's right.
[4737.22s -> 4737.54s]  All right.
[4737.54s -> 4738.26s]  Wood duck.
[4742.81s -> 4743.81s]  Upgrade the wood.
[4744.13s -> 4744.65s]  Let's see what happens.
[4753.02s -> 4753.46s]  Nothing.
[4753.66s -> 4756.44s]  No upgrade for the wood duck.
[4760.38s -> 4760.62s]  Okay.
[4760.62s -> 4762.06s]  Well, how much is the wood duck worth?
[4763.24s -> 4763.92s]  Nothing.
[4770.57s -> 4771.09s]  Nothing.
[4774.71s -> 4774.95s]  All right.
[4774.95s -> 4776.23s]  Well, we have to stay with the strategy.
[4777.07s -> 4778.11s]  Strat's going to stay the same.
[4786.12s -> 4786.52s]  What was that?
[4788.56s -> 4789.68s]  Look at the above.
[4793.10s -> 4796.58s]  Wait, what if we get to one, three, five, six and just don't do anything?
[4800.45s -> 4801.01s]  Does that make sense?
[4805.16s -> 4806.32s]  One, three, five, six.
[4806.32s -> 4806.76s]  And then I'm done.
[4807.20s -> 4807.36s]  Right.
[4807.36s -> 4808.12s]  I know I'm going to see what happens.
[4808.24s -> 4811.64s]  That's worth two.
[4811.64s -> 4811.84s]  All right.
[4811.84s -> 4813.56s]  We're going to do the wiggle strat.
[4813.56s -> 4813.76s]  Yep.
[4836.93s -> 4837.21s]  Right.
[4837.49s -> 4837.93s]  This is the one.
[4845.28s -> 4845.52s]  All right.
[4845.52s -> 4846.52s]  Keep that power up.
[4846.60s -> 4848.36s]  I probably want all of them over here.
[4850.04s -> 4850.76s]  I have two right now.
[4850.76s -> 4851.48s]  Don't let me forget that.
[4851.48s -> 4851.92s]  Cause I will.
[4855.41s -> 4875.44s]  One, three, five, six, seven 52.
[4877.72s -> 4879.44s]  I don't, I don't want anybody bouncing around right now.
[4889.60s -> 4891.20s]  Use the bottom tri corner.
[4891.87s -> 4894.39s]  I think I can't really crouch, but that actually worked pretty well.
[4903.37s -> 4903.97s]  I wish I could crouch.
[4906.49s -> 4907.45s]  What's your favorite pasta sauce?
[4908.01s -> 4909.01s]  Uh, that varies.
[4909.78s -> 4911.70s]  Sometimes it's like a tomato, garlic, basil.
[4911.94s -> 4916.16s]  Sometimes it's, um, nothing at all.
[4916.16s -> 4916.60s]  Actually.
[4916.60s -> 4918.72s]  A lot of times it's actually just olive oil and a little bit of salt.
[4919.45s -> 4920.13s]  A little bit of pepper.
[4922.68s -> 4924.28s]  That's probably actually my favorite way to eat it.
[4925.04s -> 4929.38s]  My favorite way to eat pasta is just a little bit of olive oil and a little bit
[4929.38s -> 4934.32s]  of salt and pepper, maybe sprinkle a little bit of Parmesan, but not necessarily.
[4936.72s -> 4937.76s]  Pesto is amazing too.
[4949.16s -> 4950.60s]  Butter, buttered noodles.
[4950.60s -> 4957.91s]  Andy, I would like for all of you to just look up pasta and olive oil and
[4957.91s -> 4959.91s]  understand that that is a classic dish.
[4959.95s -> 4962.99s]  That is not, that is not like a children's menu dish.
[4964.00s -> 4967.16s]  You actually need to look into that because you've got that wrong.
[4971.99s -> 4973.35s]  This is really upsetting him.
[4977.45s -> 4977.77s]  All right.
[4977.77s -> 4979.69s]  One, three, five, six.
[4989.64s -> 4990.56s]  Stop bouncing around.
[4993.29s -> 4993.45s]  Yeah.
[4993.45s -> 4997.37s]  I really, a nice olive oil pasta.
[4998.56s -> 4999.24s]  Not a whole lot either.
[4999.24s -> 5000.00s]  Just, just enough to get it.
[5001.00s -> 5002.80s]  A little bit, just like a touch of salt.
[5039.04s -> 5040.08s]  He's having fun.
[5040.32s -> 5042.36s]  Actually, I am actually having a lot of fun.
[5050.32s -> 5050.56s]  All right.
[5050.56s -> 5051.08s]  Wait a minute.
[5051.48s -> 5052.72s]  How many bounces does it do?
[5052.72s -> 5058.99s]  If I just let it go like right here, two, three, four, five, six, seven.
[5059.03s -> 5059.79s]  Oh my God.
[5059.79s -> 5061.23s]  This is going to be fucking horrible.
[5100.92s -> 5101.32s]  Did I get it?
[5103.36s -> 5104.64s]  I don't know what happened.
[5105.12s -> 5106.12s]  I don't understand what I was supposed to do.
[5117.76s -> 5118.84s]  What did I, what did I do wrong?
[5118.88s -> 5119.48s]  Nothing happened.
[5121.74s -> 5124.50s]  You understood you just messed it up, but what did I do?
[5126.37s -> 5127.49s]  I have to actually restart it.
[5129.03s -> 5129.91s]  You were impatient.
[5131.66s -> 5134.54s]  Do I just stand in the middle of the room at one, three, five, six.
[5135.87s -> 5137.03s]  You need to click the button.
[5140.10s -> 5141.90s]  It just gave you, it just made the button green.
[5142.34s -> 5142.54s]  All right.
[5142.54s -> 5146.65s]  Did it actually even do anything or am I being gas lit?
[5161.23s -> 5161.95s]  3000.
[5164.56s -> 5164.80s]  All right.
[5164.80s -> 5165.48s]  Keep these.
[5168.79s -> 5169.83s]  You lost an upgrade.
[5169.91s -> 5172.08s]  Where's the, where's the other one?
[5173.60s -> 5174.24s]  Did this thing eat it?
[5180.64s -> 5181.00s]  Okay.
[5181.68s -> 5187.43s]  Um, I want the metal duck, so let's just go ahead and hang out and talk about
[5187.43s -> 5188.63s]  pasta for a little bit of minutes.
[5189.46s -> 5189.78s]  All right.
[5191.32s -> 5196.58s]  Uh, so there's the metal one right there.
[5199.98s -> 5200.22s]  All right.
[5200.22s -> 5200.54s]  Cool.
[5200.66s -> 5201.26s]  Perfect.
[5208.94s -> 5209.46s]  Nice.
[5209.58s -> 5209.86s]  Okay.
[5209.86s -> 5211.22s]  There's electricity up there now.
[5212.14s -> 5215.82s]  I think that means bomb, but let's break everything.
[5216.76s -> 5217.48s]  What happens when I do this?
[5223.01s -> 5224.53s]  You stupid piece of shit.
[5224.53s -> 5225.53s]  You actually got into the corner.
[5225.53s -> 5227.93s]  You viewed the DVD menu thing, hit the corner.
[5228.25s -> 5228.97s]  It's impossible.
[5235.44s -> 5237.08s]  That's exactly why I placed it all over there.
[5243.03s -> 5243.19s]  All right.
[5243.19s -> 5243.87s]  What happens when I do this?
[5249.31s -> 5249.43s]  Okay.
[5249.43s -> 5250.15s]  That's kind of creepy.
[5255.74s -> 5256.54s]  Don't touch that.
[5274.25s -> 5274.61s]  Okay.
[5276.51s -> 5276.87s]  Now what?
[5282.22s -> 5282.66s]  What was that?
[5285.39s -> 5286.99s]  It's like Satan duck.
[5291.68s -> 5292.08s]  I feed it.
[5294.83s -> 5295.91s]  I'm going to feed the Satan duck.
[5301.42s -> 5301.82s]  You can't.
[5306.64s -> 5307.24s]  Okay.
[5307.72s -> 5308.88s]  So what's the point of this though?
[5313.85s -> 5315.01s]  Now I'll get the angel duck.
[5317.91s -> 5318.79s]  Um, okay.
[5318.99s -> 5320.91s]  Angel duck is just any points, right?
[5330.04s -> 5331.12s]  What gives a lot of points?
[5332.04s -> 5333.36s]  I got to catch the, uh, all right.
[5333.36s -> 5334.40s]  This is going to be unbearable.
[5334.40s -> 5337.12s]  I'm apologize already, but we have to do this for a minute.
[5337.92s -> 5340.72s]  Uh, I need to grab that and go into the corner and just do the wiggle.
[5343.48s -> 5344.32s]  I need bone duck.
[5344.36s -> 5344.76s]  Oh, yep.
[5344.76s -> 5344.88s]  Yep.
[5344.88s -> 5345.04s]  Yep.
[5345.04s -> 5345.24s]  Yep.
[5345.24s -> 5345.44s]  Yep.
[5345.76s -> 5350.28s]  What corner is it in?
[5350.64s -> 5353.68s]  Thank God.
[5363.26s -> 5368.47s]  Hey, this bone green button.
[5372.95s -> 5374.99s]  Do not do not do not do not.
[5375.19s -> 5375.71s]  Here we go.
[5376.78s -> 5377.54s]  I think I have enough to do it.
[5377.54s -> 5377.78s]  Don't I?
[5378.18s -> 5381.23s]  The three or four are angel duck.
[5381.75s -> 5383.51s]  And I have the Satan duck.
[5384.15s -> 5385.07s]  What happens when I put them together?
[5401.93s -> 5402.69s]  Nothing so far.
[5410.15s -> 5411.07s]  I'm glad I have light though.
[5411.07s -> 5412.11s]  Let's put it like right in the middle.
[5419.20s -> 5419.40s]  All right.
[5419.40s -> 5420.28s]  There's a blue.
[5425.11s -> 5426.71s]  Hold the bad one.
[5426.91s -> 5427.27s]  Hold on.
[5435.00s -> 5435.76s]  Oh shit.
[5435.76s -> 5436.92s]  You make them evil.
[5438.04s -> 5442.04s]  Wait, can you do that with the angel duck too?
[5451.48s -> 5453.84s]  You can.
[5455.35s -> 5456.03s]  What is it doing?
[5457.08s -> 5458.72s]  Is it making them just regular size?
[5465.75s -> 5466.79s]  That's an original duck.
[5466.79s -> 5476.65s]  Now make it the King evil.
[5477.29s -> 5479.92s]  Can I even upgrade wrong duck?
[5488.33s -> 5490.05s]  I wish I could see anything.
[5490.37s -> 5494.40s]  Okay.
[5494.48s -> 5495.80s]  So wait, get over here.
[5496.16s -> 5496.80s]  Does it not do anything?
[5502.66s -> 5503.82s]  Read the duck decks.
[5507.50s -> 5508.10s]  Dark duck.
[5509.60s -> 5510.24s]  Bomb duck.
[5511.92s -> 5512.60s]  Holy duck.
[5514.60s -> 5515.36s]  Skeleton duck.
[5515.52s -> 5516.24s]  Still missing a few.
[5520.00s -> 5521.00s]  Extra large duck.
[5521.74s -> 5522.78s]  16 bit duck.
[5524.21s -> 5525.01s]  Holy duck.
[5526.12s -> 5527.08s]  Isn't that the one I already have though?
[5528.44s -> 5530.80s]  Read, read.
[5531.61s -> 5532.53s]  I can't like open this.
[5535.13s -> 5536.05s]  Throw the wood at the wire.
[5536.76s -> 5538.60s]  I don't want to throw the wood at the wire until I have the bomb.
[5547.04s -> 5547.56s]  That makes sense.
[5547.56s -> 5547.84s]  Doesn't it?
[5556.09s -> 5557.65s]  If I light it right now, will it stay on fire?
[5565.24s -> 5565.80s]  Oh shit.
[5565.80s -> 5566.76s]  I don't even know what the panel is.
[5571.34s -> 5572.02s]  Not that side.
[5578.09s -> 5579.77s]  Evil duck is removing points.
[5579.81s -> 5580.25s]  That's all right.
[5585.89s -> 5586.13s]  All right.
[5586.13s -> 5587.29s]  This is all right.
[5587.29s -> 5587.97s]  Here's bomb duck.
[5588.95s -> 5590.71s]  I need to take a second because I need light.
[5592.30s -> 5593.30s]  Where's the bomb panel.
[5595.68s -> 5599.60s]  I think it's, I just got hit in the head in like real life.
[5599.60s -> 5602.32s]  That felt like, okay, there's this panel.
[5603.78s -> 5606.50s]  The other panel is on the other side, right?
[5618.44s -> 5619.52s]  Where is this panel?
[5622.70s -> 5623.66s]  Where is the panel?
[5624.60s -> 5632.50s]  What side is the panel on above the button?
[5641.46s -> 5642.02s]  Does that work?
[5646.95s -> 5648.27s]  Hey dude, do you want to see the burrito?
[5649.07s -> 5650.79s]  Um, I'm sure it's delicious, but I'm good.
[5650.79s -> 5651.23s]  Thanks man.
[5652.60s -> 5653.00s]  There it is.
[5653.00s -> 5653.20s]  Okay.
[5653.20s -> 5653.48s]  I see.
[5660.48s -> 5660.96s]  Is that it?
[5666.48s -> 5668.34s]  I should have broke this before.
[5695.94s -> 5697.94s]  I wanted to place that there for some marker.
[5702.16s -> 5702.44s]  Got it.
[5704.90s -> 5705.22s]  Okay.
[5705.50s -> 5706.10s]  Wood duck.
[5710.09s -> 5710.89s]  Where's wooden duck?
[5712.09s -> 5713.29s]  Wooden duck is right here.
[5714.96s -> 5716.44s]  Light wooden duck on fire.
[5717.04s -> 5717.80s]  And then hold on.
[5717.88s -> 5718.52s]  It's a button to press.
[5722.25s -> 5722.57s]  Okay.
[5722.85s -> 5724.84s]  Put that in the corner over here.
[5727.08s -> 5727.28s]  Okay.
[5727.28s -> 5728.92s]  Where's that bomb panel?
[5728.92s -> 5730.32s]  It's right here.
[5739.44s -> 5740.00s]  Get over here.
[5748.43s -> 5748.67s]  All right.
[5748.71s -> 5749.43s]  There it is.
[5750.84s -> 5751.08s]  Place.
[5751.20s -> 5752.28s]  Can you place that a throw?
[5762.81s -> 5763.73s]  I don't think you can place.
[5765.60s -> 5767.84s]  I'd like for it to end up hanging out in the corner over there though.
[5768.42s -> 5768.74s]  Oh, whatever.
[5768.74s -> 5769.26s]  I know where it is.
[5769.26s -> 5769.70s]  Just give me.
[5780.14s -> 5781.14s]  I can't just let go of it.
[5783.91s -> 5786.79s]  And when you let go of it, you just whip it against the wall as hard as you can.
[5790.92s -> 5791.36s]  Is it off?
[5799.20s -> 5799.44s]  Okay.
[5799.44s -> 5799.88s]  It's off.
[5800.74s -> 5803.76s]  Now I need to, I have to place this here.
[5805.20s -> 5807.40s]  Like I have to just figure out how to get stuck.
[5809.98s -> 5811.10s]  It just bounces way too much.
[5814.08s -> 5814.92s]  We're gonna have to just guess.
[5818.10s -> 5818.26s]  All right.
[5818.26s -> 5818.74s]  Where's the wood?
[5833.21s -> 5833.57s]  Okay.
[5833.61s -> 5834.33s]  Let's light that.
[5837.08s -> 5838.08s]  Actually leave that there.
[5838.36s -> 5843.69s]  I'm going to put the bomb right here as close as I can get to this.
[5843.69s -> 5846.28s]  Cause it's going to fall and then I need to light it.
[5846.80s -> 5847.84s]  So it's right next to it.
[5847.84s -> 5848.04s]  Okay.
[5848.04s -> 5848.64s]  It's right here.
[5849.40s -> 5850.24s]  That's probably too close.
[5866.92s -> 5867.64s]  Is it not going to work?
[5872.36s -> 5872.80s]  Oh shit.
[5872.84s -> 5873.20s]  Oh shit.
[5873.20s -> 5873.56s]  Oh shit.
[5873.56s -> 5873.88s]  Oh shit.
[5873.92s -> 5874.12s]  Okay.
[5874.12s -> 5874.32s]  Okay.
[5874.32s -> 5874.60s]  Okay.
[5875.12s -> 5875.60s]  Where's the bomb?
[5875.88s -> 5876.85s]  Where's the bomb?
[5878.37s -> 5879.09s]  Where's the bomb?
[5879.69s -> 5880.45s]  It's the bomb.
[5881.77s -> 5883.37s]  How long is that on fire for?
[5885.72s -> 5886.44s]  Get over here.
[5886.60s -> 5887.16s]  Where's the bomb?
[5893.32s -> 5893.52s]  Where?
[5895.42s -> 5896.34s]  Oh my God.
[5896.34s -> 5897.50s]  You stupid fucking thing.
[5897.50s -> 5898.90s]  I hate that Nyan cat thing.
[5899.50s -> 5900.62s]  You just ruined everything.
[5902.16s -> 5902.68s]  Where is it now?
[5904.79s -> 5905.39s]  Oh my God.
[5905.39s -> 5906.39s]  Get out of my way.
[5915.24s -> 5915.92s]  Where did it go?
[5921.78s -> 5922.22s]  All right.
[5922.22s -> 5924.60s]  Stop right there.
[5924.64s -> 5926.24s]  It's directly across.
[5926.44s -> 5927.00s]  No, it's not.
[5930.16s -> 5931.52s]  It's a little bit to the left.
[5933.04s -> 5933.56s]  All right, here we go.
[5934.32s -> 5938.78s]  I need to grab the bomb because it's right here.
[5939.18s -> 5940.42s]  It's not directly across.
[5948.02s -> 5948.62s]  Where did it go?
[5948.94s -> 5951.74s]  Did that stupid Nyan cat thing fucking knock it out of the way?
[5952.10s -> 5953.38s]  I hate that thing so much.
[5954.58s -> 5955.50s]  I don't even know where it is now.
[5957.53s -> 5958.37s]  Where did you knock it?
[5967.08s -> 5968.32s]  Well, here's the bomb.
[5970.10s -> 5971.02s]  Oh my, give it to me.
[5971.06s -> 5972.06s]  Oh my God.
[5981.76s -> 5982.88s]  I'm I hate this game.
[5992.90s -> 5994.70s]  Give me my panel back.
[5998.94s -> 6000.38s]  I need one light panel.
[6005.44s -> 6006.28s]  Is it, is it lit?
[6006.48s -> 6006.68s]  All right.
[6006.68s -> 6007.04s]  It's lit.
[6014.84s -> 6015.40s]  What is this?
[6016.00s -> 6016.76s]  This is a purple duck.
[6017.08s -> 6017.64s]  Oh, it's pink.
[6031.40s -> 6032.32s]  Where are you?
[6033.41s -> 6033.65s]  Okay.
[6033.65s -> 6034.25s]  There he is.
[6034.37s -> 6035.09s]  Now, wait a minute.
[6035.99s -> 6037.07s]  Right across here.
[6038.10s -> 6043.27s]  I have to, oh my God.
[6050.15s -> 6050.99s]  This is going to be loud.
[6052.20s -> 6052.92s]  Is that the right spot?
[6054.67s -> 6055.03s]  I got it.
[6061.64s -> 6061.92s]  I got it.
[6061.92s -> 6062.16s]  I got it.
[6062.16s -> 6062.40s]  I got it.
[6062.40s -> 6062.68s]  I got it.
[6062.68s -> 6062.96s]  I got it.
[6065.92s -> 6066.64s]  I love this game.
[6070.53s -> 6070.73s]  Okay.
[6070.73s -> 6074.01s]  Now I can break that open with the big metal duck.
[6077.68s -> 6078.68s]  I have power up somewhere, right?
[6080.40s -> 6081.32s]  Oh, do I need a key?
[6086.98s -> 6087.58s]  Do I need a key?
[6089.40s -> 6090.60s]  You have a negative score.
[6090.80s -> 6100.05s]  I just found out you ate him and this game.
[6101.32s -> 6102.60s]  I didn't even want to click on it.
[6102.60s -> 6104.48s]  The Nyan cat pushed it into me.
[6110.94s -> 6111.82s]  Can I break it?
[6116.23s -> 6118.07s]  Do I actually need a key or could I break it?
[6119.46s -> 6120.70s]  I can definitely break it, right?
[6131.66s -> 6131.90s]  All right.
[6131.94s -> 6132.54s]  Break this.
[6144.39s -> 6148.54s]  I can't skeleton key duck.
[6151.18s -> 6152.34s]  Uh, I already have this.
[6153.10s -> 6153.94s]  I don't have a skeleton anymore.
[6153.94s -> 6155.60s]  Wait, does that actually work?
[6156.76s -> 6157.48s]  Upgrade fire.
[6161.85s -> 6164.31s]  Can't yeah.
[6164.31s -> 6165.23s]  Skeleton became angel.
[6165.51s -> 6170.50s]  I can't leave without, I got it.
[6170.50s -> 6172.18s]  At least I got it.
[6172.42s -> 6173.93s]  I can't not open this.
[6174.49s -> 6176.57s]  This is like the big treasure chest of the game.
[6177.52s -> 6177.88s]  Burn it.
[6184.54s -> 6185.42s]  Upgrade the chest.
[6186.99s -> 6192.05s]  Oh, you need a negative score.
[6193.88s -> 6194.08s]  All right.
[6194.08s -> 6195.08s]  So, all right, all right, all right.
[6195.16s -> 6195.48s]  Let's go.
[6195.48s -> 6195.72s]  Let's go.
[6195.72s -> 6195.96s]  I got it.
[6195.96s -> 6196.24s]  I got it.
[6196.60s -> 6211.01s]  So we have to make a bunch of devil, um, bunch of devils and that will bring my
[6211.01s -> 6211.57s]  score negative.
[6217.59s -> 6218.15s]  Is that accurate?
[6228.55s -> 6228.75s]  All right.
[6228.75s -> 6229.67s]  This is going to take a little while.
[6229.67s -> 6230.99s]  So we're going to put a new OST on.
[6230.99s -> 6232.51s]  Can we get a recommendation?
[6234.39s -> 6237.07s]  Maybe make, can you make the Nyan cat want a devil?
[6249.95s -> 6250.59s]  I'm not sure you can.
[6260.84s -> 6262.16s]  Now I'm not leaving until I open this box.
[6263.06s -> 6264.38s]  This is like the good ending.
[6266.45s -> 6268.17s]  Uh, I'm just going to keep making them.
[6268.95s -> 6269.63s]  Can I upgrade them?
[6279.85s -> 6280.25s]  All right.
[6280.37s -> 6280.97s]  Uh, yeah.
[6280.97s -> 6283.33s]  Mods get a, get a good four choices.
[6292.24s -> 6300.08s]  No, no one's forcing you to play this.
[6300.12s -> 6301.48s]  I, I want to play this.
[6301.88s -> 6303.84s]  That's why I'm playing.
[6308.88s -> 6312.96s]  I not jokingly enough want to see the end.
[6325.46s -> 6326.82s]  Am I, I'm not losing points though.
[6338.78s -> 6340.10s]  Smash the battery again.
[6340.42s -> 6341.98s]  Make a negative battery.
[6347.95s -> 6351.32s]  Uh, it sounds a little too complicated.
[6353.46s -> 6357.03s]  I feel like I have to restart to get to the next part, but I can't.
[6359.42s -> 6363.02s]  I feel like I gained way too many points with the Nyan cat one.
[6366.15s -> 6368.87s]  Cause I'm gonna have to sit here and make a ton of negative scoring ducks and it's
[6368.87s -> 6370.87s]  going to take an hour to reverse it.
[6373.40s -> 6374.20s]  I'm going to give it one more try.
[6376.73s -> 6377.33s]  The runs are ruined.
[6377.33s -> 6377.65s]  It's all right.
[6385.80s -> 6387.64s]  The key is minus 50 K.
[6387.64s -> 6388.00s]  Okay.
[6390.24s -> 6391.32s]  Leaving the lights on this time.
[6397.03s -> 6405.44s]  So this time the goal is to get, just don't break the lights.
[6414.16s -> 6414.56s]  Okay.
[6416.80s -> 6418.64s]  You need to break the lights to get devil duck.
[6419.51s -> 6420.75s]  Oh, that's true.
[6426.96s -> 6428.24s]  You need to break the lights eventually.
[6429.04s -> 6429.88s]  Hmm.
[6434.36s -> 6439.15s]  I think, yeah, I think I can get the wood duck first.
[6439.23s -> 6441.44s]  Get the bomb done out of the way.
[6448.84s -> 6449.08s]  Yeah.
[6449.08s -> 6451.52s]  I'm going to, once I get the chest out, then I can figure that out.
[6456.80s -> 6458.72s]  Bomb will come after the Nyan cat.
[6468.44s -> 6468.56s]  Yeah.
[6468.56s -> 6473.78s]  Trying to not get the Nyan cat to upgrade is the real problem.
[6476.64s -> 6477.40s]  Where can I put this?
[6477.40s -> 6478.80s]  We're just maybe like behind here.
[6478.84s -> 6479.08s]  Okay.
[6479.08s -> 6479.72s]  What if I do this?
[6481.13s -> 6482.01s]  I'm going to make a shield.
[6485.88s -> 6489.28s]  So it'll never, it'll always have to bounce off of this first.
[6489.32s -> 6490.48s]  It's not going to ever go in there.
[6492.27s -> 6493.55s]  We need to make a protective box.
[6495.24s -> 6497.12s]  So now it almost physically can't touch it.
[6499.60s -> 6499.92s]  Okay.
[6507.62s -> 6509.46s]  I'm giving this one more attempt, and then I'm going to open up the
[6509.46s -> 6513.41s]  armored core six tutorial and, um, get very angry.
[6513.77s -> 6514.37s]  I don't think I will.
[6514.41s -> 6514.97s]  I think I'll have fun.
[6522.85s -> 6523.37s]  Okay.
[6524.69s -> 6525.81s]  So what's the order?
[6526.88s -> 6527.32s]  What do you guys think?
[6527.32s -> 6527.84s]  What's the order?
[6529.18s -> 6529.82s]  Wood duck?
[6532.01s -> 6532.97s]  Blow up wall.
[6533.84s -> 6534.76s]  I got to get metal duck.
[6542.52s -> 6543.76s]  Oh, that's a good idea.
[6544.50s -> 6547.26s]  Hide the batteries in the, where the bone duck was.
[6560.76s -> 6561.88s]  Break one light.
[6562.44s -> 6563.60s]  Make a bunch of children.
[6563.80s -> 6566.32s]  Then once you blow up the wall, turn all the lights out to get the
[6566.32s -> 6567.40s]  devil and bounce them around.
[6567.68s -> 6568.52s]  Good idea.
[6568.72s -> 6569.04s]  Actually.
[6569.04s -> 6569.44s]  Great idea.
[6590.74s -> 6591.10s]  Okay.
[6592.52s -> 6593.08s]  That was about right.
[6596.86s -> 6597.06s]  All right.
[6597.06s -> 6598.74s]  We got hot wheels, stunt track coming up.
[6602.97s -> 6606.68s]  Hot wheels, stunt track.
[6607.08s -> 6607.68s]  Oh, S T.
[6607.68s -> 6608.68s]  Is this, what was this for?
[6612.44s -> 6613.36s]  Hot wheels, stunt track.
[6613.89s -> 6614.89s]  Oh, S T.
[6617.81s -> 6618.61s]  I think this is correct.
[6621.06s -> 6622.26s]  Ooh, this sounds pretty good.
[6624.60s -> 6624.96s]  All right.
[6624.96s -> 6625.56s]  I'm into this.
[6632.08s -> 6632.28s]  Cool.
[6644.10s -> 6646.70s]  It's like rubber ducky death metal.
[6657.23s -> 6659.43s]  He's saying all kinds of fucked up shit right now.
[6673.15s -> 6674.35s]  This is not death metal.
[6675.03s -> 6676.43s]  He listened to this death metal.
[6682.26s -> 6683.94s]  You need to open poke stream right now.
[6683.94s -> 6684.86s]  It's very important.
[6686.43s -> 6686.71s]  Why?
[6703.51s -> 6710.07s]  This warlock thing, this warlock, this warlock, this warlock item.
[6715.00s -> 6716.16s]  He's kind of doing it to the beat.
[6719.20s -> 6719.88s]  Oh, keep going.
[6721.16s -> 6721.96s]  You're cooking right now.
[6722.62s -> 6723.42s]  Just keep farming money.
[6723.42s -> 6726.94s]  It's got a lot of gold and we should start investing on items.
[6728.11s -> 6730.99s]  Is it cheating if my viewers send me items and I buy it?
[6731.59s -> 6732.99s]  Respectfully, for a good price.
[6736.75s -> 6738.83s]  Does he have my stream up behind him?
[6743.16s -> 6745.52s]  It sounds like a promo for poke stream.
[6746.97s -> 6749.69s]  Like here's the crazy stuff that poke gets up to.
