[18.23s -> 19.43s]  I am back.
[4686.07s -> 4686.77s]  I don't think that works.
[4706.00s -> 4707.20s]  I don't think I can get that high.
[4711.15s -> 4712.65s]  Just look at the hand icon.
[4715.52s -> 4716.02s]  Where is it?
[4716.62s -> 4717.62s]  Oh, I see it over there.
[4722.63s -> 4723.73s]  What does it want me to do though?
[4723.73s -> 4724.13s]  Hold on.
[4724.63s -> 4725.73s]  I'm going to jump this way.
[4730.22s -> 4730.72s]  I get it.
[4748.48s -> 4749.38s]  I mean, this is slop.
[4749.38s -> 4750.58s]  This is fucking sloppy.
[4751.66s -> 4753.16s]  So how many more demons are there?
[4754.87s -> 4755.87s]  Or where are they?
[4756.91s -> 4757.21s]  One, two, three.
[4757.21s -> 4757.91s]  Okay, I get it.
[4768.49s -> 4769.19s]  Oh, come on.
[4773.33s -> 4774.33s]  Didn't mean to click twice.
[4775.13s -> 4777.13s]  When you do the same level like a hundred times, sometimes your
[4777.13s -> 4778.23s]  brain just is like, you know what?
[4778.23s -> 4779.63s]  Just do it terribly this time.
[4780.50s -> 4782.10s]  And do it terribly ten times in a row.
[4797.66s -> 4798.46s]  Still might be all right.
[4804.42s -> 4804.92s]  Yeah, I got it.
[4808.80s -> 4809.40s]  I got the platinum.
[4809.40s -> 4810.10s]  I got the platinum.
[4810.10s -> 4810.70s]  I got the platinum.
[4814.45s -> 4816.15s]  That's a platinum on every level, isn't it?
[4821.78s -> 4822.38s]  I like it.
[4830.20s -> 4833.20s]  I gotta admit that was pretty hard.
[4833.20s -> 4835.10s]  Do we lose four to 500 viewers?
[4835.10s -> 4835.60s]  Let's see.
[4844.38s -> 4845.98s]  It's kind of the end of the show and
[4846.68s -> 4850.38s]  every people are just standing up and walking.
[4850.38s -> 4854.08s]  The show is not done, but people are just getting up out of their
[4854.08s -> 4855.68s]  seats and walking out.
[4857.24s -> 4861.14s]  What we're in the bottom of the ninth inning and my team is up
[4861.14s -> 4863.04s]  by a hundred and fifty runs.
[4863.94s -> 4868.84s]  So that's about a dozen for me and the kids tonight.
[4869.44s -> 4870.24s]  We're going to go home.
[4871.54s -> 4874.67s]  Wait, I'm not starting to like this guy.
[4874.67s -> 4875.07s]  Am I?
[4877.22s -> 4878.52s]  This is part of his plan.
[4879.12s -> 4881.12s]  Waiting for me to let my hey, it's all good.
[4881.12s -> 4882.72s]  It doesn't matter for 10,000 people.
[4882.72s -> 4886.22s]  You know, here's your it could be a thousand of you hanging
[4886.22s -> 4887.22s]  out here and I still do it.
[4897.25s -> 4897.95s]  What about 10?
[4897.95s -> 4902.37s]  Nah, actually at least 12.
[4903.07s -> 4906.82s]  Yo, I didn't think I'd actually get to save your life this
[4906.82s -> 4907.42s]  fast.
[4910.79s -> 4912.69s]  You really got to be more careful, bro.
[4912.99s -> 4914.89s]  Here, take my hand.
[4919.27s -> 4923.97s]  I was like the concept of a second channel, but I had
[4924.67s -> 4928.57s]  Nah, if I'm going to be just kind of chilling out here and
[4928.57s -> 4931.47s]  whatever if you're either here or you're not you didn't save
[4931.47s -> 4933.67s]  Jack dumbass a second channel is an act.
[4933.67s -> 4936.47s]  I don't know what I feel like I would just do the same thing
[4936.47s -> 4940.26s]  I'm doing right now in act.
[4942.25s -> 4945.95s]  Yeah to see how easily I could have sliced you a master of
[4945.95s -> 4946.45s]  comedy.
[4947.05s -> 4952.35s]  You freaking crack me up, dude.
[4953.77s -> 4954.97s]  Yeah, I'm just gonna do whatever.
[4955.90s -> 4958.90s]  We're just gonna do whatever what if there's one thing that
[4958.90s -> 4963.00s]  means 5,000 people leave hard, but you really got whatever
[4963.00s -> 4966.14s]  who cares wouldn't be best bros.
[4966.14s -> 4971.98s]  If I did who gives a crap my back and like vice-visa next
[4971.98s -> 4974.08s]  time I'll save you for real.
[4975.18s -> 4978.18s]  Tell even worse jokes on a second channel.
[4985.49s -> 4990.76s]  Dead guy, huh?
[4990.86s -> 4992.26s]  Oh shit viewers increasing.
[4992.86s -> 4994.66s]  No, no, that's we don't want that.
[4995.37s -> 4997.97s]  We want to we want to drop below 10k.
[4997.97s -> 4999.47s]  We don't want to have there be more people.
[4999.47s -> 5004.99s]  Welcome back Neons you survived your first mission but
[5004.99s -> 5008.09s]  surviving is not the same as winning.
[5011.46s -> 5015.06s]  Please direct your attention to greens mechanical halo a
[5015.06s -> 5019.76s]  mechanism that grants Neons the ability to stay in heaven.
[5021.39s -> 5022.19s]  Get them out of here.
[5022.29s -> 5023.99s]  We're looking for negative growth.
[5026.56s -> 5028.16s]  I say I want to hit negative growth.
[5028.16s -> 5030.46s]  I want people to I want less people to be here.
[5031.60s -> 5032.70s]  Yeah, that's what I'm looking for.
[5032.70s -> 5035.20s]  I want I want that the least amount of people to be here
[5035.70s -> 5040.61s]  that could be what negative growth not a single neon has
[5040.61s -> 5043.01s]  come close to overtaking green score.
[5044.01s -> 5047.21s]  He's defended his position at the top for many years now
[5047.21s -> 5051.01s]  and I I don't imagine he intends to give it up now.
[5053.34s -> 5056.24s]  Not when he's made such a comfortable home for himself here
[5056.24s -> 5061.82s]  in paradise, isn't that the stomach are you saying that even
[5061.82s -> 5064.92s]  if we win we don't get to stay in heaven forever.
[5064.92s -> 5066.32s]  Oh goodness.
[5066.32s -> 5074.88s]  No God's mercy has its limits and an expiration date seriously.
[5075.28s -> 5076.38s]  That's such a rebel.
[5079.09s -> 5082.99s]  If you'd prefer the flames of hell for eternity to a year
[5082.99s -> 5093.68s]  of heavenly delights and be my guest dark and darker do better.
[5096.40s -> 5099.00s]  I have seen a lot of people playing it on stream.
[5101.25s -> 5104.25s]  I know they added a couple of classes right staring at me
[5104.25s -> 5104.75s]  again.
[5113.73s -> 5115.63s]  I'm not trying to skip dialogue.
[5116.33s -> 5118.83s]  I'm just trying to get us to a position where I can do the
[5118.83s -> 5123.72s]  next chapter in the time that I would like to continue to
[5123.72s -> 5128.82s]  stream so it's not about skipping the dialogue but getting
[5128.82s -> 5132.30s]  to the action so I can do the chapter so I can continue to
[5132.30s -> 5140.80s]  play it in the time that I would like to be streaming you
[5140.80s -> 5142.00s]  are bad tone acts.
[5142.00s -> 5142.50s]  Let's see.
[5142.50s -> 5144.00s]  Well, look at that.
[5144.00s -> 5146.80s]  You've earned yourself a heavenly delight.
[5146.80s -> 5152.46s]  One moment while I check in go ahead and take a it's all the
[5152.46s -> 5153.66s]  people I get the cool.
[5153.86s -> 5160.47s]  I'm not I'm not skipping this but I'm just okay.
[5167.70s -> 5170.30s]  Okay, I want to do the section and that's probably going to
[5170.30s -> 5171.30s]  be the end of the stream.
[5171.70s -> 5172.60s]  But I do want to do this.
[5173.10s -> 5175.70s]  What I'm so glad I ran into you.
[5175.70s -> 5176.90s]  Mikey must have thought I was.
[5176.90s -> 5178.00s]  Yeah, what the heck.
[5178.60s -> 5179.00s]  You mean?
[5179.00s -> 5181.00s]  Yeah, what is it with you?
[5181.00s -> 5181.60s]  Sorry.
[5183.40s -> 5185.90s]  You really don't remember anything.
[5186.10s -> 5190.10s]  This is important dialogue back when we were alive yellow
[5190.10s -> 5191.80s]  did some messed up stuff.
[5191.80s -> 5194.20s]  He got tangled up with some shady character.
[5194.20s -> 5196.20s]  It was you who's are we talking about the same?
[5196.20s -> 5197.80s]  Yeah, that's silly.
[5203.32s -> 5203.82s]  Let's go.
[5210.71s -> 5211.51s]  Okay, I got it.
[5214.28s -> 5214.48s]  Come on.
[5214.48s -> 5217.48s]  Wait, come on.
[5217.48s -> 5240.28s]  Wait, I cannot kill that is just line of sight.
[5246.20s -> 5255.49s]  Wait a minute.
[5255.59s -> 5256.49s]  That's pretty stupid.
[5265.40s -> 5266.10s]  Uh-huh.
[5266.10s -> 5266.50s]  Okay.
[5276.72s -> 5277.02s]  Fuck.
[5277.02s -> 5277.62s]  I don't get it.
[5279.96s -> 5284.53s]  I mean I do but I don't because you have to kill everything.
[5284.73s -> 5290.04s]  So how would does that count as a demon do I actually have
[5290.04s -> 5310.91s]  to kill this thing is it hold on it does count not make that
[5310.91s -> 5315.62s]  I guess I that was very slow.
[5316.79s -> 5317.79s]  I'm even going right way.
[5321.01s -> 5322.51s]  Wait, what the hell is down here?
[5326.78s -> 5327.88s]  Okay, hold on.
[5360.55s -> 5363.05s]  I feel like this is done very poorly but whatever.
[5369.43s -> 5369.83s]  No.
[5369.83s -> 5371.43s]  Yeah, not bad.
[5372.13s -> 5374.73s]  Could be but could be better but okay.
[5380.88s -> 5382.18s]  It's a lot of time to shave off.
[5382.89s -> 5383.69s]  I might come back to it.
[5387.39s -> 5388.59s]  Yeah, gold's gold's good.
[5388.69s -> 5390.59s]  Don't get platinum on every single one.
[5392.07s -> 5394.67s]  The machine gun stomp on the ground to create a large blast
[5394.67s -> 5397.07s]  that destroys most demons and breakable objects.
[5398.20s -> 5399.20s]  Very clear.
[5424.22s -> 5425.12s]  I think that's everybody.
[5430.75s -> 5431.15s]  Yuck.
[5433.24s -> 5434.84s]  Yeah, that that was yuck.
[5436.13s -> 5448.80s]  I wonder if I can think I'm going to skip that whole part.
[5460.39s -> 5464.60s]  Wait, let's get that part too.
[5489.54s -> 5490.84s]  Oh, I missed.
[5498.32s -> 5498.82s]  I'll get it.
[5516.61s -> 5517.21s]  Bottom, right?
[5517.41s -> 5519.48s]  Yeah, did you see that?
[5523.75s -> 5525.85s]  Hey viewer, did you pet your pet today?
[5526.05s -> 5526.95s]  Go show them some love.
[5526.95s -> 5527.45s]  I agree.
[5562.23s -> 5563.03s]  I don't know where to go.
[5567.49s -> 5567.89s]  Yuck.
[5573.14s -> 5575.54s]  I can get a couple seconds shaved off of that.
[5587.01s -> 5588.31s]  I think that's actually the play.
[5588.71s -> 5589.21s]  No, it's not.
[5589.21s -> 5589.61s]  Not at all.
[5618.90s -> 5619.50s]  Funny.
[5619.50s -> 5628.17s]  Yeah, I still can't believe the Winnie the Pooh question
[5628.17s -> 5629.77s]  that I'm going to think about that for like a week.
[5640.05s -> 5648.70s]  Maybe maybe no, I can't.
[5653.54s -> 5655.54s]  That's I got to make that a lot cleaner.
[5666.82s -> 5667.52s]  Okay, cool.
[5699.62s -> 5700.82s]  Oh, what a mistake.
[5717.88s -> 5745.14s]  What broke it the old and break a sweat.
[5745.14s -> 5745.94s]  I could probably get platinum.
[5752.86s -> 5755.86s]  What does it probably 19 18?
[5760.26s -> 5762.26s]  I could do 20 that I should be able to get 20.
[5776.67s -> 5777.27s]  Excuse me.
[5777.27s -> 5779.07s]  What was there was a hint right there.
[5779.77s -> 5780.27s]  Hold on.
[5787.82s -> 5788.72s]  What's the goal here?
[5794.29s -> 5795.99s]  Oh, does that help?
[5816.02s -> 5816.62s]  Well, okay.
[5816.62s -> 5818.42s]  Anyone beat that floppy, but I got it.
[5830.74s -> 5832.24s]  Gonna dash through the door for more time.
[5833.34s -> 5834.24s]  That's true.
[5839.49s -> 5840.39s]  I got caught right there.
[5849.40s -> 5851.40s]  Oh, saving time.
[5854.09s -> 5854.79s]  Yeah.
[5864.26s -> 5865.86s]  How old do you think we are German?
[5865.86s -> 5866.56s]  I think it I don't know.
[5869.03s -> 5869.93s]  This is a pretty big range.
[5884.08s -> 5884.88s]  I got stuck.
[5884.98s -> 5885.28s]  Oops.
[5885.28s -> 5886.18s]  Oh, it's over.
[5887.44s -> 5887.84s]  Maybe not.
[5891.54s -> 5892.14s]  Hey, sorry.
[5894.39s -> 5895.49s]  What's your target demographic?
[5895.49s -> 5896.69s]  This is a mature audience stream.
[5897.65s -> 5901.38s]  Yeah, I'm really working up a sweat is the stream is for adults.
[5903.30s -> 5903.90s]  Nevermind.
[5904.50s -> 5905.20s]  You're not an adult.
[5905.70s -> 5906.40s]  Get out of here.
[5906.50s -> 5907.40s]  Neon orange.
[5908.30s -> 5909.40s]  That's a fuck out of here.
[5909.40s -> 5911.10s]  If you're not an adult, the secret.
[5912.00s -> 5913.10s]  Damn, that sucks.
[5914.10s -> 5916.00s]  Tell me more about these secrets though.
[5918.83s -> 5919.83s]  Are you gonna skip the story?
[5920.73s -> 5921.83s]  Yeah.
[5923.73s -> 5924.83s]  Damn, dude.
[5926.83s -> 5928.53s]  I love it in all caps in the middle of this.
[5929.03s -> 5930.43s]  Everybody leave it.
[5930.43s -> 5931.63s]  It's a cutscene.
[5934.53s -> 5935.33s]  And look what happened.
[5937.62s -> 5938.62s]  Actually, I think I'm all right with that.
[5938.62s -> 5940.02s]  I think I got the whole gist of what just happened.
[5941.02s -> 5941.72s]  I'm okay with that.
[5941.72s -> 5943.22s]  I think I understand everything.
[5943.32s -> 5944.62s]  I've comprehended everything that happened.
[5972.98s -> 5973.48s]  Silver.
[5977.92s -> 5980.22s]  That was a gold if I ever seen it.
[5980.82s -> 5981.12s]  Yeah.
[5998.35s -> 5999.35s]  Why am I getting this?
[6000.77s -> 6001.87s]  That's completely unnecessary.
[6002.27s -> 6006.80s]  Another one down.
[6006.80s -> 6007.70s]  Just skip that whole section.
[6007.70s -> 6011.37s]  I don't know why I'm getting the falling down so gently.
[6025.47s -> 6028.47s]  There's a way to go down there, but I'm going to keep my tactic.
[6032.32s -> 6036.12s]  My tactic didn't even wait one.
[6038.18s -> 6061.53s]  Oh, that's sad 1647.
[6061.53s -> 6062.93s]  Yeah, I didn't even need to use the thing.
[6062.93s -> 6064.83s]  See that don't even need the hand.
[6064.83s -> 6067.20s]  I got the ace medal without it.
[6072.20s -> 6074.70s]  What I got in 13 seconds 14 seconds, but it's all good.
[6085.98s -> 6086.38s]  Okay.
[6089.76s -> 6090.06s]  All right.
[6095.89s -> 6108.48s]  Oh, okay.
[6108.48s -> 6109.28s]  Well, we'll try that again.
[6123.25s -> 6124.75s]  That's a mess up right there.
[6139.07s -> 6141.17s]  I'm doing something really fucking wrong here.
[6168.55s -> 6170.45s]  Better, but I keep losing momentum over there.
[6183.61s -> 6184.91s]  I bet I can skip that part.
[6192.18s -> 6194.18s]  Whoa, I went way too high.
[6194.98s -> 6204.96s]  Oh, it was long.
[6221.70s -> 6224.30s]  What part of your body did you wash last my hands?
[6226.20s -> 6226.70s]  Pretty good.
[6227.00s -> 6228.10s]  Gotcha question though.
[6233.84s -> 6235.14s]  Give her to shoot this guy too.
[6245.65s -> 6246.25s]  Oh fuck.
[6248.79s -> 6253.32s]  No, I win.
[6254.81s -> 6261.78s]  Yeah, I didn't know this where it was.
[6268.38s -> 6273.97s]  Oh, I think that's doable without any shortcuts.
[6275.87s -> 6276.57s]  That was terrible.
[6276.57s -> 6277.27s]  Let me try that again.
[6280.74s -> 6296.56s]  Oh, come on.
[6296.66s -> 6297.46s]  Let me try this too.
[6299.67s -> 6299.97s]  Ready?
[6306.23s -> 6306.53s]  Okay.
[6307.33s -> 6307.93s]  That's all right.
[6321.86s -> 6323.66s]  Why did I fall?
[6333.88s -> 6335.38s]  I shaved off a full second right there.
[6342.21s -> 6354.17s]  Oh, oh fuck off.
[6354.37s -> 6355.47s]  I don't I hate what this place.
[6356.17s -> 6356.87s]  Bad placement.
[6365.84s -> 6366.84s]  What is going on here?
[6367.34s -> 6369.24s]  How come I keep just jumping over that?
[6370.14s -> 6370.74s]  I have an idea.
[6376.17s -> 6377.37s]  That idea was really dumb.
[6384.07s -> 6384.97s]  Don't be impatient.
[6385.37s -> 6386.47s]  That's my entire life.
[6388.47s -> 6391.07s]  My whole life has been being impatient.
[6391.47s -> 6394.47s]  My entire existence is built off of being impatient.
[6396.00s -> 6400.70s]  Everything you've ever seen, you've ever heard is because of my impatience.
[6406.25s -> 6407.35s]  Oh, I fucked it up.
[6417.32s -> 6419.22s]  No, I used it.
[6419.22s -> 6419.92s]  It was stupid.
[6423.90s -> 6424.20s]  Where is it?
[6424.20s -> 6424.60s]  Where is it?
[6426.50s -> 6427.00s]  I know what to do.
[6427.00s -> 6427.40s]  I got it.
[6427.40s -> 6427.80s]  I got it.
[6427.80s -> 6428.10s]  I got it.
[6428.10s -> 6428.20s]  I got it.
[6428.20s -> 6428.70s]  Just wait, wait, wait.
[6440.94s -> 6442.04s]  Just shoot everything over there.
[6449.72s -> 6450.72s]  I have to keep one of these.
[6457.19s -> 6457.59s]  You idiot.
[6458.19s -> 6459.59s]  I even knew what I had to do too.
[6460.63s -> 6461.43s]  I still did it wrong.
[6462.63s -> 6463.63s]  My brain was like, do it like this.
[6463.63s -> 6464.03s]  Do it like this.
[6464.03s -> 6464.53s]  Do it like this.
[6464.53s -> 6465.93s]  Oh, don't do it like that.
[6467.12s -> 6467.62s]  Excuse me.
[6474.00s -> 6475.80s]  Oh, why?
[6475.90s -> 6476.60s]  Why?
[6477.00s -> 6477.70s]  Oh my God.
[6477.70s -> 6479.70s]  I just I started overthinking everything.
[6483.79s -> 6484.89s]  I didn't even want that thing equipped.
[6484.89s -> 6485.79s]  I wanted the rifle.
[6492.61s -> 6493.91s]  I wanted the rifle equipped.
[6494.51s -> 6495.01s]  This thing.
[6498.73s -> 6499.03s]  Okay.
[6499.03s -> 6499.63s]  Do it right.
[6507.70s -> 6508.60s]  I don't even know if it helps.
[6516.76s -> 6518.16s]  Oh my God.
[6518.16s -> 6518.76s]  Damn it.
[6518.76s -> 6523.36s]  I just I keep getting there and forgetting the entire video game.
[6524.85s -> 6526.75s]  I'm just like, yeah, jump, jump, jump.
[6526.75s -> 6527.05s]  How do I?
[6527.05s -> 6527.75s]  I don't know the buttons.
[6527.75s -> 6528.35s]  How do I play?
[6560.50s -> 6561.50s]  No, I need to jump.
[6561.60s -> 6562.10s]  Oh my God.
[6562.10s -> 6563.10s]  I'm about to skip the level.
[6569.51s -> 6571.51s]  I know there's a hand over there, but I want to do I wanted to get it
[6571.51s -> 6572.21s]  without the hand.
[6591.61s -> 6592.71s]  Does that even save time?
[6593.31s -> 6593.81s]  Hard to tell.
[6597.09s -> 6597.79s]  That was stupid.
[6597.79s -> 6598.69s]  That was really stupid.
[6598.69s -> 6599.79s]  That was so stupid.
[6605.18s -> 6606.58s]  I'm just not just go just go to go.
[6606.58s -> 6607.88s]  I'm going to get stuck here for like four hours.
[6607.88s -> 6608.98s]  Just go just end it.
[6644.51s -> 6645.51s]  Excuse me.
[6646.55s -> 6647.35s]  That's got to be platinum.
[6647.95s -> 6649.25s]  They didn't even break a sweat.
[6651.66s -> 6652.96s]  Excuse me.
[6653.73s -> 6655.93s]  It's been exclaiming random loud sounds today.
[6660.22s -> 6662.72s]  I'll give it one or two more attempts because this one was fun.
[6670.60s -> 6671.60s]  That was that was yucky.
[6675.33s -> 6675.83s]  What was that?
[6696.89s -> 6698.39s]  Okay, I'm done.
[6698.39s -> 6698.69s]  I'm done.
[6698.69s -> 6698.99s]  I'm done.
[6698.99s -> 6699.19s]  I'm done.
[6719.00s -> 6719.80s]  Oh, shut up.
[6719.80s -> 6720.80s]  That's so stupid.
[6720.80s -> 6722.30s]  That lip should not be as loud.
[6722.30s -> 6722.80s]  You know what I mean?
[6723.96s -> 6724.56s]  That was dumb.
[6744.34s -> 6745.54s]  Oh, I thought I had one more.
[6745.74s -> 6747.54s]  Oh, this game just hurts my brain.
[6749.94s -> 6750.94s]  I thought I had one more dash.
[6752.32s -> 6753.42s]  Oh, now it's all falling apart.
[6753.62s -> 6754.42s]  I'm gonna just keep going.
[6777.02s -> 6777.82s]  What the fuck?
[6777.82s -> 6779.12s]  I didn't land.
[6798.71s -> 6802.41s]  Stupid game actually stupid games that like how come on.
[6812.38s -> 6813.98s]  I should have went through annoying.
[6834.50s -> 6835.60s]  Oh, shut up.
[6835.70s -> 6838.30s]  That's why I didn't have to because sometimes things stupid.
[6839.26s -> 6840.86s]  What the fuck happened there?
[6841.54s -> 6842.44s]  What happened there?
[6842.84s -> 6843.54s]  What happened?
[6843.64s -> 6844.84s]  Why did I not launch?
[6850.76s -> 6852.16s]  I should why did I not hit the barrel?
[6856.82s -> 6857.62s]  Gamer fatigue.
[6857.92s -> 6859.22s]  This is gamer fatigue for sure.
[6859.92s -> 6860.52s]  A hundred percent.
[6879.19s -> 6879.69s]  Here we go.
[6887.85s -> 6889.55s]  I had the other dash.
[6890.15s -> 6891.25s]  I had the other dash.
[6891.25s -> 6892.15s]  I just didn't use it.
[6892.15s -> 6892.55s]  All right.
[6892.55s -> 6892.95s]  Come on.
[6892.95s -> 6893.55s]  This is the one.
[6917.33s -> 6921.53s]  Why did he not hit the barrel rewind it and play it a thousand times in a row?
[6931.01s -> 6933.21s]  The barrel is a gigantic pit box.
[6933.21s -> 6934.11s]  How am I not hitting it?
[6954.69s -> 6955.49s]  That's got to be it.
[6956.26s -> 6957.36s]  Oh, you got to be kidding me.
[6961.53s -> 6964.63s]  Oh, I can do it.
[6966.56s -> 6967.86s]  It's just like walk up the edge.
[6978.46s -> 6979.16s]  Oh, shut up.
[7002.14s -> 7003.64s]  Fuck you.
[7003.64s -> 7004.34s]  Oh my God.
[7010.95s -> 7011.35s]  I move on.
[7024.84s -> 7025.14s]  All right.
[7025.14s -> 7026.24s]  I think I missed a few people.
[7051.33s -> 7059.67s]  Oh, I'll take it.
[7059.97s -> 7060.37s]  I'll take it.
[7060.37s -> 7060.67s]  I'll take it.
[7060.67s -> 7060.97s]  I'll take it.
[7060.97s -> 7061.37s]  I'll take it.
[7064.58s -> 7065.38s]  How do you like the break?
[7065.38s -> 7067.08s]  I'll always do this soundtrack is great.
[7075.34s -> 7077.44s]  Oh, I was so close.
[7100.65s -> 7102.05s]  I'm trying to go so fast.
[7136.00s -> 7137.60s]  Yes, that's how it's done.
[7138.30s -> 7138.60s]  All right.
[7138.60s -> 7139.60s]  That's a good one to go out on.
[7146.93s -> 7147.93s]  Your addiction is showing.
[7149.44s -> 7153.04s]  I understand why a lot of you like this game.
[7166.56s -> 7167.66s]  I'm kind of freaking out, but it's okay.
[7167.66s -> 7168.16s]  It working.
[7190.66s -> 7191.26s]  That's not good.
[7200.58s -> 7202.38s]  See, I keep I fell off that one last time too.
[7226.01s -> 7234.27s]  Oh fuck better.
[7235.04s -> 7240.87s]  Yeah, you haven't beaten Tomar in a single level.
[7242.19s -> 7242.59s]  Yeah.
[7244.20s -> 7244.90s]  Have I not?
[7249.53s -> 7250.63s]  Well, whatever.
[7250.83s -> 7251.43s]  That's all right.
[7254.50s -> 7256.20s]  21.3.
[7257.59s -> 7264.69s]  Bro, you're a snail.
[7268.20s -> 7271.40s]  Do you think heaven has any hot springs we could soak in?
[7278.82s -> 7280.12s]  That's for a dead guy, huh?
[7283.59s -> 7284.89s]  Not skipping because I want to.
[7284.89s -> 7289.88s]  I'm skipping because I'm skipping the toilet or whatever.
[7292.61s -> 7295.61s]  Looks like the believers are late to their own damn sermon.
[7303.30s -> 7304.30s]  I'd feel weird.
[7306.30s -> 7307.30s]  Come here often.
[7308.00s -> 7309.60s]  Wait, we're not skipping this part.
[7309.60s -> 7311.00s]  Just one of my little jokes.
[7311.30s -> 7313.40s]  Sinners have a great sense of humor.
[7313.40s -> 7316.00s]  You must have had quite an idyllic childhood.
[7316.00s -> 7318.60s]  Anyway, you know your way around heaven, right?
[7321.78s -> 7324.88s]  If you fight green, you will absolutely lose.
[7330.01s -> 7338.39s]  I think I figured out what was going on and that's the end of the stream.
[7338.39s -> 7339.09s]  Thanks for watching.
[7342.76s -> 7345.86s]  I know that a lot of you saying that he's never going to play this game again,
[7347.48s -> 7348.88s]  but I think I might disagree with you.
[7355.36s -> 7356.86s]  I feel like I'm having fun with this one.
[7359.90s -> 7363.50s]  But let's go over the remainder of the week coming up here.
[7365.93s -> 7371.40s]  So next time I stream will probably be on Tuesday or Wednesday.
[7371.80s -> 7373.53s]  I'm going to do Sorcery Part 4.
[7374.78s -> 7379.36s]  And then at some point during the weekend, I'd imagine probably Tuesday.
[7382.66s -> 7385.52s]  Tuesday around this time, five or six.
[7388.25s -> 7392.59s]  And then this weekend coming up, really going to try to get the Man vs.
[7392.59s -> 7393.39s]  Machine stuff going.
[7394.70s -> 7398.34s]  So that weekend of the 18th, 19th, 20th, there are other streamers.
[7398.34s -> 7401.44s]  I need to make sure everyone can do the same day because I know that some
[7401.88s -> 7408.49s]  scheduling conflicts exist somewhere in that Saturday, Sunday.
[7408.69s -> 7412.19s]  Really want to if a bunch of the people can't do it that I really want to play
[7412.19s -> 7414.19s]  it with and we'll figure it out.
[7415.02s -> 7415.72s]  We'll move it around.
[7417.24s -> 7422.12s]  But Sorcery Part 4 on Tuesday starting around five or six o'clock at night.
[7425.85s -> 7428.45s]  And we'll do MVM that end of the weekend there.
[7434.75s -> 7435.85s]  And maybe I'll play this again.
[7436.44s -> 7437.84s]  Just kind of hanging out one night.
[7443.21s -> 7445.01s]  Yeah, I'm very excited for Man vs.
[7445.01s -> 7445.41s]  Machine.
[7446.91s -> 7448.01s]  I've not played Man vs.
[7448.01s -> 7450.11s]  Machine in a really, really long time.
[7454.68s -> 7458.51s]  Getting a bunch of streamer buddies in there should be a lot of fun.
[7458.61s -> 7461.31s]  Especially the harder ones because that TF2 Man vs.
[7461.31s -> 7464.94s]  Machine, some of those tours are really, really hard.
[7465.24s -> 7466.04s]  They don't mess around.
[7478.49s -> 7479.89s]  Wave 666.
[7479.89s -> 7480.99s]  I don't know about that.
[7492.24s -> 7492.94s]  Take care of yourselves.
[7492.94s -> 7493.74s]  Thanks for watching.
[7494.89s -> 7499.79s]  I'll see you guys on Tuesday for Sorcery Part 4.
[7500.84s -> 7503.54s]  Sorcery Enjoyers have been waiting a long time.
[7506.16s -> 7510.03s]  So let's feed them to feed the Sorcery 4 Andes.
[7515.34s -> 7517.04s]  I told you I wasn't going to wait that long.
[7518.69s -> 7520.99s]  We're not going to finish it on Tuesday, but we'll start it.
[7521.56s -> 7524.16s]  We take us three or four sessions to do it.
[7535.84s -> 7536.84s]  Yeah, take care.
[7538.60s -> 7539.50s]  Play viewfinder.
[7540.42s -> 7543.72s]  Yeah, I'll find time to throw in just like a chill stream again.
[7545.99s -> 7547.39s]  I think most of them are chill streams now.
[7549.59s -> 7550.29s]  I like it though.
[7551.12s -> 7552.82s]  Having a lot of fun doing this.
[7553.02s -> 7556.58s]  I'm back to the basics.
[7563.79s -> 7565.09s]  Baldur's Gate 3.
[7565.09s -> 7565.69s]  I don't know.
[7565.69s -> 7566.49s]  Maybe.
[7567.48s -> 7569.28s]  All your streams are evil.
[7571.35s -> 7571.95s]  Evil.
[7574.92s -> 7575.42s]  Agree.
[7579.63s -> 7581.33s]  Evil was capital by the way.
[7581.73s -> 7582.13s]  Evil.
[7588.46s -> 7589.46s]  Yeah, take care of yourselves.
[7590.00s -> 7591.20s]  Have a great weekend.
[7593.53s -> 7594.13s]  See you on Tuesday.
[7599.60s -> 7600.80s]  Voices of the Void.
[7601.00s -> 7602.40s]  What is Voices of the Void?
[7603.26s -> 7603.86s]  Is it a new game?
[7614.60s -> 7615.40s]  Great game.
[7621.82s -> 7622.52s]  Look into it.
[7622.82s -> 7624.12s]  And I don't mean that in quotes.
[7624.62s -> 7625.82s]  I'm actually going to look into it.
[7629.76s -> 7630.26s]  All right guys.
[7630.36s -> 7630.86s]  See you later.
[7632.36s -> 7632.86s]  Call your mother.
[7634.61s -> 7635.31s]  Call your father too.
[7638.60s -> 7638.90s]  You know what?
[7639.00s -> 7640.90s]  Get everybody in the room and play Monopoly.
[7641.00s -> 7642.10s]  When was the last time you played Monopoly?
[7645.10s -> 7649.59s]  Play Monopoly.
[7649.69s -> 7650.19s]  It's 1 a.m.
[7650.19s -> 7651.09s]  They're all asleep.
[7651.89s -> 7652.49s]  Call them tomorrow.
[7655.08s -> 7655.38s]  All right.
[7655.58s -> 7656.08s]  See you guys later.
[7656.18s -> 7664.70s]  Goodbye.
