[0.57s -> 2.84s]  How are you doing?
[8598.20s -> 8609.62s]  Animal contest i'm looking forward to it animal contest stage one
[8612.74s -> 8619.24s]  Oh cool. All right. Do we use like a there's a big animal talent show dog
[8620.63s -> 8625.40s]  Cool dog and cat and now this one's dog and squirrel
[8629.00s -> 8634.31s]  Okay, next up is dog and lion lion beats dog. Okay, I get it
[8637.80s -> 8646.30s]  Cat versus rhinoceros rhinoceros beats cat. How do I choose what animals I have though? Um lion versus cat
[8646.94s -> 8653.48s]  Lion beats cat lion versus lion. Okay, we gotta go again pig versus
[8654.71s -> 8664.58s]  As a tie warthog versus uh lion. No, it's not I win them all but I can't select my animals though elephant versus tiger
[8664.82s -> 8669.05s]  Yeah lion versus rhinoceros
[8670.52s -> 8675.43s]  Warthog versus cat lion versus tiger
[8676.41s -> 8682.90s]  Really? I don't know about that one mouse versus warthog. Yeah
[8684.66s -> 8693.53s]  Elephant versus rhinoceros really elephant versus rhinoceros again mouse versus lion
[8694.82s -> 8695.62s]  Now that wouldn't happen
[8695.62s -> 8698.34s]  I would pull a splinter out of his foot and we'd become best friends and I would win
[8700.01s -> 8705.43s]  Mouse versus dog mouse is the worst. Why do I have so many mice lion versus? Oh, here we go
[8705.43s -> 8716.34s]  This is gonna be big warthog versus elephant elephant fucking wins dog versus lion. This game is stupid
[8716.66s -> 8725.86s]  So you just have to just hit a until but how is somebody gonna win if we can't decide what our deck is?
[8727.80s -> 8731.40s]  Yes, I just said deck but how else would you like me to describe this?
[8737.42s -> 8753.27s]  It's just rng. He's won so many hands in a row never played war. Yeah. Uh, oh, this is big
[8754.62s -> 8756.62s]  Elephant versus warthog. I'll take them all
[8756.86s -> 8772.42s]  So the mouse doesn't win so okay, so the mouse is like a two this is gonna come back this way now
[8772.50s -> 8776.74s]  It's never gonna end. I'm invested now
[8777.30s -> 8782.26s]  Uh, I was invested until we saw all the different animals and now it's just
[8783.99s -> 8797.10s]  Unwinnable war because it's gonna go back and forth forever. Somebody said what a truly terrible game
[8801.08s -> 8803.40s]  No, you know why I feel bad for all the people in the audience
[8805.45s -> 8815.21s]  Especially the people in the front row because those tickets were a thousand dollars you guys us. No, I mean in the game
[8820.41s -> 8825.29s]  Yeah, there's no winner. It's not gonna happen. It's just flipping a coin over and over again until you win the 20 times in a row
[8825.61s -> 8834.78s]  We'll see you next one, please. That was animal war 331. All right after this one. We're gonna pick some
[8836.42s -> 8838.32s]  We'll find what it looks good
[8838.32s -> 8842.41s]  331 I
[8842.41s -> 8855.22s]  Just I want to play I can remember. Okay, let's do this one first alpha mission octo shield cannon homing paralyzer and nuclear fire thunder
[8859.77s -> 8873.30s]  Uh, i'm i'm not playing the game sid three so far so good. This is actually seems pretty elaborate
[8873.54s -> 8897.53s]  This doesn't seem bad l e I got e I'm gonna play I can remember. I don't care. I
[8898.07s -> 8902.60s]  Can remember copyright night to do fisher price fisher price
[8902.60s -> 8907.96s]  I can remember the awning design and little people characters and designs are trademarks of that's a lot of fisher price trademarks for
[8908.36s -> 8922.65s]  A fake video game. No, it's just memory. I can remember
[8925.94s -> 8927.16s]  Instructions make your selection
[8927.16s -> 8928.26s]  Let's see
[8928.26s -> 8934.10s]  The object is to uncover and match the hidden fisher price toys the player with the highest score after three rounds wins
[8934.50s -> 8942.52s]  Okay, I know how to do that. They are I get it. Okay. Oh my god
[8943.62s -> 8953.75s]  Holy shit the amount of instructions two plus one player play alone. They wouldn't use the controller to spell your name
[8955.03s -> 8968.01s]  It shocked me. I just got electrocuted level one. All right match the fisher price toys. We have legos and
[8968.89s -> 8978.26s]  Furby that's not correct. Furby around back them cool sunglasses and a camera
[8978.74s -> 8996.91s]  Toilet paper and Furby. Wait, where's the other Furby? Is it a what is that a bicycle?
[8996.91s -> 9001.61s]  All right, toilet paper toilet paper toilet paper toilet paper four nine
[9002.76s -> 9004.84s]  Twinkle twinkle little star
[9020.01s -> 9022.17s]  Beautiful singing. All right, where's a camera?
[9024.02s -> 9032.30s]  Three. All right, three and twelve. Wait, we're gonna make a making a picture
[9035.72s -> 9041.93s]  Furby and Furby. Yeah, I told you I could sing
[9043.45s -> 9046.49s]  Yeah, everyone's like oh my god. I like this first dream i've ever been here
[9046.49s -> 9051.77s]  He said he could sing and then he sung that twinkle twinkle little star and I fucking had chills throughout my entire body
[9052.57s -> 9059.74s]  What are we are we building a cash register?
[9070.42s -> 9076.38s]  What is this? I don't know what i'm looking at. Is this like a grocery checkout?
[9077.02s -> 9081.56s]  You did very well
[9081.56s -> 9083.42s]  round two
[9083.42s -> 9087.67s]  All right standing mixer and cash register. All right standing mixer is on
[9088.71s -> 9091.51s]  Eight uh four six and eight. So what do we got two?
[9092.15s -> 9093.90s]  Here we go
[9093.90s -> 9101.78s]  Cash register cash register a musical note in the background. Cool. All right step
[9102.66s -> 9113.88s]  pretty good we're making a ouija board horsey and
[9115.10s -> 9116.30s]  one of those
[9116.30s -> 9119.58s]  Push machines that has the balls in it that pretends to be a lawnmower and it goes
[9120.06s -> 9137.91s]  There's a little thing in the middle pops the balls up. I love those. It's like my favorite toy. Okay, uh,
[9138.47s -> 9147.34s]  I don't know what that is bathtub. There it is. This is it's so loud. No, it's not
[9147.74s -> 9152.52s]  Mary had a little lamb and made as I was
[9154.44s -> 9156.44s]  I don't know. How do you what is mary had a little lamb what a lyrics
[9159.29s -> 9162.01s]  Mary had it's like three words in the whole song
[9165.80s -> 9169.48s]  It's mary had a little lamb mary had a little lamb and the sheep's wool was what?
[9172.42s -> 9174.10s]  It's a real lawnmower
[9174.10s -> 9185.18s]  His fur was soft as snow
[9186.36s -> 9191.26s]  That's not it whose fur was soft as snow. You got it wrong, too
[9192.14s -> 9197.38s]  That's incorrect
[9199.22s -> 9202.90s]  Little lamb it's probably funny when people sing nursery rhymes like that
[9203.86s -> 9205.06s]  and
[9205.06s -> 9208.26s]  Look when you sing mary had a little lamb or twinkle twinkle little star
[9208.26s -> 9213.78s]  It's just so simple and basic in the syllables and the way that you say it is broken up so deliberately like
[9214.40s -> 9219.46s]  Mary had a little lamb little lamb little lamb
[9220.17s -> 9225.59s]  But when you have a singer that gets a hold of those it's no longer simple anymore. It's like
[9226.23s -> 9228.63s]  mary had a little lamb
[9229.19s -> 9234.23s]  Little lamb little lamb. It's like you just fucking sing the song normally for god's sake
[9235.58s -> 9242.38s]  Mary had a little lamb whose snow was half as large
[9251.32s -> 9256.10s]  I'm getting old
[9256.10s -> 9258.98s]  Okay, i'm done with this one. This one sucks
[9264.76s -> 9271.85s]  You're gonna read the time. I am not high right now. Okay, leave me alone. I love you. Just enjoy
[9272.41s -> 9273.91s]  fruit pig
[9273.99s -> 9277.40s]  Milk nuts
[9277.40s -> 9279.64s]  Nuts and milk nut. What does that say?
[9284.02s -> 9285.90s]  Get away from me
[9285.90s -> 9293.24s]  I'm dead. We just both died. All right, i'm done with milk nuts. I'm not playing nuts
[9295.38s -> 9302.84s]  What's the fruit pig?
[9302.84s -> 9307.08s]  Mary had a little lamb little lamb
[9309.56s -> 9322.30s]  Holy shit, this one looks awesome catch the fruit. I feel like this is part of the end credits of sing
[9324.74s -> 9330.34s]  They would do something like this right like the pig dancing with like retro graphics and stuff. I think that did happen didn't it
[9339.59s -> 9343.51s]  What is the song the song at the end of that song? It's like try
[9344.15s -> 9346.15s]  Hold on try everything
[9346.79s -> 9349.19s]  Try everything right? What does it get? What does it go?
[9358.66s -> 9362.10s]  Try everything it's wrong movie about animals. Whatever. It's this
[9362.26s -> 9368.02s]  Sorry, two animal movies came out that were 3d and had animals in three dimensions and they had like fun
[9368.02s -> 9370.90s]  And they like was the lessons that they learned. Okay, sorry. I got it wrong
[9378.46s -> 9380.86s]  How did I lose? I got like what a harvest that was
[9384.44s -> 9387.64s]  You're one of the only you're one of seven people that actually watched sing
[9390.46s -> 9391.69s]  um
[9391.69s -> 9394.65s]  That movie's insanely popular. I have no idea what you're talking about
[9396.42s -> 9399.38s]  I need to okay. I need to catch more than 11 of each one. Sure. Let's go
[9400.18s -> 9414.06s]  It's gotta stay in the middle
[9414.62s -> 9421.02s]  Try everything don't try everything that that song implies to try cigarettes. Don't do that
[9421.82s -> 9438.25s]  I'm gonna lose again
[9438.25s -> 9442.09s]  Not enough lemons have dropped. There's only been like 10 lemons total in the entire playthrough
[9442.89s -> 9454.17s]  Come on. I need lemons only lemons lemon lemon lemon lemon lemon lemon lemon lemon lemon lemon lemon lemon lemon lemon two more lemons lemon lemon lemon
[9454.17s -> 9456.33s]  lemon 13 12 11 10
[9456.89s -> 9461.56s]  Nine, I got it
[9463.96s -> 9472.22s]  I win you're disappointing the banana bros. That's not what you guys are called. Excuse me. I've had enough of fruit pig
[9479.53s -> 9481.53s]  Uh, what we got? Let's do uh
[9491.16s -> 9492.92s]  How about uh
[9492.92s -> 9498.58s]  Let's see. How about chubby? How about dough boy? Hey
[9503.40s -> 9506.41s]  Uh, why is dough boy?
[9508.66s -> 9509.54s]  Okay
[9509.54s -> 9510.50s]  Nope
[9510.50s -> 9518.04s]  Okay, dough boy. I don't know what the hell you were doing there, but a dough boy is blowing up like houses
[9518.76s -> 9525.22s]  What am I looking at here?
[9525.22s -> 9526.33s]  uh
[9526.33s -> 9528.49s]  Do I not have a gun? I got a wrench
[9530.76s -> 9534.30s]  Who is fighting?
[9534.30s -> 9538.98s]  none
[9538.98s -> 9541.53s]  tnt
[9541.53s -> 9550.94s]  binds
[9550.94s -> 9553.18s]  Left free I touched a rock and died
[9553.74s -> 9562.57s]  I'm just gonna try to get to the end
[9564.92s -> 9565.96s]  views
[9565.96s -> 9567.45s]  mines
[9567.45s -> 9569.45s]  These trees are in the way. I can't move
[9569.77s -> 9579.11s]  Okay, not enough for 12
[9585.99s -> 9595.05s]  Submarine and then i'm gonna play toy factory after isn't a submarine under the water
[9596.23s -> 9599.35s]  Not floating on top of the water. That's why it's called submarine
[9606.18s -> 9614.74s]  Oh like I like this one. This one's good. This one's really good. I really like it
[9615.46s -> 9626.94s]  I won. Okay level two where the sky is a different color
[9637.53s -> 9639.69s]  That guy that's worth a million points probably
[9647.21s -> 9650.42s]  No
[9650.42s -> 9652.42s]  Sing this for a billion off the debt
[9653.93s -> 9656.01s]  Just because one person says it doesn't mean it's gonna happen
[9656.81s -> 9660.02s]  It needs to be at least a 50 to 60 percent
[9660.58s -> 9670.17s]  Agreeance with everybody in chat here. You got to get at least 10 people on board
[9671.19s -> 9674.63s]  And then those 10 people have to get 20 people on board and those 20 people have to get 100 people on board
[9674.71s -> 9676.07s]  Those 100 people
[9676.07s -> 9678.47s]  Have to get another 500 people on board
[9679.11s -> 9680.87s]  and that's how you get
[9680.87s -> 9687.67s]  10 percent of people in this chat that liked the catboy shit to like 70 percent because now I have to dress up this month
[9695.75s -> 9702.09s]  I'm gonna beat this game. I'm actually gonna get to the end
[9715.54s -> 9731.88s]  This reminds me of a gamer v portable game. I thought it was a question mark. All right, that was fun. Let's pick one try harder
[9732.44s -> 9737.19s]  I don't really do you think a flappy is this flappy bird? You think let's try
[9737.19s -> 9738.98s]  Okay
[9738.98s -> 9741.91s]  Flappy push select button
[9743.56s -> 9745.56s]  keyword and music
[9745.88s -> 9748.44s]  input keyword
[9748.76s -> 9756.47s]  What's keyword mean?
[9756.47s -> 9759.35s]  Fun and we'll do music
[9760.36s -> 9767.00s]  uh
[9767.00s -> 9773.27s]  Definitely be I don't care what the other ones are
[9773.91s -> 9775.91s]  This is the bar song
[9775.99s -> 9777.35s]  in undertale
[9777.35s -> 9791.48s]  Okay, what's how you play? It's kind of freaking me out. I have people just locked up in like a cage up there
[9791.48s -> 9794.10s]  And we make them do this shit
[9794.10s -> 9798.70s]  um
[9798.86s -> 9800.46s]  I don't know how this works
[9800.46s -> 9802.46s]  I have to get the ball on the
[9806.94s -> 9809.98s]  I have to get that. Okay, I get it. Well, just kill me. I didn't get it right
[9810.70s -> 9818.74s]  Okay, so we have to move this out of the way
[9820.10s -> 9822.66s]  Can I go over here? Um
[9826.26s -> 9829.14s]  All right, it's one of the it's one of those it's one of these dumbass puzzle games
[9851.19s -> 9858.93s]  45
[9858.93s -> 9860.90s]  Chippendale 2
[9860.90s -> 9863.62s]  All right, let's i'm gonna start picking them. Let's do chip and dale
[9864.18s -> 9866.82s]  We'll start chip and dale 2 and then we'll go to chip and dale 1 and then 3
[9867.22s -> 9875.30s]  Let's do it like the star wars movies. They take capcom off the top of that. By the way, they just deleted it
[9875.30s -> 9890.06s]  They just put a black over it. That says probably capcom presents. That was a capcom font chip and dale rescue rangers
[9893.51s -> 9900.87s]  Yeah, now it's legal. Yeah, they they removed who made it on the splash screen. Therefore. It's now completely legal to just sell it
[9902.73s -> 9904.73s]  Yeah
[9912.49s -> 9917.61s]  Lots of singing today. All right, I want to be I think I have more connection with dale. I'll be honest
[9930.26s -> 9931.30s]  Uh-oh
[9931.30s -> 9935.62s]  Fat cat has infiltrated the gold facility and took 10 bars of gold
[9936.58s -> 9938.58s]  Chip and dale get on the case
[9940.70s -> 9945.02s]  He just broke in here and went that way. You must get him and get our gold back
[9949.18s -> 9951.18s]  I'm ready. I'll get the gold back
[9951.66s -> 9956.71s]  Me and dale will get it
[9956.71s -> 9959.90s]  I don't know what she says
[9959.90s -> 9961.58s]  I wish I could read this
[9961.58s -> 9967.02s]  I thought she thought he's gonna jump right on her head
[9973.34s -> 9976.30s]  All right, let's go. We have to introduce every single character that's in the show
[9978.17s -> 9980.17s]  Like get jimmy cricket out of here
[9981.06s -> 9983.88s]  There he is. There's dale
[9983.88s -> 9989.00s]  So dale is uh, if I remember I haven't seen the show or seen them talk in probably 10 years or so
[9989.56s -> 9991.56s]  Dale is like a high-pitched goofy, right?
[9994.76s -> 9999.75s]  It's goofy but higher pitched. Okay, I can read that one
[10004.26s -> 10006.26s]  It's like wow. I
[10006.34s -> 10008.68s]  Hold on. I'll try to get it
[10008.68s -> 10015.64s]  I think it's like goofy. It's like goofy, but it's high pitched. It's like this. It's kind of like goofy, but kind of like this
[10016.52s -> 10019.32s]  It's like that
[10019.32s -> 10021.32s]  Oh, I don't know about this dale chip
[10021.96s -> 10029.45s]  Let me let me think but it's really it's like the alphan and chipmunks. They pitch it up, right?
[10029.61s -> 10039.67s]  Hold on see if I can get it. I do this. Oh, it's me
[10040.55s -> 10044.06s]  Shit, we gotta get down there and save that gold if we don't get it
[10044.06s -> 10052.49s]  We're gonna be in bad trouble. Is that close goku?
[10053.66s -> 10054.87s]  No
[10054.87s -> 10066.73s]  Now, let me see what it actually sounds like uh chip and dale. Let me hold on
[10078.39s -> 10088.23s]  All right. Okay chip and dale. There's a gadget scene. I just want to hear the voice for a second. I hear it
[10091.13s -> 10099.30s]  Why can I not hear this? I should be able to hear this. Why can I not hear it? Oh
[10101.75s -> 10118.25s]  See how close I was here he comes. Come on dale talk talk dale. Does dale not talk? Did I get it completely wrong?
[10118.57s -> 10125.66s]  I'll admit they do seem to have he doesn't talk
[10133.46s -> 10137.16s]  To contribute some
[10137.80s -> 10145.06s]  Dale doesn't talk. I met I fucked the whole thing up dale doesn't talk. This is chip
[10147.54s -> 10168.65s]  I told you it was pitched up like crazy. Dale doesn't talk at all chip and dale rescue rangers. Hold on. I was close
[10177.67s -> 10186.20s]  Yeah, it was close. It was not high pitched enough
[10188.58s -> 10194.20s]  All right, let me get back to play this game
[10195.64s -> 10207.56s]  Please i'm still on the chair what I mean i'm still on the chair a bit. What are you talking about? Oh a burger
[10220.58s -> 10225.06s]  Why these blocks don't exist I tried to jump game is not even fucking fun game is fucking stupid
[10225.14s -> 10232.31s]  I feel like those blocks are not supposed to be like the p question mark. All right
[10232.63s -> 10234.39s]  I'm gonna drop us on his head
[10234.39s -> 10240.57s]  We need a cat puke. All right first cat puke of the year. You got it
[10249.02s -> 10251.98s]  You want to I'll give you a first cat puke of the year
[10260.34s -> 10270.98s]  How to go down
[10270.98s -> 10275.62s]  Get that in super mario, uh old material. All right. Um, how do I can't go down?
[10276.34s -> 10282.39s]  That's chip and dale 2
[10282.39s -> 10287.24s]  Let's see what chip and dale 1 is
[10287.24s -> 10295.46s]  He swallowed food the same time that I did that's a little weird i'll say all right chip and dale 1
[10296.34s -> 10300.10s]  Walt disney company produced by capcom forgot to scratch that one out
[10309.40s -> 10311.40s]  This actually just is the chip and dale game, isn't it?
[10321.99s -> 10334.89s]  Yeah, this is just this is just the game. I've played it before chip and dale 3
[10338.42s -> 10340.46s]  All right
[10340.46s -> 10342.46s]  Okay
[10342.46s -> 10344.46s]  hip ale 3
[10346.01s -> 10348.17s]  That's definitely that is definitely not chip and dale
[10353.03s -> 10355.91s]  Destroy enemies underground artillery base chip and dale
[10358.26s -> 10360.26s]  What are you talking about?
[10364.62s -> 10368.62s]  No chip and dale you're gonna go to a foreign fucking land and you're gonna start shooting at stuff
[10373.69s -> 10377.34s]  Well, that's too bad dale gotta start firing
[10390.46s -> 10396.38s]  Why would they do this
[10396.38s -> 10403.14s]  My speakers what happened?
[10403.14s -> 10404.90s]  How bad does that sound?
[10404.90s -> 10411.37s]  Holy shit the flamethrower
[10412.09s -> 10415.77s]  It was that bad. Was it I I just tried to put the pitch up a little
[10421.11s -> 10423.91s]  Firing missiles
[10423.91s -> 10427.11s]  It was extremely bad
[10427.11s -> 10433.77s]  It was the what hold on. How's this? Is this different? Is this better? How's this one?
[10433.93s -> 10436.01s]  This is like a little this is this is what I was supposed to be right?
[10437.59s -> 10440.55s]  Yeah, so what happened? I think my like my device like fucked up
[10451.80s -> 10457.24s]  Chip and dale go to like war with fucking flamethrowers and machine guns
[10457.96s -> 10467.93s]  But who are these like other bears? There's like these are bears
[10468.57s -> 10470.57s]  Okay, i'm just gonna fire a tank
[10470.65s -> 10481.27s]  Do
[10483.29s -> 10487.21s]  Maybe you did do you think they just didn't know that like chip and dale was like a kid's cartoon
[10489.03s -> 10491.11s]  Oh, yeah chip and dale. Uh, I guess just
[10491.83s -> 10494.31s]  Just put that I mean that people know who that is
[10507.88s -> 10514.42s]  Got it. Got it. Got it. Nice job dale. He took out that enemy tank
[10515.06s -> 10525.35s]  Let me in out of the front door of the base
[10528.62s -> 10535.34s]  Dale relax. This is like the big smile on your face. This is this is fucked up. Uh,
[10552.01s -> 10555.00s]  Oh stop so waste ammo
[10555.00s -> 10557.40s]  So what game is this actually that they put chip and dale on?
[10562.84s -> 10565.43s]  Of all the things
[10565.43s -> 10567.35s]  Don't waste bullets
[10567.35s -> 10570.07s]  I'll be all right. I mean, this is so many things on the screen
[10570.63s -> 10582.79s]  The chip and dale rescue rangers. I want to get to the boss. This is just chip and dale 3 dude
[10582.79s -> 10590.47s]  What are you talking about?
[10590.47s -> 10592.47s]  Play ace combat get out of here
[10592.95s -> 10602.30s]  This is a hack of heavy barrel
[10603.18s -> 10610.54s]  It's so funny because they have the other real chip and dale games why even put this one on
[10614.84s -> 10619.48s]  What's the process to add chip and dale 3 but make it a like kill people game?
[10627.24s -> 10628.52s]  grenades
[10628.52s -> 10635.05s]  What keys do I need?
[10635.05s -> 10638.33s]  It's for you to scream
[10638.33s -> 10643.53s]  I do not think whoever made this console was concerned about me streaming this console
[10644.33s -> 10652.73s]  If they were
[10652.73s -> 10654.81s]  Uh, I think they would be a little more careful
[10656.20s -> 10658.20s]  Of all the uh
[10658.20s -> 10668.09s]  Copywritten content that is in it. I'm enjoying chip and dale 3 though. It's actually kind of fun
[10671.74s -> 10673.74s]  Yeah, I can't look at that floor anymore. It hurts so bad
[10674.30s -> 10684.22s]  I can't open those
[10684.22s -> 10687.74s]  I don't get killed by my my own grenade, right? All right. All right. Come on. Let's get a boss
[10688.46s -> 10690.70s]  I'm gonna laugh my ass off
[10690.70s -> 10692.06s]  if it's that
[10692.06s -> 10693.58s]  guy with the mustache
[10693.58s -> 10695.58s]  Come on other chip and dale characters
[10696.38s -> 10698.38s]  other disney characters just just
[10698.78s -> 10700.30s]  pumped in please
[10700.30s -> 10711.93s]  Who's the bad guy in chip and dale?
[10711.93s -> 10714.97s]  I've not seen that show in a long time. Who's the act who's the antagonist?
[10715.53s -> 10720.78s]  What's her name?
[10720.78s -> 10722.78s]  Fat cat, right? Okay, it better be fat cat
[10730.71s -> 10737.69s]  Dale is the antagonist antagonist pov right now. Is that what you're saying?
[10742.09s -> 10750.47s]  When there's danger
[10750.47s -> 10751.59s]  All right, let's go
[10751.59s -> 10760.62s]  Who's the boss fat cat? Come on. No, it's the truck
[10761.26s -> 10764.79s]  i'm done
[10764.79s -> 10769.56s]  What's next? That's uh, wait, let's stay on the chip chip and dale page. There's something else. I want to see
[10771.90s -> 10775.50s]  Hot blood wrestle hot blood story. I think is what we start with first
[10775.82s -> 10789.21s]  It's just river city ransom, which is an incredible game for the ns. Is it though?
[10793.10s -> 10794.94s]  It is it's just river city ransom
[10794.94s -> 10802.25s]  This game used to scare the shit out of me because these ever when they start chasing you with weapons
[10802.81s -> 10805.69s]  It's terrifying
[10805.69s -> 10807.69s]  I love this game. Uh, best part of the game
[10808.01s -> 10809.69s]  Is when you eat the plates
[10809.69s -> 10813.77s]  I'm getting deja vu right now. We did this already didn't we didn't I talk about like oh my god when you eat the plate
[10813.85s -> 10815.29s]  It's so funny
[10815.29s -> 10818.79s]  Did we do this?
[10818.79s -> 10820.63s]  I played this on stream, didn't I?
[10820.63s -> 10825.94s]  Have I never played river city ransom on stream?
[10830.17s -> 10834.33s]  Yeah, you go and you buy food and stuff. It's awesome because you eat the whole plate
[10834.41s -> 10836.41s]  It doesn't matter what it is. It could be a coffee. It could be
[10836.57s -> 10838.97s]  A sushi or like a hamburger doesn't matter
[10839.53s -> 10841.21s]  You eat the entire plate
[10841.21s -> 10844.73s]  Oh, sorry, just like spoiled something fun. I thought you already saw it
[10853.40s -> 10858.50s]  Boss time. I remember boss comes out of here, right? Nobody comes out of here. I hate that
[10859.06s -> 10868.30s]  This game is so good though. Oh shit, please
[10871.74s -> 10879.35s]  I need to try new trash can
[10879.35s -> 10880.97s]  All right, here comes the boss
[10880.97s -> 10882.65s]  He pops out right here
[10882.65s -> 10884.63s]  Is it right here? Is it after?
[10884.63s -> 10889.64s]  Oh, here we go. Okay. Yeah. All right ready to see the fun part
[10890.46s -> 10893.24s]  watch this
[10893.24s -> 10895.24s]  okay, so I can't see what i'm buying but
[10896.54s -> 10897.26s]  uh
[10897.26s -> 10900.39s]  This
[10900.39s -> 10902.39s]  I love that so much. It's so cool
[10902.81s -> 10905.85s]  Oh, it's the best you eat the whole thing in one bite even if it's a plate
[10906.49s -> 10916.97s]  I love it. Where's a coffee?
[10917.53s -> 10927.58s]  Or like tea or something. Can anybody somebody can somebody read this? I need a coffee
[10927.98s -> 10934.70s]  All right. Well, it's just river city ransom, which i'll play it on your own time
[10934.78s -> 10937.42s]  It's like one of the best nes games ever made. All right, so what's that? What's the next one?
[10937.58s -> 10945.19s]  It's hot blood wrestle. I mean we have to do that
[10947.35s -> 10956.23s]  1993
[10956.23s -> 10959.10s]  um
[10959.10s -> 10961.10s]  Was there another river city ransom?
[10967.00s -> 10973.19s]  I I don't remember this. What is this? This is the
[10974.07s -> 10976.31s]  Do you guys ever play dodgeball for the nes?
[10978.74s -> 10980.90s]  I love that game so much. I hope it's on here
[10981.54s -> 10987.88s]  Uh, it doesn't matter what my name is
[10987.88s -> 10993.54s]  It doesn't matter. Let's go
[10993.54s -> 10997.19s]  Only in japan. Oh, okay. I see
[10998.17s -> 11000.97s]  No, just I wanted to be my name. Let's go end
[11004.47s -> 11006.31s]  Yes, okay
[11006.31s -> 11008.06s]  I want to be
[11008.06s -> 11011.96s]  Because it was this fighter brawler
[11012.04s -> 11014.04s]  Uh like scrapper
[11014.04s -> 11016.49s]  All right. I'm gonna be scrapper
[11016.49s -> 11018.17s]  scrapper
[11018.17s -> 11019.53s]  Scrapper four
[11019.53s -> 11030.26s]  I have no idea what just happened fight
[11037.72s -> 11038.92s]  Okay
[11038.92s -> 11040.92s]  I don't even know what character I am
[11044.47s -> 11046.55s]  Why did you start off with a lightning move?
[11047.43s -> 11049.93s]  How do I do a lightning move?
[11049.93s -> 11056.89s]  Get away from my friend
[11060.63s -> 11062.63s]  I can't tell who's winning, but I think we're doing okay
[11063.11s -> 11077.82s]  Oh my god, somebody's gave a shitload of subs. I just gave 50 community subs
[11080.01s -> 11082.01s]  Zap x gave 50 subs
[11082.49s -> 11084.33s]  That's a fucking ton
[11084.33s -> 11086.49s]  Too many too many subs. What's this weapon?
[11087.74s -> 11089.18s]  We sort of pin him
[11089.18s -> 11090.94s]  Oh his friend is gone. All right
[11090.94s -> 11100.33s]  Yeah, get him. I just killed my own friend. Oops
[11101.05s -> 11103.05s]  What do you like he left health?
[11104.79s -> 11107.99s]  Holy shit. I just got absolutely fucking destroyed
[11109.83s -> 11111.83s]  Okay, let me let me get up
[11111.91s -> 11123.14s]  please
[11123.14s -> 11125.78s]  Oh, the the spam is what the game actually is. Okay
[11126.42s -> 11136.14s]  That's it. It's a huge pog face. That's an omega pog
[11138.09s -> 11140.09s]  Two omega pods
[11140.09s -> 11143.98s]  This is made by the guilty gear devs. That's interesting
[11144.62s -> 11150.33s]  All right, let's get a random one
[11150.33s -> 11152.41s]  I'm having fun. I love this. This is like a bunch of fun
[11154.78s -> 11158.22s]  It's just a shitty game loot box. You just open up a random number
[11160.63s -> 11162.63s]  Some of them are actually real games
[11164.98s -> 11168.02s]  Hexapoo man. No hexapoo new
[11171.53s -> 11174.98s]  All right, it's poo new
[11175.14s -> 11192.15s]  Exo pod presents to start level one
[11197.14s -> 11202.38s]  Uh, is this spray paint? What is this?
[11202.94s -> 11212.54s]  It's like a water can do I have to shoot the ladybug. This is kind of cool. I like this
[11212.62s -> 11215.99s]  All right, i'm gonna be here for a minute
[11215.99s -> 11219.51s]  And one level one complete presents to start hexapod
[11220.15s -> 11223.40s]  level two
[11223.40s -> 11239.90s]  Is this like just centipede but not a centipede I guess. Okay. I cool. I guess. Oh shit. They're getting close
[11241.21s -> 11243.21s]  No, no, no, no, no, no, no, no, no, no
[11244.42s -> 11248.10s]  What am I preventing them from turning into flowers? Why is this cool? This is like bad
[11249.14s -> 11255.85s]  This is bug spray
[11255.85s -> 11261.34s]  All right, one more level and i'm done last one
[11273.10s -> 11274.30s]  I can't
[11274.30s -> 11279.27s]  I can't i'm gonna say I hit the escape right off. It's not escape. It's reset actually
[11281.82s -> 11282.78s]  It's like
[11282.78s -> 11285.02s]  Yeah, every this hurts
[11285.02s -> 11289.98s]  You ever play a game or something and it's just you just need to move your body around because blah you just hate
[11290.14s -> 11291.42s]  I can't stop
[11291.42s -> 11300.92s]  All right. How about um, let's pick a good one
[11301.64s -> 11306.95s]  Mortal Kombat 4
[11309.99s -> 11312.36s]  Superman
[11322.65s -> 11324.36s]  Okay
[11324.36s -> 11329.72s]  There's how many I don't even know how many characters is this a match three game or is this the character selector?
[11330.92s -> 11333.40s]  I thought it was a match three game. Okay, this is Sonya
[11338.12s -> 11340.95s]  What the fuck?
[11340.95s -> 11342.95s]  Sonya versus nightwolf
[11350.12s -> 11353.24s]  It actually is mortal kombat but not
[11353.96s -> 11355.00s]  at all
[11355.00s -> 11361.85s]  I'm getting destroyed
[11361.85s -> 11364.25s]  Okay. So hold on if this is Sonya, who's the other Sonya?
[11364.89s -> 11373.78s]  Because there's like five Sonya's on that character select pick the green sub zero
[11374.26s -> 11378.04s]  You know what? The best part about this is this blood
[11379.08s -> 11383.32s]  They tried to keep it as authentic as possible with member original blood in mortal kombat
[11385.06s -> 11390.82s]  All the parents all the legislation that was like this is bad. There's blood in this video games people. That's just it's disgusting. It's horrible
[11391.62s -> 11402.62s]  They kept that
[11402.62s -> 11410.42s]  I lost. All right. Hold on reset. I i'm going to pick another character
[11410.74s -> 11420.81s]  I want to pick green sub zero and see what it is. Where is
