[22.33s -> 23.67s]  Somebody said,
[5875.07s -> 5880.43s]  Faster. Let's do that.
[5880.43s -> 5883.76s]  More demolition. More strength.
[5883.76s -> 5885.76s]  And job requirements. Sound pretty good.
[5885.76s -> 5906.48s]  Ooh! Look!
[5906.48s -> 5921.37s]  It's going to start. Cleanup's going pretty
[5921.37s -> 5927.84s]  well. There's one issue there.
[5927.84s -> 5933.15s]  This is clean. This is clean.
[5933.15s -> 5946.14s]  Yeah, I got the Stardew Valley soundtrack playing in the
[5946.14s -> 5956.49s]  background to make it extra comfortable.
[5956.49s -> 5961.53s]  I think this is permanent. Yeah, it is.
[5961.53s -> 5963.53s]  Who puked up that high on the wall?
[5963.53s -> 5968.08s]  You have to stand up here
[5968.08s -> 5970.32s]  and aim this way to
[5970.32s -> 5983.05s]  puke up at the ceiling. We're going to get all new bathroom
[5983.05s -> 5986.12s]  stuff anyways. Yeah, we're
[5986.12s -> 6006.27s]  going to do that. Remove the whole
[6006.27s -> 6009.28s]  bathroom? I might once everything's clean.
[6009.28s -> 6012.09s]  Design does not happen until everything is
[6012.09s -> 6018.11s]  clean. So all the HGTV
[6018.11s -> 6020.11s]  Andes can hold on
[6020.11s -> 6050.36s]  a second. There's dirt up here. Okay,
[6050.36s -> 6058.48s]  this is kind of cool. Where is it?
[6058.48s -> 6074.41s]  I got it. Okay, thank goodness.
[6074.41s -> 6104.62s]  Where? Okay, it's the
[6104.62s -> 6124.97s]  painting frames. One more? Where
[6124.97s -> 6140.01s]  is it? Yes, thank goodness. All right,
[6140.01s -> 6154.35s]  we're good. Yeah, the grappling hook was added
[6154.35s -> 6163.50s]  three days ago. Changing this.
[6163.50s -> 6169.88s]  I might just remove this and we'll put something
[6169.88s -> 6176.54s]  else in. Yeah, I want a different staircase than that.
[6176.54s -> 6212.56s]  Okay, we build our
[6212.56s -> 6231.10s]  own rooms. Hey, my birthday
[6231.10s -> 6233.10s]  is 420. Can you get faded
[6233.10s -> 6235.10s]  and play back rooms on Roblox?
[6235.10s -> 6242.76s]  Uh, I don't
[6242.76s -> 6257.92s]  think so. There we go.
[6257.92s -> 6266.30s]  Much better. I might even take this wall down
[6266.30s -> 6271.21s]  too and just have a bathroom.
[6271.21s -> 6286.49s]  We'll see. You promised.
[6286.49s -> 6303.58s]  I didn't promise a 420 stream. No,
[6303.58s -> 6305.58s]  on 420, I'm going to be sitting
[6305.58s -> 6308.46s]  on my own couch watching old
[6308.46s -> 6311.72s]  Fraggle Rock episodes. I'm
[6311.72s -> 6319.15s]  going to be very busy. I'm going to be incredibly
[6319.15s -> 6329.20s]  busy. You're going to do that without us?
[6329.20s -> 6340.65s]  All right, stairs.
[6340.65s -> 6350.24s]  I want it so bad right now.
[6350.24s -> 6352.24s]  We need a way to go up and down.
[6352.24s -> 6359.64s]  Hmm. How are animals
[6359.64s -> 6365.90s]  going to use this? They're just not
[6365.90s -> 6368.59s]  on pivoting. The bottom floor is where
[6368.59s -> 6370.59s]  the animals live and the top floor is where
[6370.59s -> 6385.12s]  I live. And it's just going to be made out of gold
[6385.12s -> 6399.76s]  ladder. Yeah, I want there to be as much
[6399.76s -> 6401.76s]  real estate as possible to put other stuff.
[6401.76s -> 6406.75s]  Stairwell takes actually a very
[6406.75s -> 6424.73s]  large amount of space. That's the worst
[6424.73s -> 6427.36s]  possible place. Wait, where's the front door?
[6427.36s -> 6429.36s]  Where's the door? How do I get out of here?
[6429.36s -> 6433.82s]  How do I get out of this house?
[6433.82s -> 6435.82s]  Oh, okay. Uh-uh. I don't like this.
[6435.82s -> 6439.28s]  No, front door is right here. Yeah,
[6439.28s -> 6472.99s]  front door is right here. There. Because the bottom
[6472.99s -> 6493.66s]  floor is going to be the barn. Yeah, the upstairs
[6493.66s -> 6496.09s]  is going to be where I live. But there's going
[6496.09s -> 6499.55s]  to be, I'm sorry, but dad gets
[6499.55s -> 6501.85s]  to have one room down here. And I'll make,
[6501.85s -> 6507.68s]  I'll section it off right now. Garage?
[6507.68s -> 6514.14s]  I think that's fair. I had a dad room
[6514.14s -> 6529.56s]  before though. This needs to go over here.
[6529.56s -> 6555.87s]  This is, I'm claiming this is mine.
[6555.87s -> 6563.15s]  Either this one or this one. I like this one.
[6563.15s -> 6584.32s]  Get the color, right? Yeah.
[6592.25s -> 6595.13s]  I have no idea how to fucking swim.
[6595.13s -> 6605.42s]  I probably should remove this. I can
[6605.42s -> 6617.24s]  stand in here.
[6617.24s -> 6619.24s]  I'm happy. I don't even need to play the game anymore. I'm done.
[6619.24s -> 6622.32s]  This room is going to be immaculate.
[6622.32s -> 6624.68s]  Just wait. Check this out.
[6624.68s -> 6627.76s]  I'm going to get pool lights all over
[6627.76s -> 6642.46s]  here. Hmm. All right.
[6642.46s -> 6644.46s]  What should I, I want like lighting, like
[6644.46s -> 6651.63s]  really nice lighting. What do you think?
[6651.63s -> 6658.48s]  Tile? That nice kind of
[6658.48s -> 6671.79s]  clean tile look on the walls? Of course.
[6671.79s -> 6675.18s]  Oh yeah, of course. Roulette table?
[6675.18s -> 6679.96s]  Okay. Oh yeah, this is perfect. I'll put
[6679.96s -> 6685.15s]  that somewhere else in a minute. Wait,
[6685.15s -> 6693.21s]  I gotta make a casino? All right. This is
[6693.21s -> 6702.81s]  going to be a farm and a casino at the same time.
[6702.81s -> 6705.76s]  That's so stupid. All right. Don't
[6705.76s -> 6710.11s]  get distracted. So bathroom.
[6710.11s -> 6728.35s]  What should it be? What should the colors be?
[6728.35s -> 6734.28s]  Just like a light blue? Green?
[6734.28s -> 6754.94s]  These are pretty default, but they look
[6754.94s -> 6760.17s]  good. Marble? Marble sounds good.
[6760.17s -> 6762.41s]  This looks kind of good. Wait a minute.
[6762.41s -> 6775.71s]  Look at this. Let me see what it looks like. That's
[6775.71s -> 6813.00s]  pretty sharp. What about the floor?
[6813.00s -> 6844.54s]  That's a good floor. Make the floor?
[6844.54s -> 6846.54s]  That's a great comment. Bro, you just
[6846.54s -> 6852.62s]  made a baptism room.
[6852.62s -> 6855.74s]  No. This is
[6855.74s -> 6869.31s]  my personal sanctuary.
[6869.31s -> 6871.31s]  It's a barn, a church,
[6871.31s -> 6876.24s]  and a casino. Oh man.
[6876.24s -> 6882.43s]  I don't think
[6882.43s -> 6884.43s]  I don't think you can get permits to have a casino
[6884.43s -> 6887.95s]  and a church in the same space.
[6887.95s -> 6889.95s]  I don't think that's how it works.
[6889.95s -> 6894.49s]  I think there'd be quite a few people that would have things to say about that.
[6894.49s -> 6897.56s]  I would imagine.
[6897.56s -> 6907.47s]  Baptism chamber.
[6907.47s -> 6909.47s]  Everyone's saying fix the tub.
[6909.47s -> 6916.00s]  Hold on. I can't.
[6916.00s -> 6918.92s]  I think it's like this permanently. Unless I sell
[6918.92s -> 6930.51s]  it. Well, that's definitely the walls for sure.
[6930.51s -> 6941.63s]  I actually really like it. The outlet?
[6941.63s -> 6948.41s]  Yeah, this is a little
[6948.41s -> 6950.65s]  fucked up, but it's all right. Everything's going to be fine.
[6950.65s -> 6973.16s]  Nice. This is a saw death trap.
[6973.16s -> 6978.01s]  It's not done. If
[6978.01s -> 6980.01s]  you were constructing a house and somebody walked over and saw
[6980.01s -> 6982.51s]  the frame and went,
[6982.51s -> 6984.51s]  Hey, are you making a saw death trap?
[6984.51s -> 6988.35s]  The house is not done.
[6988.35s -> 6996.41s]  How are the sunflowers doing? Good
[6996.41s -> 7001.45s]  question. Ooh, pretty nicely
[7001.45s -> 7017.12s]  it seems. Pumpkins are not done.
[7017.12s -> 7019.61s]  I just got a bunch of corn. Oh.
[7019.61s -> 7023.71s]  I wonder, do I feed this to animals?
[7023.71s -> 7031.31s]  I would imagine. Plus six corn.
[7031.31s -> 7042.94s]  That's kind of cool.
[7042.94s -> 7045.63s]  Animals provide 50% more produce.
[7045.63s -> 7047.63s]  50% increased growth rate of crops.
[7047.63s -> 7057.42s]  Which one of these is better? Probably this one.
[7057.42s -> 7060.17s]  No, I probably won't do it.
[7060.17s -> 7064.57s]  Oh, it's done. Pumpkin?
[7064.57s -> 7073.28s]  Maybe animals provide more produce?
[7073.28s -> 7079.47s]  Whoa. I'm
[7079.47s -> 7086.83s]  harvesting all the sunflowers. I probably
[7086.83s -> 7103.98s]  make animal food. Seems pretty good.
[7103.98s -> 7115.48s]  All right. Back to what we were doing. It'd be so
[7115.48s -> 7123.42s]  funny if you could play. We gotta get a better door than
[7123.42s -> 7130.27s]  this. This thing sucks. All right.
[7130.27s -> 7132.70s]  I'm walking in. I want misters.
[7132.70s -> 7136.14s]  I want kind of scented
[7136.14s -> 7138.32s]  misters to be spraying
[7138.32s -> 7140.49s]  at an angle here and here.
[7140.49s -> 7144.51s]  Right at the door. I want to get coated
[7144.51s -> 7146.75s]  by like a nice gentle mist.
[7146.75s -> 7154.22s]  Some kind of fragrance.
[7154.22s -> 7156.40s]  Then I want to be able to sit down here and just
[7156.40s -> 7171.23s]  sit, inhale and exhale.
[7171.23s -> 7183.84s]  Let me do this. Carbon monoxide.
[7183.84s -> 7192.80s]  And by the way, I don't
[7192.80s -> 7196.57s]  want a window in here. This is for
[7196.57s -> 7199.20s]  me to come in, sit down
[7199.20s -> 7205.26s]  with some nice lights.
[7205.26s -> 7207.26s]  You're gonna get CO2?
[7207.26s -> 7209.26s]  I'm gonna be, what? I'll put a vent.
[7209.26s -> 7236.25s]  See?
[7236.25s -> 7240.48s]  That's not enough.
[7240.48s -> 7242.48s]  See? I'll be fine. I've got a vent.
[7242.48s -> 7252.72s]  It's not an interrogation room.
[7252.72s -> 7257.64s]  What interrogation room has
[7257.64s -> 7260.01s]  marbled blue
[7260.01s -> 7262.01s]  like pool walls?
[7262.01s -> 7265.28s]  What are you talking about?
[7265.28s -> 7267.28s]  I've never seen an interrogation room
[7267.28s -> 7269.28s]  on any television shows or any movie
[7269.28s -> 7271.28s]  that took place inside of an indoor
[7271.28s -> 7279.92s]  pool facility. All right. Move this.
[7279.92s -> 7292.83s]  Gotta get my towel in the right spot. See?
[7292.83s -> 7298.46s]  We're safe. I don't hate that
[7298.46s -> 7313.16s]  light. There. Are you happy?
[7313.16s -> 7329.98s]  There. Are you happy now?
[7329.98s -> 7331.98s]  No. I am not making
[7331.98s -> 7333.98s]  the SpongeBob kitchen.
[7333.98s -> 7336.60s]  It might look identical
[7336.60s -> 7338.60s]  right now, but I can assure
[7338.60s -> 7340.60s]  you this is not the SpongeBob kitchen.
[7340.60s -> 7342.60s]  But now I feel like it kind of has to be.
[7342.60s -> 7349.71s]  But what about my sanctuary?
[7349.71s -> 7355.72s]  But what about my
[7355.72s -> 7374.35s]  sanctuary? Oh my
[7374.35s -> 7376.35s]  god. Damn it.
[7376.35s -> 7379.42s]  Okay. Fine. Fine.
[7379.42s -> 7381.42s]  I'm making a second room where my
[7381.42s -> 7389.04s]  sanctuary is going. There's like two barrels.
[7389.04s -> 7399.98s]  Where's the door? So the door
[7399.98s -> 7402.80s]  needs to be here, right?
[7402.80s -> 7404.80s]  So let's say the window is here.
[7404.80s -> 7415.28s]  So the door would need to be here. That's
[7415.28s -> 7417.71s]  fine. Let's operate on the door being right
[7417.71s -> 7432.62s]  here. So the door is there. The fridge.
[7432.62s -> 7436.57s]  Where's the wall? No, the
[7436.57s -> 7438.57s]  door would need to be right here, but I can't do it like
[7438.57s -> 7445.16s]  that. Because if this was the window,
[7445.16s -> 7449.58s]  I guess that would make sense.
[7449.58s -> 7453.16s]  Then I need a little table right here.
[7453.16s -> 7465.64s]  It's blue, right? Everything,
[7465.64s -> 7467.64s]  almost everything in this room is blue. Does this
[7467.64s -> 7483.95s]  work? It's white. Put on
[7483.95s -> 7503.47s]  SpongeBob music? Okay, the oven is
[7503.47s -> 7505.47s]  blue. It's like a flat top.
[7505.47s -> 7512.81s]  I wonder if they have them in this game. Oh,
[7512.81s -> 7515.88s]  no. I can make this blue
[7515.88s -> 7520.68s]  though. I think this is close enough.
[7520.68s -> 7531.24s]  Is it a flat top or is it a
[7531.24s -> 7538.16s]  stove, right? Would it be like oven?
[7538.16s -> 7541.74s]  Like grill? Yeah, all they have are these.
[7541.74s -> 7546.20s]  This might do it.
[7546.20s -> 7551.58s]  Not quite. I think
[7551.58s -> 7557.72s]  it's honestly this one. Or one of the ovens.
[7557.72s -> 7564.70s]  I mean, it's this.
[7564.70s -> 7566.70s]  It just needs to be. Okay, we can't make it blue.
[7566.70s -> 7570.09s]  This is perfect. Top is like
[7570.09s -> 7575.28s]  a dark blue. How do I
[7575.28s -> 7577.58s]  do the top? Okay. Top
[7577.58s -> 7585.45s]  is like that. And then it's kind
[7585.45s -> 7596.38s]  of gray. Not that gray. I
[7596.38s -> 7608.35s]  think it's good like this. So where's the fridge?
[7608.35s -> 7610.52s]  Alright, now we need the hole here.
[7610.52s -> 7625.69s]  It's just kind of an open square.
[7625.69s -> 7627.69s]  Oh my god. They actually have
[7627.69s -> 7650.72s]  it. Not enough space on the wall.
[7650.72s -> 7653.47s]  Oh, it has to be exterior.
[7653.47s -> 7665.82s]  Shit. They might all have to be exterior.
[7665.82s -> 7672.28s]  Might be able to get away with it with something else.
[7672.28s -> 7677.85s]  Hold on. I don't know, like opening
[7677.85s -> 7681.05s]  or... It might be something weird.
[7681.05s -> 7683.98s]  Walls. Now it would be
[7683.98s -> 7696.64s]  glass walls?
[7696.64s -> 7706.56s]  Damn it. It has to be exterior. Yeah,
[7706.56s -> 7712.57s]  it's got to be exterior.
[7712.57s -> 7717.18s]  We might be out of luck here.
[7717.18s -> 7733.04s]  Half wall is okay. Just
[7733.04s -> 7739.44s]  do a drive-through episode.
[7739.44s -> 7741.44s]  As long as we don't touch anything, that
[7741.44s -> 7753.28s]  is accurate. So I need
[7753.28s -> 7755.28s]  to put a... Hold on, let me fix this.
[7755.28s -> 7762.76s]  Do half walls. Yeah.
[7762.76s -> 7771.92s]  Squidward would hate this.
[7771.92s -> 7800.57s]  Yes, he would.
[7811.64s -> 7814.52s]  What kind of... It's like a submarine
[7814.52s -> 7824.76s]  door, right? I'll put on SpongeBob
[7824.76s -> 7827.07s]  music. That sounds fun. SpongeBob
[7827.07s -> 7834.28s]  OST. An hour
[7834.28s -> 7847.15s]  of relaxing SpongeBob music.
[7847.15s -> 7859.74s]  Sounds perfect. Alright, the door
[7859.74s -> 7861.74s]  is... It's an open doorway,
[7861.74s -> 7867.23s]  right? Does it close? It's kind of like
[7867.23s -> 7889.56s]  a big arch.
[7889.56s -> 7892.19s]  I mean, if that was a little
[7892.19s -> 7894.43s]  lower tech, it would be perfect.
[7894.43s -> 7910.09s]  This one looks good. Turn the music up.
[7910.09s -> 7926.01s]  There you go. Do the vault door?
[7926.01s -> 7934.12s]  That might be something better. Hold on.
[7934.12s -> 7946.22s]  That actually might be the closest thing.
[7946.22s -> 7949.42s]  Yeah, whatever. Sounds good.
[7949.42s -> 7969.95s]  Maybe we can stick with the blue. Ah, Squidward!
[7969.95s -> 7983.26s]  So where's the fridge?
[7983.26s -> 8009.04s]  We're gonna fix this. Okay,
[8009.04s -> 8030.73s]  I can't hear anything. My building is
[8030.73s -> 8038.60s]  so slow. Your SpongeBob
[8038.60s -> 8040.60s]  impression sounds like Squidward trying
[8040.60s -> 8047.64s]  to do a SpongeBob impression. Thanks
[8047.64s -> 8051.04s]  for the compliment. Alright, we're gonna retile.
[8051.04s -> 8054.56s]  The floor is already done, but it needs to
[8054.56s -> 8068.44s]  be a little bit lighter wood. I like that bubble
[8068.44s -> 8076.06s]  sound. It looks like this one
[8076.06s -> 8106.32s]  here. Other way. Okay.
[8106.32s -> 8110.09s]  Thank God he's making
[8110.09s -> 8113.61s]  the crusty crab. Well, this is just
[8113.61s -> 8129.87s]  one room of the house.
[8129.87s -> 8132.56s]  What were the tiles they called?
[8132.56s -> 8142.09s]  Where were they?
[8142.09s -> 8154.76s]  There. Beautiful.
[8154.76s -> 8174.46s]  This stream is a vibe right now. Yeah.
[8174.46s -> 8178.86s]  I'm glad. I'm just
[8178.86s -> 8182.38s]  chilling out.
[8182.38s -> 8190.51s]  I feel pretty good. Alright.
[8190.51s -> 8192.51s]  So I need my sanctuary row.
[8192.51s -> 8194.51s]  I can't even say that word. Sanctuary.
[8194.51s -> 8199.37s]  Sanctuary.
[8199.37s -> 8201.37s]  Kind of ugly, but I can't fix it.
[8201.37s -> 8211.74s]  Alright. Can I get another picture
[8211.74s -> 8222.11s]  of the room? So the fridge.
[8222.11s -> 8227.80s]  Okay, so there's a door.
[8227.80s -> 8233.88s]  Alright, so if that's where the door is.
[8233.88s -> 8235.88s]  There's another door
[8235.88s -> 8237.88s]  here. Are there two doors?
[8237.88s -> 8240.70s]  There's a gas. There's another range
[8240.70s -> 8242.70s]  right here. There's another gas stove.
[8242.70s -> 8254.60s]  This one is beige.
[8254.60s -> 8268.22s]  It's like beige.
[8268.22s -> 8274.75s]  It's a little too bright.
[8274.75s -> 8290.43s]  So there's the window.
[8290.43s -> 8292.43s]  Okay, the fridge is right here.
[8292.43s -> 8295.18s]  It's one of those double door fridges.
[8295.18s -> 8301.39s]  And it's all blue.
[8301.39s -> 8308.17s]  It's kind of like this.
[8308.17s -> 8318.14s]  What? Two of these. Is it wider?
[8318.14s -> 8328.64s]  I can't make this blue.
[8328.64s -> 8354.20s]  Here we go. Kind of purple.
[8354.20s -> 8363.21s]  Okay.
[8363.21s -> 8365.21s]  And there's a bunch of, there's like a condiments table.
[8365.21s -> 8368.99s]  It almost, it looks like a little
[8368.99s -> 8370.99s]  wardrobe. Like a little bureau.
[8370.99s -> 8386.14s]  Whoa, this is way better.
[8386.14s -> 8414.88s]  This is a thousand times better. The fridge.
[8414.88s -> 8422.04s]  Okay. I need a low,
[8422.04s -> 8424.41s]  like one of these. This might be fine.
[8424.41s -> 8433.29s]  It's probably a lower one. Pretty good.
[8433.29s -> 8454.99s]  I'd like it to be wider.
[8454.99s -> 8468.92s]  Almost there.
[8468.92s -> 8470.92s]  It was lower. It needed to be lower, lower, lower.
[8470.92s -> 8474.81s]  I think that's fine.
[8474.81s -> 8482.49s]  This works. Can't make it blue though.
[8482.49s -> 8499.71s]  And there's condiments all over this.
[8499.71s -> 8513.58s]  Ooh.
[8513.58s -> 8547.68s]  What was that thing?
[8547.68s -> 8573.60s]  You can actually do a koi pond.
[8573.60s -> 8576.22s]  It was a thing that was hanging on the wall.
[8576.22s -> 8580.38s]  And it looks just like this image here.
[8580.38s -> 8582.38s]  It was a bunch of utensils and tools.
[8582.38s -> 8584.38s]  And they just look just like this thing.
[8584.38s -> 8588.48s]  I can't find it.
[8588.48s -> 8597.61s]  Here it is. Where?
[8597.61s -> 8600.11s]  Oh, yep. Here it is. Okay, cool.
[8600.11s -> 8602.11s]  This doesn't match, but it looks good enough.
[8602.11s -> 8628.84s]  Good enough.
[8628.84s -> 8630.84s]  It's kind of coming together. What's in this corner?
[8630.84s -> 8636.73s]  These are all horse tools.
[8636.73s -> 8639.93s]  Yeah, but it looks fine.
[8639.93s -> 8644.86s]  You need the door to Mr.
[8644.86s -> 8652.73s]  Crab's office.
[8652.73s -> 8657.02s]  So this is going to have to be Mr. Crab's office.
[8657.02s -> 8662.27s]  No, I'm not making the whole
[8662.27s -> 8664.64s]  Krusty Krab.
[8664.64s -> 8666.64s]  I'm not making the entire...
[8666.64s -> 8668.64s]  What about my farm church casino?
[8668.64s -> 8675.74s]  I have to make the whole
[8675.74s -> 8681.95s]  Krusty Krab restaurant?
[8681.95s -> 8688.22s]  It would take me two weeks to do that.
[8688.22s -> 8690.22s]  What about my pool?
[8690.22s -> 8701.02s]  Alright, so let me...
[8701.02s -> 8703.26s]  Okay, okay, okay. So this is to the kitchen.
[8703.26s -> 8707.21s]  The other door
[8707.21s -> 8709.71s]  is here.
[8709.71s -> 8711.71s]  It's not though. It's different in every
[8711.71s -> 8714.40s]  episode. I feel like the doors
[8714.40s -> 8716.40s]  in this room are different in every
[8716.40s -> 8730.67s]  other season. Alright, I'll make the whole
[8730.67s -> 8734.70s]  Krusty Krab. Fine. Fine.
[8734.70s -> 8736.88s]  You don't think I will?
[8736.88s -> 8738.88s]  You don't think I'll make the whole entire Krusty Krab?
[8738.88s -> 8741.18s]  Down to the last...
[8741.18s -> 8743.36s]  Down to the last...
[8743.36s -> 8745.36s]  Touch. Down to the last...
[8745.36s -> 8747.36s]  Like buffing out the last scratch.
[8747.36s -> 8770.32s]  No, I'm not doing that.
[8770.32s -> 8773.77s]  Let me at least finish this room. Why is it so
[8773.77s -> 8781.13s]  loud? Okay.
[8781.13s -> 8783.31s]  Door here.
[8783.31s -> 8785.74s]  Door over here.
[8785.74s -> 8788.62s]  So this stuff is actually a little bit more
[8788.62s -> 8791.63s]  to the right. Is the door
[8791.63s -> 8794.12s]  here? Where does this door go?
[8794.12s -> 8804.30s]  So this is Mr. Crab's office
[8804.30s -> 8812.43s]  over here. Is he enough?
[8812.43s -> 8825.10s]  How big is Mr. Crab's office?
[8825.10s -> 8839.69s]  It's pretty small, right?
[8839.69s -> 8844.80s]  Isn't it just a desk?
[8844.80s -> 8855.36s]  There's a desk right there. It kind of is
[8855.36s -> 8859.58s]  this size. Turn the light on.
[8859.58s -> 8866.60s]  Okay. This is a
[8866.60s -> 8868.60s]  load-bearing wall so I can't get rid of it.
[8868.60s -> 8880.89s]  Here's a Krusty Krab map
[8880.89s -> 8887.16s]  you can look at. No, I can't play
[8887.16s -> 8890.11s]  that. I'm just going to look up
[8890.11s -> 8892.11s]  Krusty Krab office.
[8892.11s -> 8899.72s]  Oh, this is a good... Okay, here we go.
[8899.72s -> 8917.63s]  I can do this. So it really
[8917.63s -> 8919.63s]  is just a big desk.
[8919.63s -> 8921.63s]  It's kind of like a big... Is it like a treasure chest?
[8921.63s -> 8928.80s]  Like a suitcase? I think like a
[8928.80s -> 8930.80s]  toy chest will work.
[8930.80s -> 8941.02s]  A toy box. What about just like a box?
[8941.02s -> 8953.74s]  Huh? This dude's 40?
[8953.74s -> 8970.75s]  Not yet. Trunk?
[8970.75s -> 8983.71s]  Oh. Hmm.
[8983.71s -> 8990.04s]  Chest. I'm surprised I don't have one.
[8990.04s -> 9004.11s]  Turn this up. SpongeBob is only
[9004.11s -> 9006.48s]  four adults. I want some water.
[9006.48s -> 9019.07s]  I'll come back and we'll continue.
[9019.07s -> 9207.10s]  I'll be right back. See?
[9207.10s -> 9212.03s]  I'm back. Christmas music?
[9212.03s -> 9219.39s]  Yeah, you should probably change the title to
[9219.39s -> 9221.39s]  Making the Krusty... Yeah, somebody said it. Making the Krusty Krab
[9221.39s -> 9223.39s]  because chat pressured me to do it.
[9223.39s -> 9229.53s]  And then... And then dash?
[9229.53s -> 9233.48s]  I want out. Yeah, there's got to be like
[9233.48s -> 9243.79s]  a dash. I want out.
[9243.79s -> 9258.64s]  Alright, let's go. Well, let me get the stuff that I know.
[9258.64s -> 9261.26s]  I don't think I'll be able to find the exact
[9261.26s -> 9263.26s]  thing, but a wardrobe should
[9263.26s -> 9268.38s]  do it. One of the short,
[9268.38s -> 9272.78s]  wide... They definitely have it.
[9272.78s -> 9279.42s]  Really? It might just
[9279.42s -> 9281.42s]  have to be this big wooden box.
[9281.42s -> 9301.05s]  Okay.
[9301.05s -> 9303.05s]  Now, it's like a big throne, isn't it?
[9303.05s -> 9306.64s]  It's a very large
[9306.64s -> 9308.64s]  chair. Where is it? They definitely have a
[9308.64s -> 9318.30s]  version of it. That's pretty good.
[9318.30s -> 9339.29s]  Oh, and make sure you stay to the end of the stream
[9339.29s -> 9341.60s]  because I'm going to do a full
[9341.60s -> 9344.16s]  all-in SpongeBob SquarePants
[9344.16s -> 9346.78s]  laugh. You're not going to want to miss it.
[9346.78s -> 9366.78s]  Stay tuned. Yeah, that one's fine.
[9366.78s -> 9377.40s]  Gold, right? You can't see it.
[9377.40s -> 9379.64s]  Well, it's going to have to
[9379.64s -> 9386.11s]  do for now. These other two chairs are going to
[9386.11s -> 9396.80s]  have to be these. I saw them earlier. They're
[9396.80s -> 9400.19s]  kind of thicker here.
[9400.19s -> 9402.56s]  Because they're kind of hollowed out
[9402.56s -> 9408.96s]  barrels. I wish I could just go back.
[9408.96s -> 9411.96s]  Can I just go back? I'm missing that button or something.
[9411.96s -> 9437.10s]  There's no window.
[9437.10s -> 9440.49s]  There's another door? Where's the other door go?
[9440.49s -> 9452.01s]  It's wood on the walls.
[9452.01s -> 9460.89s]  We've got to get the aesthetic right.
[9460.89s -> 9462.89s]  Are they horizontal or vertical lines? Looks like they're
[9462.89s -> 9484.64s]  vertical. Kind of like this.
[9484.64s -> 9492.49s]  Yeah, I like that. The lines are vertical.
[9492.49s -> 9498.25s]  I'm looking at a reference image right now.
[9498.25s -> 9505.72s]  Wrong way. Fake fan.
[9505.72s -> 9507.72s]  Oh, this is the door
[9507.72s -> 9510.28s]  that we're seeing here.
[9510.28s -> 9512.28s]  Which means this has to be turned this way.
[9512.28s -> 9514.52s]  Alright, I'll do that in a second. What does that even mean?
[9514.52s -> 9530.59s]  So that back wall is metal.
[9530.59s -> 9548.49s]  Such a fake fan.
[9548.49s -> 9550.49s]  No, I'm sorry guys. I don't remember the
[9550.49s -> 9552.73s]  blueprints of the Krusty
[9552.73s -> 9568.48s]  Krab. Literally L.
[9568.48s -> 9570.48s]  What? Why? I don't know the
[9570.48s -> 9573.04s]  blueprints of the Krusty Krab.
[9573.04s -> 9579.48s]  Now I need a metal.
[9579.48s -> 9594.12s]  Like a steel. Okay.
[9594.12s -> 9597.50s]  Close. You are killing
[9597.50s -> 9599.50s]  my childhood right now. It's not even close.
[9599.50s -> 9612.28s]  I've seen a few things that
[9612.28s -> 9635.88s]  could work.
[9635.88s -> 9637.88s]  I'll try the one I was going to do. It's this one
[9637.88s -> 9643.96s]  down here. Oh shit, it's a double.
[9643.96s -> 9658.81s]  Shit, this is a double too. I don't want a double.
[9658.81s -> 9669.63s]  I need to see what it looks like.
[9669.63s -> 9671.63s]  This is not my final decision here.
[9671.63s -> 9719.04s]  That's better, right? I think that's
[9719.04s -> 9725.37s]  accurate. So this is Mr. Krab's office.
[9725.37s -> 9727.37s]  We can go and mess around with this
[9727.37s -> 9735.16s]  later. Very important.
[9735.16s -> 9737.79s]  How the hell does this
[9737.79s -> 9740.52s]  work?
[9740.52s -> 9744.43s]  Because this comes out to the restaurant.
[9744.43s -> 9747.18s]  And then Squidward's
[9747.18s -> 9749.18s]  station is right here.
[9749.18s -> 9755.69s]  And it's a big boat. I doubt we'll be able
[9755.69s -> 9760.49s]  to do that though.
[9760.49s -> 9766.19s]  It looks like a boat.
[9766.19s -> 9768.88s]  Can you do a Squidward laugh?
[9768.88s -> 9785.26s]  Why are there so many weapons?
[9785.26s -> 9792.68s]  Wait a minute.
[9792.68s -> 9824.52s]  Yeah.
[9824.52s -> 9827.15s]  How am I going to make Squidward's
[9827.15s -> 9834.64s]  cashier station?
[9834.64s -> 9837.64s]  It's a boat. How am I going to make a boat?
[9837.64s -> 9842.32s]  It's going to be some type of
[9842.32s -> 9845.20s]  furniture. Wait, what about a big pet bed?
[9845.20s -> 9849.72s]  That might work.
[9849.72s -> 9872.38s]  Sort of boat-like.
[9872.38s -> 9876.99s]  The race car bed could work.
[9876.99s -> 9882.36s]  Wait a minute. This is pretty damn
[9882.36s -> 9891.20s]  close. I wish I could change the color.
[9891.20s -> 9900.35s]  I wish I could make it bigger. Oh, I could do a bathtub.
[9900.35s -> 9908.22s]  Yeah, that's true. What color is it?
[9908.22s -> 9921.15s]  I need a fixture
[9921.15s -> 9924.54s]  first. Alright, let me get the back wall.
[9924.54s -> 9927.16s]  The back wall is kind of like a blue
[9927.16s -> 9929.90s]  and green and pink
[9929.90s -> 9931.90s]  and it's kind of a lot of different colors, but I don't think
[9931.90s -> 9934.20s]  I can do it. So we're going to have to just do
