[3.13s -> 4.33s]  All right, let's go.
[10031.57s -> 10035.65s]  That we try to explain into mundanity so we can take them for granted.
[10035.65s -> 10037.09s]  You don't know what rain is.
[10039.81s -> 10040.61s]  What's rain?
[10042.13s -> 10043.97s]  Rain, but also all this stuff.
[10044.93s -> 10048.42s]  I don't know.
[10048.42s -> 10050.18s]  Think back to our journey's beginning.
[10050.18s -> 10054.82s]  Fortune is the spur of the moment that strikes restless hearts and sparks an adventure.
[10055.38s -> 10057.30s]  Luck is the people you share it with.
[10058.18s -> 10060.99s]  If I didn't know the crap.
[10062.80s -> 10064.32s]  I'm not as drunk as you yet.
[10067.23s -> 10068.75s]  Just one more.
[10069.47s -> 10071.26s]  All right.
[10072.14s -> 10073.18s]  I thought that was a sandwich.
[10075.70s -> 10076.74s]  You feel like you're getting hungry?
[10077.38s -> 10078.58s]  Oh, you leveled up.
[10078.58s -> 10079.30s]  Nice.
[10079.30s -> 10080.50s]  Plus 10 more time and age.
[10080.50s -> 10081.22s]  Okay.
[10081.22s -> 10085.42s]  And then gets two extra armor.
[10087.33s -> 10089.09s]  And I might just take two extra armor.
[10089.82s -> 10092.86s]  Every other turn as a swift action and then sheds two of a foe's armor.
[10092.86s -> 10093.58s]  Now, let's do it.
[10093.58s -> 10094.86s]  I want to be tankier.
[10094.86s -> 10095.42s]  Let's do that.
[10100.21s -> 10100.37s]  Okay.
[10100.37s -> 10102.29s]  They're shifting over to the Mortha.
[10103.33s -> 10103.73s]  How is it?
[10103.73s -> 10104.77s]  Morthagy?
[10104.77s -> 10105.81s]  Morthaguy?
[10105.81s -> 10107.47s]  What are you?
[10107.47s -> 10108.19s]  What's going on, man?
[10109.97s -> 10111.33s]  Is he having a seizure?
[10111.33s -> 10112.13s]  No.
[10112.13s -> 10115.09s]  The name of the groups, like the Gorgons.
[10116.02s -> 10116.74s]  Oh, yeah, yeah.
[10116.74s -> 10117.46s]  I see what you're saying.
[10117.46s -> 10117.70s]  All right.
[10117.70s -> 10121.70s]  So you can see in Brandland as a recruit opportunity.
[10121.70s -> 10126.50s]  So if we had someone die or your character like had lost both his arms,
[10126.50s -> 10130.10s]  we could replace someone in our party and like recruit someone new.
[10130.10s -> 10132.90s]  If we recruit someone new, we would actually be the Fabulous Four.
[10133.62s -> 10134.02s]  We would.
[10134.02s -> 10135.86s]  But then it wouldn't be funny anymore.
[10135.86s -> 10136.58s]  I don't like that.
[10137.22s -> 10137.54s]  Yeah.
[10137.54s -> 10140.42s]  I think we should just like go past it and scout.
[10140.42s -> 10141.94s]  We're going to Dachia Forest.
[10144.00s -> 10144.48s]  Sounds good.
[10148.80s -> 10149.28s]  Dismiss.
[10150.08s -> 10151.28s]  Three more days remaining.
[10152.54s -> 10153.82s]  Oh, till the end.
[10153.82s -> 10154.46s]  Oh, no.
[10154.46s -> 10154.78s]  Great.
[10155.42s -> 10155.74s]  Okay.
[10156.54s -> 10157.52s]  Let's go.
[10158.24s -> 10162.83s]  What if we just wandered around for a bit?
[10163.78s -> 10165.14s]  Oh, event.
[10166.67s -> 10172.24s]  Oh, I have lost eyes, throwing them irretrievable upon the sea.
[10172.24s -> 10175.44s]  I have drowned my voice in those wailing waters.
[10176.16s -> 10177.84s]  Ochre at sunset.
[10177.84s -> 10181.04s]  The waves distance has washed my memories away.
[10182.24s -> 10187.70s]  I have seen the end, watched it come and watched it pass many times.
[10188.34s -> 10190.18s]  I know something of what lies ahead.
[10190.90s -> 10196.82s]  Along us and Thomas wait for Inon to come up the road,
[10196.82s -> 10198.90s]  taking shelter in an abandoned place.
[10198.90s -> 10201.46s]  They've chanced on another traveler.
[10203.22s -> 10206.30s]  That's a tantalizing crumb.
[10207.02s -> 10209.42s]  I don't want to do every single thing.
[10211.42s -> 10212.06s]  I was waiting.
[10212.06s -> 10213.26s]  I'm going to be the spooky lady.
[10213.26s -> 10215.82s]  I was hoping you were going to do all of them.
[10215.82s -> 10216.32s]  All right.
[10217.02s -> 10220.45s]  To someone who little knows the weight of knowledge, I am sure it appeals.
[10223.79s -> 10228.86s]  You must realize the only-
[10228.86s -> 10230.46s]  What has a star ever told me
[10230.46s -> 10231.82s]  that made me want less to know it?
[10233.10s -> 10235.50s]  Rain chatters on the thatch.
[10235.50s -> 10239.42s]  I see things written in the turning of storms,
[10239.42s -> 10242.22s]  in silver-wet letters and shaking pages of rain.
[10242.22s -> 10244.94s]  I read of dreams left behind this yondering.
[10244.94s -> 10247.52s]  I read of dooms the year is intent.
[10247.52s -> 10251.14s]  I read until my eyes shine and my stomach roars.
[10251.14s -> 10254.86s]  I have read of you.
[10255.42s -> 10258.59s]  I know what you are meant to be.
[10258.59s -> 10259.23s]  A dog.
[10259.23s -> 10260.83s]  You meant to be a full dog.
[10264.21s -> 10266.21s]  Not sure I believe in faute.
[10267.54s -> 10269.14s]  No one demands you believe.
[10269.14s -> 10274.83s]  You only must endure what happens.
[10274.83s -> 10277.71s]  The old storage building smells like ancient hay,
[10278.43s -> 10279.39s]  moist rock,
[10279.39s -> 10282.35s]  and the burning pine pitch of their torch.
[10282.35s -> 10287.23s]  The woman's robe moves like it's part of her.
[10287.23s -> 10288.35s]  She shrugs.
[10289.23s -> 10292.13s]  It's going to be really hard for me to continue
[10292.13s -> 10293.41s]  because I just looked over at my chat
[10293.41s -> 10295.17s]  and I just see Stewie being spammed
[10295.17s -> 10297.41s]  and it's like ruining everything.
[10297.41s -> 10299.65s]  Put the fingers together right now.
[10300.45s -> 10300.95s]  Fortunes.
[10303.46s -> 10304.98s]  I think you're doing a really good voice here.
[10304.98s -> 10306.90s]  Fortunes were given to crows to tell,
[10306.90s -> 10309.30s]  and crows were kind enough to share their gift with witches.
[10309.86s -> 10311.86s]  A witch, well paid,
[10311.86s -> 10314.10s]  shares fortunes with the way blind, Brian.
[10314.10s -> 10324.37s]  I'll give you my blood.
[10324.37s -> 10326.69s]  Wait, another transformation?
[10326.69s -> 10327.97s]  Another transformation.
[10327.97s -> 10328.47s]  For you?
[10329.18s -> 10330.22s]  Yeah, do it, man.
[10330.78s -> 10332.29s]  What are you going to turn into?
[10332.85s -> 10336.61s]  Then you have already glimpsed the form
[10336.61s -> 10338.69s]  your roving spirit must take.
[10338.69s -> 10340.29s]  You have seen it in your sleep
[10340.29s -> 10342.69s]  and it will not shatter you.
[10342.69s -> 10344.61s]  I dream that I don't see it.
[10344.61s -> 10347.25s]  I sort of insist on the different units.
[10347.25s -> 10350.67s]  You go winged but never flying.
[10350.67s -> 10352.51s]  Fast but rarely flinging.
[10352.51s -> 10360.51s]  Your wander leads you to things you never thought you chased.
[10360.51s -> 10361.47s]  Along us.
[10361.47s -> 10368.42s]  Thought we agreed I would be the one who you confided in.
[10368.42s -> 10369.54s]  The rain will pause.
[10369.54s -> 10370.50s]  I just ignore you.
[10370.50s -> 10371.00s]  Huh?
[10371.62s -> 10373.06s]  I just ignore Thomas.
[10373.06s -> 10374.34s]  I mean, I didn't even look at you.
[10376.78s -> 10378.78s]  The rain will pause in the morning.
[10378.78s -> 10379.90s]  Do not worry much,
[10379.90s -> 10381.10s]  for you will love yourself.
[10381.82s -> 10383.58s]  Lonelier though it may make you.
[10385.50s -> 10387.74s]  By the way, there was a queen in my dream last night.
[10388.70s -> 10391.07s]  In case that's important.
[10393.15s -> 10394.59s]  She halts momentarily.
[10394.59s -> 10399.63s]  The stillness of a startled bird.
[10399.63s -> 10402.59s]  Some dreams are only flights of fancy.
[10402.59s -> 10405.71s]  No, but like there was also a king and a castle
[10405.71s -> 10409.31s]  and there was these giant motorized vehicles with tires.
[10411.33s -> 10412.53s]  The night elapses.
[10412.53s -> 10416.74s]  The rain sounds like a river of dragonflies flowing by.
[10416.74s -> 10418.74s]  Snoring thunder is occasional and soft.
[10418.74s -> 10421.28s]  Growing ever more distant.
[10421.28s -> 10422.24s]  Along us.
[10422.24s -> 10423.12s]  And Thomas.
[10423.12s -> 10424.80s]  Sleep at some point.
[10424.80s -> 10425.68s]  Taking turns.
[10425.68s -> 10427.12s]  Am I just stuck out in the rain?
[10427.60s -> 10429.12s]  Yeah.
[10429.12s -> 10429.92s]  I think you're in the rain.
[10429.92s -> 10430.24s]  This is my life.
[10430.24s -> 10432.16s]  I'm such a disgusting loner.
[10432.16s -> 10435.62s]  The woman walks out into the pale predawn.
[10435.62s -> 10437.78s]  Without a sound or a pain.
[10437.78s -> 10443.65s]  Or any observed moment of metamorphosis.
[10443.65s -> 10445.66s]  Along us wakes up.
[10445.66s -> 10446.14s]  Boing.
[10446.14s -> 10449.02s]  You have crow wings on your back?
[10449.02s -> 10451.39s]  What's happening to you?
[10451.39s -> 10454.19s]  They'll continue on to word hero index.
[10455.95s -> 10457.39s]  Is that the name of a town?
[10457.39s -> 10458.51s]  It's a random town.
[10458.51s -> 10459.87s]  Yeah, they just randomly name them.
[10459.87s -> 10461.47s]  Word hero index.
[10462.11s -> 10463.71s]  Hey Thomas, there you are.
[10463.71s -> 10464.83s]  Along us with you.
[10464.83s -> 10465.79s]  Couldn't find you in the rain.
[10465.79s -> 10466.27s]  That's a camp.
[10466.27s -> 10468.53s]  What the fuck is out on your back?
[10468.53s -> 10471.55s]  I'm a bird dog.
[10471.55s -> 10472.05s]  Fight.
[10473.66s -> 10475.18s]  Time to dry out these wings.
[10475.18s -> 10477.02s]  So now you have wings.
[10477.02s -> 10481.66s]  Your character is so much cooler than all everything.
[10481.66s -> 10484.22s]  Thomas is just normal guy in a robe.
[10484.22s -> 10484.62s]  Yeah.
[10484.62s -> 10486.70s]  I'm like, I've got like a stone face.
[10486.70s -> 10488.70s]  And along us is like a winged wolf.
[10488.70s -> 10492.26s]  Can I get like laser eyes or something eventually here?
[10492.26s -> 10494.02s]  I don't think it does anything.
[10494.02s -> 10495.22s]  All right.
[10495.22s -> 10497.06s]  So maybe maybe increases your movement or something.
[10497.06s -> 10497.70s]  I don't know.
[10497.70s -> 10499.44s]  So what are we?
[10499.44s -> 10501.44s]  We've been attacked or something?
[10501.44s -> 10502.64s]  I kicked the door open.
[10502.64s -> 10503.20s]  Oh god.
[10503.20s -> 10504.08s]  Oh, okay.
[10504.08s -> 10510.43s]  I just walked back and forth like an idiot.
[10515.01s -> 10517.09s]  Does your sentinel trigger if they walk up to you?
[10517.09s -> 10518.37s]  Or they have to walk by?
[10518.37s -> 10520.69s]  If they move within two spaces, I'll run.
[10520.69s -> 10523.01s]  So if they move, I'll run into the building.
[10523.01s -> 10526.67s]  So if you want like a defense bonus to be next to Thomas.
[10526.67s -> 10529.20s]  All that.
[10534.11s -> 10534.61s]  Dogged.
[10536.75s -> 10537.25s]  Alarm.
[10537.79s -> 10541.49s]  Damn, you guys really just do.
[10541.49s -> 10542.45s]  You guys just crush.
[10543.01s -> 10547.33s]  Stormthroat bird?
[10548.13s -> 10549.49s]  What the fuck did you do to me?
[10553.50s -> 10555.50s]  One shred damage at the start of every turn.
[10556.22s -> 10560.77s]  Oh, wait, I can shoo the bird away.
[10560.77s -> 10561.33s]  My turn.
[10561.33s -> 10561.81s]  There we go.
[10562.85s -> 10564.29s]  I just smashed that.
[10565.09s -> 10566.29s]  There could have been a device in there.
[10566.29s -> 10567.97s]  There could have been like a weapon button.
[10573.58s -> 10574.46s]  I can't really get in there.
[10575.10s -> 10576.80s]  I can move.
[10576.80s -> 10579.71s]  Let's go up here.
[10580.35s -> 10581.97s]  Well, I think I need.
[10581.97s -> 10583.09s]  I guess I could take the axe out.
[10583.57s -> 10589.15s]  They're leaving you in the yard.
[10589.15s -> 10589.63s]  An alarm.
[10589.63s -> 10591.57s]  So I think something's gonna come.
[10591.57s -> 10592.21s]  They're not leaving.
[10592.21s -> 10594.45s]  Guys, I am like the casters support.
[10594.45s -> 10596.29s]  I am not supposed to be up there fighting.
[10596.29s -> 10600.77s]  I'm supposed to be back throwing fireballs at walls and collecting stones and stuff.
[10605.22s -> 10605.70s]  Oh, shit.
[10609.44s -> 10616.72s]  I will block his route to you.
[10616.72s -> 10618.64s]  Oh, that's so you don't want to be next to the bench.
[10621.90s -> 10622.94s]  You fool.
[10622.94s -> 10624.22s]  You what have you done?
[10626.67s -> 10636.53s]  Actually, I'm going in.
[10636.53s -> 10637.33s]  Oh, my God.
[10637.33s -> 10638.05s]  There's more than one.
[10638.05s -> 10638.29s]  All right.
[10638.29s -> 10640.93s]  I have to get in here because I can't target anything.
[10640.93s -> 10645.09s]  Hey, there's nothing in this room, guys.
[10645.73s -> 10647.09s]  You're just alone in there.
[10647.25s -> 10651.33s]  But plus 35 to Lona, I remember.
[10651.33s -> 10655.10s]  Oh, you guys go.
[10655.10s -> 10655.98s]  You guys got the easy.
[10656.54s -> 10657.66s]  Oh, good.
[10657.66s -> 10660.14s]  You talk about how much damage we do and then you just do the same damage.
[10661.02s -> 10663.90s]  Yeah, but I need a network to attack people.
[10664.62s -> 10665.18s]  Yeah, that's true.
[10665.18s -> 10666.62s]  You got like a big spider web going.
[10667.52s -> 10667.76s]  Yeah.
[10667.76s -> 10669.84s]  Well, my character is actually bottom tier.
[10669.84s -> 10671.36s]  You shaker of traction.
[10671.36s -> 10674.88s]  It's a new one that also contains a melee strike.
[10674.88s -> 10680.08s]  If they get too close, you can probably replace the axe with a melee one.
[10681.57s -> 10684.69s]  Yeah, I wonder because that's just spell.
[10684.69s -> 10686.21s]  Is it more spell damage than the wand?
[10686.21s -> 10688.53s]  Yeah, it gives you plus two spells.
[10688.53s -> 10691.25s]  I wonder if the spell damage like applies even if you're not using it.
[10691.25s -> 10691.73s]  I wonder.
[10692.29s -> 10692.85s]  We'll find out.
[10698.18s -> 10699.14s]  What's that over there?
[10708.37s -> 10709.73s]  Are you OK?
[10722.27s -> 10723.87s]  Swooping in like vultures.
[10723.87s -> 10724.83s]  They killed everyone.
[10724.83s -> 10726.11s]  My friends, my family.
[10729.28s -> 10732.32s]  I don't know why these aren't like voice dialogues.
[10732.32s -> 10735.28s]  He's I don't know why I was there.
[10735.28s -> 10737.04s]  And I've lost track of time.
[10737.04s -> 10739.12s]  Perhaps they meant to keep me as a meal.
[10741.52s -> 10743.68s]  I have no family to go back to.
[10743.68s -> 10744.56s]  I have nothing.
[10747.06s -> 10749.46s]  Don't force me back to that empty village.
[10749.46s -> 10750.82s]  Take me with you instead.
[10750.82s -> 10752.98s]  Let me seek your vengeance by your side.
[10755.79s -> 10758.85s]  OK, so we can either bring him with us
[10758.85s -> 10760.13s]  and cost two legacy points
[10760.13s -> 10761.89s]  and then we have a fourth character forever
[10761.89s -> 10763.17s]  that someone has to control.
[10763.17s -> 10766.69s]  I refuse or we can just turn him down
[10766.69s -> 10768.21s]  and leave him in the ruins of his village.
[10770.26s -> 10770.66s]  All right.
[10770.66s -> 10772.98s]  I mean, I guess it's been decided.
[10772.98s -> 10775.14s]  Revengeance will only eat away at you
[10775.86s -> 10777.94s]  and it's not a good reason to leave your home.
[10779.87s -> 10780.75s]  Maybe you're right.
[10782.43s -> 10783.71s]  Gave up so fast.
[10783.71s -> 10784.67s]  The end.
[10784.67s -> 10786.11s]  What a loser.
[10786.11s -> 10788.03s]  He's not cut out for this life.
[10788.03s -> 10788.59s]  He's not.
[10789.47s -> 10789.71s]  All right.
[10789.71s -> 10790.51s]  Should we find an item?
[10791.07s -> 10792.43s]  Wait, we don't have much time there, right?
[10792.43s -> 10792.91s]  Should we just?
[10792.91s -> 10793.63s]  We we're out.
[10793.63s -> 10795.71s]  Yeah, we have only like 295 days
[10795.71s -> 10798.03s]  before the world collapses or whatever happens.
[10798.91s -> 10800.83s]  We're just going to rush from town to town.
[10800.83s -> 10802.83s]  I have a wild suggestion.
[10802.83s -> 10806.66s]  OK, what if we just go to like the nicest town
[10806.66s -> 10811.47s]  and just hang out for 300 days to hang out with you anymore?
[10811.47s -> 10812.43s]  You're a crow wolf.
[10814.02s -> 10816.70s]  Everyone's afraid of you.
[10816.70s -> 10818.54s]  OK, I've got one.
[10819.98s -> 10821.50s]  What's your favorite fruit?
[10821.50s -> 10826.24s]  Never have a cliff cherry.
[10826.24s -> 10829.60s]  They're rare, but worth splurging on at least once in your life.
[10830.16s -> 10831.44s]  What's happening to Thomas's voice?
[10831.44s -> 10834.16s]  He's he didn't age like 20 years or something.
[10834.16s -> 10835.90s]  Oh, you did age 10 years.
[10835.90s -> 10838.62s]  Yeah, I mean, a little bit gray in your hair.
[10838.62s -> 10839.50s]  That's a little older.
[10839.50s -> 10839.74s]  Yeah.
[10839.74s -> 10839.98s]  All right.
[10839.98s -> 10840.38s]  Hold on.
[10840.94s -> 10841.50s]  I'll fix it.
[10843.39s -> 10844.67s]  Careful there.
[10844.67s -> 10848.34s]  Your fancy taste is showing.
[10848.34s -> 10849.70s]  Next up, a difficult one.
[10851.94s -> 10853.86s]  Favorite thing to fight.
[10853.86s -> 10856.90s]  What?
[10856.90s -> 10859.46s]  That's like asking my favorite rash.
[10862.85s -> 10863.97s]  Least favorite, then.
[10869.81s -> 10872.05s]  Is that because they're over the next hill?
[10872.05s -> 10878.11s]  It's the ick factor and even worse than frixel.
[10878.11s -> 10883.38s]  They don't taste bread and they're like walking diseases.
[10883.38s -> 10888.30s]  And here I am making a career.
[10889.18s -> 10893.18s]  I feel like you should start adding some crows to your.
[10893.18s -> 10896.78s]  You are really trying to get this callback for this role, by the way.
[10896.78s -> 10897.28s]  Yeah.
[10898.54s -> 10900.54s]  I wonder if the casting director is going to call you back.
[10900.54s -> 10907.50s]  This guy wants to be a dog so bad.
[10912.83s -> 10915.63s]  Sometimes I wonder if it's not too late to start over somewhere.
[10915.63s -> 10916.99s]  I wouldn't know realistically.
[10919.55s -> 10921.23s]  Why are we talking about our favorite foods?
[10922.46s -> 10924.22s]  Well, we appreciate that.
[10924.22s -> 10924.86s]  I turned it.
[10924.86s -> 10928.30s]  What's your favorite food into like my life doesn't mean anything anymore.
[10930.30s -> 10931.26s]  Maybe I can start over.
[10931.26s -> 10932.22s]  Maybe it's not too late.
[10933.42s -> 10934.46s]  Oh, Cliffberries.
[10935.34s -> 10936.86s]  I'm half wolf quarter bird.
[10937.98s -> 10938.94s]  What about you?
[10938.94s -> 10940.86s]  What keeps you on this mortal plane?
[10941.58s -> 10943.10s]  I can't last another day.
[10943.66s -> 10946.58s]  The opportunity to make history.
[10946.58s -> 10948.26s]  Honestly, the gear.
[10948.26s -> 10949.38s]  You mean other than you.
[10955.36s -> 10956.40s]  The face is too good.
[10956.40s -> 10958.56s]  I'm like rejecting you.
[10959.44s -> 10960.24s]  We're married.
[10960.24s -> 10961.04s]  And you're cringing.
[10961.04s -> 10962.08s]  You're visibly cringing.
[10962.08s -> 10964.08s]  Why are you cringing?
[10964.08s -> 10965.52s]  Yeah, he's doing like a wolf cringe.
[10966.32s -> 10968.00s]  You should not be cringing to this.
[10970.11s -> 10971.87s]  So many things, really.
[10971.95s -> 10973.95s]  That laughy form.
[10973.95s -> 10975.31s]  That dazzling smile.
[10975.31s -> 10977.31s]  The way you whisper my name before a fight.
[10979.23s -> 10980.75s]  Okay, I got to do that from now on.
[10980.75s -> 10983.14s]  That's not an answer.
[10983.14s -> 10984.90s]  That's random flattery.
[10984.90s -> 10989.22s]  He's just power game dude to whispering his name before a fight.
[10989.22s -> 10994.26s]  Plus, what kind of man would I be if I left you to get picked up by some beefy Gorgon?
[10994.26s -> 10998.96s]  I just said Gorgons are my least favorite enemy.
[11000.90s -> 11001.46s]  True.
[11001.46s -> 11002.18s]  Come hither.
[11002.18s -> 11003.62s]  Away from those tentacles.
[11004.48s -> 11005.52s]  And I'm toast.
[11005.52s -> 11007.65s]  Oh, wait, you're a hentai guy?
[11009.81s -> 11013.17s]  Thomas and Longus gain temporary damage and potency.
[11013.17s -> 11015.33s]  Dude, I'm going to be so low in the night.
[11017.41s -> 11019.65s]  Oh, Thomas.
[11019.65s -> 11026.64s]  Oh, get the squirrel.
[11026.64s -> 11027.28s]  Wait, are we?
[11027.28s -> 11027.76s]  Get the squirrel.
[11027.76s -> 11028.24s]  Check it out.
[11028.24s -> 11028.88s]  Get the squirrel.
[11029.52s -> 11029.84s]  Squirrel.
[11035.92s -> 11036.64s]  Where's the squirrel?
[11036.64s -> 11037.20s]  Get the squirrel.
[11037.20s -> 11038.00s]  We're ready to go.
[11038.00s -> 11038.88s]  Get the squirrel.
[11038.88s -> 11039.36s]  I need to...
[11041.38s -> 11044.50s]  Do you want a water crossbow or a water dueling sword?
[11044.50s -> 11047.70s]  Can we give you like water legs or something?
[11047.70s -> 11048.74s]  Can you transform again?
[11048.98s -> 11060.26s]  I feel like Thomas's side quest is going to be so mundane.
[11060.26s -> 11061.86s]  He's going to be like, hey, do you guys want to play Uno?
[11062.50s -> 11063.86s]  And then we just play Uno.
[11063.86s -> 11068.10s]  Well, yeah, wasn't your original side quest that you had, wasn't it?
[11068.10s -> 11070.27s]  Oh, let's play Dice for five minutes.
[11070.27s -> 11071.63s]  Yeah, yeah, it was.
[11072.19s -> 11077.70s]  Okay, you got Spineful, the water crossbow.
[11078.34s -> 11081.38s]  I renamed it to Doomsday of Doombow.
[11082.10s -> 11086.74s]  Interesting.
[11086.74s -> 11087.46s]  All right, using.
[11088.26s -> 11091.73s]  I'm about to die, by the way.
[11092.45s -> 11092.77s]  All right.
[11113.70s -> 11114.90s]  We're in the middle of a battle.
[11114.90s -> 11115.62s]  You need to focus.
[11120.45s -> 11121.41s]  Oh, my one eye.
[11123.01s -> 11123.89s]  Sorry, I got the bucket.
[11124.45s -> 11125.57s]  All right, I'm going to...
[11125.57s -> 11127.66s]  Oh, I can do Shackle.
[11132.90s -> 11133.22s]  Sick.
[11142.59s -> 11145.71s]  All right, I just heard these crow sounds.
[11145.71s -> 11147.87s]  I thought that was your character.
[11147.87s -> 11152.03s]  Oh, wait, if anything attacks Thomas, you get plus four damage.
[11152.03s -> 11152.43s]  Yeah.
[11152.43s -> 11152.83s]  Really?
[11153.55s -> 11155.23s]  Yeah, we've been over this.
[11155.55s -> 11156.43s]  Love is vengeance.
[11165.25s -> 11168.29s]  I think we're just rolling balls of infinite damage.
[11170.53s -> 11171.81s]  We're pretty strong, actually.
[11172.45s -> 11173.92s]  That's what I'm saying.
[11173.92s -> 11175.44s]  Like, let's just wait 300 days.
[11176.16s -> 11177.28s]  No, that would be...
[11177.28s -> 11177.76s]  Oh, oh.
[11178.56s -> 11182.67s]  I got him.
[11182.67s -> 11183.55s]  You got him?
[11183.55s -> 11189.70s]  Oh, my.
[11189.70s -> 11190.98s]  You killed him in one hit.
[11190.98s -> 11191.22s]  Nice.
[11191.78s -> 11193.22s]  I do have a really big habit.
[11193.78s -> 11197.44s]  Take this.
[11198.08s -> 11199.52s]  Time for the melee wand.
[11201.12s -> 11205.65s]  There we go.
[11205.65s -> 11213.07s]  Can I do this through walls?
[11213.07s -> 11213.95s]  Probably not.
[11213.95s -> 11215.23s]  That was a really stupid question.
[11217.94s -> 11219.62s]  No, you're not stupid.
[11219.62s -> 11220.26s]  Stupid, honey.
[11221.06s -> 11221.38s]  Thanks.
[11221.38s -> 11221.94s]  I appreciate it.
[11222.66s -> 11236.67s]  Dude, Thomas is falling behind.
[11238.53s -> 11238.93s]  I'm all right.
[11239.97s -> 11240.93s]  Another crit chance.
[11241.65s -> 11243.10s]  We all have a slot, right?
[11244.80s -> 11246.72s]  Yeah, it's going to take you past 20.
[11246.72s -> 11247.52s]  That's pretty good.
[11247.52s -> 11248.00s]  I'll take it.
[11248.72s -> 11252.35s]  It's not color, is it?
[11253.07s -> 11256.00s]  Because we know who that would have been for.
[11257.57s -> 11258.61s]  Do you remember...
[11258.61s -> 11259.89s]  Do people still do this in WoW?
[11260.61s -> 11262.85s]  I haven't really played it too intently or deeply,
[11262.85s -> 11264.29s]  but I remember back in the day,
[11265.65s -> 11268.37s]  everyone always agreed that you don't need...
[11268.53s -> 11270.37s]  You need, you know, greed, right?
[11270.37s -> 11271.09s]  If you don't need it,
[11271.09s -> 11272.53s]  you just greed it or you pass on it, right?
[11273.76s -> 11275.04s]  Is this those people in the five mans
[11275.04s -> 11277.28s]  that just need every single item?
[11277.28s -> 11278.00s]  This is...
[11278.00s -> 11279.28s]  You got a custom quest?
[11279.28s -> 11280.40s]  Yeah, this is what it is.
[11281.60s -> 11286.94s]  Thomas and Inon are called to a hill village
[11286.94s -> 11289.74s]  where an acquaintance of theirs has lost her wife.
[11291.15s -> 11293.55s]  After this rain comes, the farms will prosper again.
[11294.11s -> 11300.03s]  Not if there's no farmers left.
[11300.03s -> 11302.66s]  It's been a dry fall.
[11302.66s -> 11303.86s]  That's all I mean.
[11303.86s -> 11307.81s]  The funerary rites are brief.
[11307.81s -> 11309.57s]  The crowd that's gathered is impressive.
[11310.13s -> 11311.09s]  Such a small town.
[11313.31s -> 11314.91s]  As mourners disperse,
[11314.91s -> 11317.23s]  Thomas and Inon spot Baladchi
[11317.23s -> 11319.07s]  standing by a flower-strung cart
[11319.07s -> 11320.43s]  bearing a leaf-shrouded body.
[11321.23s -> 11325.36s]  Baladchi.
[11325.36s -> 11327.84s]  We're sorry to hear about Arthel.
[11327.84s -> 11329.36s]  Who are these people?
[11329.36s -> 11330.40s]  A lot of folks came.
[11336.42s -> 11337.38s]  Do we not...
[11337.38s -> 11339.14s]  Wait, have we been here before?
[11339.14s -> 11341.22s]  How many years has it been?
[11341.22s -> 11342.50s]  No, we haven't.
[11342.50s -> 11345.14s]  I think we walked through this place during the...
[11345.14s -> 11346.82s]  Up the road to her home on the hill.
[11346.82s -> 11351.25s]  Oh gee, you lose perspective sometimes.
[11351.25s -> 11353.25s]  Easy enough to do, sadly.
[11353.25s -> 11355.33s]  You think you all have years together.
[11355.33s -> 11356.29s]  Decades.
[11356.29s -> 11359.06s]  From your first hike to your middle years.
[11359.06s -> 11360.56s]  Old age.
[11360.56s -> 11361.81s]  Then.
[11361.81s -> 11364.35s]  And but...
[11364.35s -> 11365.84s]  Mickey Mouse?
[11365.84s -> 11366.00s]  Yeah.
[11366.00s -> 11369.28s]  To help Baladchi transfer the shrouded body
[11369.28s -> 11371.12s]  to a small prepared clay room
[11371.12s -> 11372.48s]  besides the house.
[11372.48s -> 11375.36s]  They settle inside
[11375.36s -> 11377.12s]  and she tells them of her plan.
[11377.12s -> 11379.76s]  One of the provincial customs she's observing.
[11379.76s -> 11383.34s]  Oh gee, Green Valley is called
[11383.34s -> 11385.34s]  a woven shrouded dawnshard.
[11385.42s -> 11388.24s]  Dawnshard grows thick around here.
[11388.24s -> 11390.08s]  In little woodlands you'll see
[11390.08s -> 11391.60s]  there's a strong aroma.
[11391.60s -> 11393.12s]  The body stays fresh
[11393.12s -> 11395.60s]  sometimes as long as four years or five.
[11395.60s -> 11399.84s]  By the way, you are just doing the other voice
[11400.48s -> 11402.32s]  but without the wolf on it.
[11404.35s -> 11406.03s]  Oh yeah, I'm just having a little bit of...
[11406.83s -> 11408.83s]  Just doing this one hair.
[11408.83s -> 11413.36s]  Keep hiking, man.
[11413.36s -> 11414.00s]  Keep it up.
[11414.00s -> 11420.29s]  We help folks genuinely build a wide shroud
[11420.29s -> 11433.44s]  as it means she'd be buried.
[11433.44s -> 11435.68s]  There's something very silencing in that.
[11435.68s -> 11440.02s]  I think it's a good tradition.
[11440.02s -> 11442.18s]  But I don't plan on waiting.
[11442.18s -> 11444.82s]  You don't?
[11444.82s -> 11446.50s]  Plan's a wait.
[11446.50s -> 11448.18s]  So you plan to bury her soon?
[11448.18s -> 11450.62s]  Tonight even?
[11450.62s -> 11451.68s]  No.
[11451.68s -> 11453.04s]  My wife, I already settled
[11453.04s -> 11454.80s]  and I will be going on a journey.
[11454.80s -> 11458.59s]  Hope you'd come along.
[11458.59s -> 11459.23s]  Brack.
[11459.23s -> 11467.90s]  Hard, sudden rain falls.
