[20.73s -> 32.18s]  Hello, and welcome to the easy bake oven stream. I don't can you hear me? Can you guys hear me?
[6367.10s -> 6369.30s]  I'm gonna have to put them all in the same bowl. I
[6371.73s -> 6376.84s]  I'll click it. I'll click it. Give me I'll fix the volume too. Just give me one sec
[6377.00s -> 6384.99s]  You know, it's like kind of remarkable I've not gotten a single damn thing
[6385.93s -> 6394.99s]  Anywhere anywhere, but right here. That's that's remarkable. Okay frosting time after I click on the link
[6394.99s -> 6397.87s]  I'll take a break
[6397.87s -> 6421.22s]  Hold on a second. Like this is through the cookies. Hi, where's the link? You got a link for me?
[6421.30s -> 6455.19s]  Whoa, I can't you doing it too fast. You're doing it way too fast. I can't even click it. Holy shit
[6455.23s -> 6463.98s]  Oh my god, that looks horrible. No, it looks like I got like an a hockey fight. Oh
[6465.61s -> 6476.10s]  How many more of these are there? That's that's the wrong one. What do you mean wrong one?
[6476.10s -> 6510.69s]  I can't spray the cupcakes that doesn't that's not on my book. That's not on my book. Read that. That's not a cupcake pan
[6510.69s -> 6532.62s]  Oh, I'd special pan place the six flat cakes on the sprayed baking pan. I got scammed. Whatever. Whatever. Whatever
[6532.62s -> 6537.92s]  That's fine. Any more pictures you want me to look at before I go fucking ruin my reputation as an adult human being
[6538.14s -> 6561.36s]  Yeah, I saw that one. I'm back to it. You bought home on you're going too fast
[6561.60s -> 6567.23s]  You bought the easy bake up instead of the easy cupcake oven. That's a lie easy fake oven. Whatever
[6567.25s -> 6590.70s]  So I got I got sorry. It's a so it's fucked up. Who cares? All right, I'm going back over there any scraps for me
[6590.88s -> 6617.99s]  Could you see me? Could you see my face? Yeah. Okay. Hey wish I had the cupcake pan. Don't you?
[6622.10s -> 6629.14s]  That was disgusting just leave just go go trust me just go yeah, that's that's the end this
[6629.74s -> 6641.22s]  See you later. That was back there. You're free to go. You are I need my instructions. No, I don't even need my instructions
[6641.22s -> 6647.24s]  It's water that I don't have any water
[6715.25s -> 6722.21s]  Yeah, cuz I just pretended to blow a snot into the food like I would have left I would have been like, okay
[6722.21s -> 6728.68s]  This who else does somebody else has to be fucking streaming. I have to do this whole thing in here
[6728.68s -> 6731.64s]  I don't know about that. This is a lot
[6755.72s -> 6766.96s]  What's next? Oh, I'm supposed to cook this sure. Okay, so just put it in
[6770.10s -> 6781.53s]  There's only one but whatever what am I gonna do about it? How long well fucking minutes in no way
[6781.85s -> 6796.69s]  It's definitely not 12 minutes not for one. I know. All right, let's make the fraud
[6796.69s -> 6807.80s]  This is gonna be the delicious part. I am excited for this one. Oh, yeah
[6809.01s -> 6819.41s]  Mm-hmm. Yep. Mm-hmm. Oh, yeah smell that smell that one. That's just like a vanilla powder
[6819.73s -> 6831.08s]  Okay, do I don't I don't need to make that much frosting for one little cake. This is too much frosting
[6831.48s -> 6837.69s]  This is gonna be the most savory I can't wait look just say words that have to do with food
[6837.69s -> 6840.93s]  And people will think you know what you're talking about. All right, that's one's done
[6845.34s -> 6848.61s]  That's food. We need some water
[6849.17s -> 6867.28s]  How much water one and a half teaspoons? I think that's it right and then mix it up
[6867.28s -> 6888.84s]  I get I gotta move the vomit ball out of the way. Okay, here we go. So I'm not gonna add any more water
[6888.84s -> 6896.14s]  I'm not gonna be a psycho about this. It's not really as you can see it's mix it faster
[6896.46s -> 6901.25s]  No, that's not how you don't mix it faster is not better. So low it's slow and slow
[6902.60s -> 6912.59s]  Time on that one time on this one. What was it? Why when did I put it in nine minutes left? Okay
[6912.59s -> 6944.17s]  I don't want to make a fucking mess faster faster. What the fuck? This is frosting
[6944.77s -> 6947.70s]  vanilla frosting
[6947.70s -> 6959.09s]  This doesn't look like frosting
[6959.17s -> 6971.16s]  Did I do too much fucking water again? I did a teaspoon. I did it this time. It had one and a half. You saw me
[6971.68s -> 6974.58s]  No, no, no, no, no. No, this is this is reducing
[6975.16s -> 6980.22s]  Hey, this is this is reducing. There's another one of those cooking words that they say on Food Network
[6980.78s -> 7004.72s]  Yeah, okay. This is no look at it. Yeah, it's thickening up time on that. You're going too fast
[7005.32s -> 7016.02s]  You know, I need to I'm fucking knock this out of the way. Should I give it a taste?
[7016.28s -> 7018.60s]  What is it? What is it? What's it? What's it supposed to taste like?
[7019.84s -> 7023.66s]  Frosting. Yeah, this is looking like a glaze
[7024.26s -> 7030.77s]  Yeah, it looks alright. It's supposed to
[7032.05s -> 7033.49s]  Span that person
[7033.49s -> 7037.91s]  Ban that person, you know who you are and you know what you said ban them
[7037.91s -> 7042.85s]  I don't want to see their face ever again. I don't want to ever even I don't want to even hear them in this chat
[7043.17s -> 7048.06s]  You know what you said and you know who you are. Now you fucking being like holy shitty and talking about me
[7048.22s -> 7067.96s]  Yeah, ban them for at least a week. Maybe you'll learn your lesson. What do we got for time on that eight more minutes?
[7067.96s -> 7081.27s]  No, it's not. It's like four. All right. This is ready. This is nice and mixed. It's got a nice honey glaze
[7081.91s -> 7084.33s]  Consistency, it's nice gonna be a nice drizzle on our cake
[7084.95s -> 7105.37s]  What else do I have here? Oh look at this shit, but I don't like have I need to like or
[7105.75s -> 7111.57s]  Wait, what about the pretzels? Should I make the pretzels? I can make a pretty so I'm gonna make a huge pretzel
[7111.83s -> 7120.59s]  Yep. No who wants to eat these? Yeah, I'm gonna make a big pretzel. It's that one right there
[7123.02s -> 7142.67s]  Okay, I have this bowl. I have one two three three clean bowls time on that. Please. There's a time. No, what do you mean?
[7142.83s -> 7155.82s]  Hold on. Are we ready to reveal it? It's six minutes back to mixing
[7156.32s -> 7170.28s]  This is gonna be gross and a lot of people are gonna be grossed out by this
[7170.28s -> 7180.12s]  I guarantee you I have diarrhea in like three hours. I guarantee you think that's just a hot 100%
[7180.40s -> 7201.16s]  Time on that up. This thing freaks me out man. This thing freaks me the fuck out. Is this glue? No, it's
[7204.91s -> 7212.05s]  It's too thin. It's a no, maybe it's not maybe it's supposed to be like a
[7212.53s -> 7224.99s]  Like a nice little drizzle or something add more powder fine
[7225.17s -> 7247.82s]  I'll add a little bit more powder fine. That's enough put it down. Actually not a bad idea
[7247.82s -> 7261.02s]  That's it's starting to really thicken up a little bit here. You want to talk about peak inefficiency, by the way an entire
[7262.54s -> 7272.26s]  Two-two full packets of chocolate powder just 80% of it gone and there's one little dollop in there
[7272.28s -> 7282.94s]  Just absolute inefficiency. There's not you can't get more inefficient than what just happened
[7283.10s -> 7288.59s]  Although hold on a minute. I did put a big spoonful of my mouth from the beginning
[7288.59s -> 7290.11s]  So that was it that was one cake
[7290.11s -> 7296.84s]  I did one full cake in my mouth in the beginning and then I did like at least two cakes full licking it off of
[7296.84s -> 7304.50s]  My hands, right? So it wasn't a total waste maybe half of it 50% in efficiency. So I got an F still enough
[7304.50s -> 7316.55s]  All right. Yeah, that's definitely what it's supposed to be like. Oh, yeah. Oh, yeah
[7316.55s -> 7327.27s]  Oh, yeah, there we go. Maybe even a little bit more take it out. Take it out. Take it out
[7327.35s -> 7331.22s]  How long has it been isn't it too long? All right, I'm gonna get it
[7331.22s -> 7337.34s]  I'm gonna get it out. How long has been take it out take it out. Oh shit. Hold on
[7337.34s -> 7344.86s]  I'm almost I gotta get a little thing. So it's too hot for me. It's burning. It's not fucking burning
[7344.86s -> 7362.65s]  Quit freaking me out. You guys are fucking with me. Is it out? Oh, dude
[7363.09s -> 7381.53s]  It actually looks pretty good. It actually looks kind of good. Take a look at this like I saw the bot
[7381.69s -> 7398.92s]  Okay, here it comes. Why is it such a pain in the ass to get out? Okay, hold on
[7398.92s -> 7400.92s]  I gotta get it out of there now
[7408.26s -> 7430.84s]  Get out of there get up give it to me. Oh my fucking
[7431.88s -> 7433.32s]  God
[7433.32s -> 7456.47s]  Yet it won't oh, okay. Here comes a big reveal. Take a look at that. Ah
[7460.38s -> 7484.64s]  Yep, it is puffy. It is crispy and it's ready for the frosting. It smells good. It is a little crispy
[7484.64s -> 7536.28s]  Yeah, that's alright though. You know when you
[7536.80s -> 7540.80s]  Take out your trash you take your trash out of the trash can the bag and
[7541.86s -> 7548.62s]  It's just like one item. That's always just at the very bottom of the trash can and you just look in
[7548.62s -> 7551.78s]  You know, you see it there all the time, you know, it's in there, but you don't ever fucking grab it
[7551.78s -> 7567.22s]  You don't take it out. This is the item that's just at the bottom of the trash can it's hard as a rock
[7567.70s -> 7575.27s]  You ready to hear this? It's gonna be like hard candy. Why what happened? I did I told you it was in there for too long
[7578.18s -> 7596.34s]  A yummy whoopie pie. Holy shit. This is good. This is good way better than the pizza
[7596.34s -> 7610.32s]  Oh, dude, don't go rules dude. Don't go rules, dude. Are you kidding me? It's don't go rules
[7610.32s -> 7616.30s]  It's exactly like don't go rules. I wish I made a hundred of these you get
[7616.30s -> 7621.46s]  Yeah, fuck this you buy you get one of these don't do this make a bunch of this shit
[7621.46s -> 7625.50s]  Make the frosting don't even put the frosting on don't make the whoopie pie make don't go rules break up into little crunchy pieces
[7625.58s -> 7635.89s]  Holy shit, that's perfect. Well, I wish I had more
[7636.69s -> 7639.42s]  Then the joke from the Disney
[7640.42s -> 7647.66s]  Donald's goofy and Mickey Mouse cartoon where they were sharing one single bean and slicing it off like bread
[7647.66s -> 7652.74s]  I don't know Jack and the beanstalk. What is it called? What was that? What was that? What was it called?
[7652.74s -> 7665.50s]  It was a Jack and the Beanstalk. They were slicing one bean like a bread. It was bread. Wait, was it bread?
[7665.50s -> 7671.56s]  Oh, no, they had they were slicing bread like paper thin. What was the bean? No, they did it to a bean too
[7671.76s -> 7682.19s]  Okay, let's make a pretzel. Mmm. I think I'm I got I got clean bowls here
[7682.19s -> 7689.72s]  Let's see what it takes. Let me make sure I get this ready to go. I enjoyed my I enjoyed
[7689.92s -> 7703.83s]  Yeah delicious delicious free sample at the mall now. Let's uh that for what I had though. That was really good
[7703.83s -> 7705.16s]  You know, it's suck
[7705.16s -> 7708.88s]  So bad is that's so good and the free sample of the ball is always so good
[7708.92s -> 7716.22s]  But then when you actually get the food, it's not so good when you take that free sample that they oh here free sample
[7716.22s -> 7718.78s]  And you're like, hmm, holy shit. This is I'm this is best thing I've ever had in my life
[7718.78s -> 7724.37s]  You get the actual entree that that is it's like a 7 out of 10. I hate that shit
[7724.41s -> 7730.31s]  It's so annoying like I just I want to buy the tray like I want to go up to the people that have the trays
[7730.31s -> 7734.56s]  Of the samples and be like can I order can I just buy the tray now from you?
[7734.56s -> 7745.86s]  I'll pay twice for what the actual entree is for that's a that's a psychopath test. All right. Well, then I'm a psycho
[7745.86s -> 7757.82s]  Whatever. This is gonna go. I still got water here, which is good. Probably gonna need it
[7757.82s -> 7767.15s]  I can clean that up. Let's do the pretzel. It's because the sample people don't know how to do it
[7767.15s -> 7775.69s]  What do you mean chug the frosting? No, no, I'll shit my pants
[7775.73s -> 7810.39s]  I really will I feel like I'm about to take like medicine something about it. I can't I can't do it
[7810.39s -> 7816.12s]  I can't do something about it. I can't do that something about it
[7816.12s -> 7823.90s]  So I can't do it something about how that is that I want it
[7823.90s -> 7830.20s]  If you know if you put that in a Dunkaroos container, I'll eat it. It's not a dunker
[7830.20s -> 7840.11s]  It's not in a Dunkaroos container. No, I keep trying. I keep trying to just psych myself out and do it. It's just sugar
[7840.51s -> 7858.07s]  What's the problem? It's fucking fine. It's sugar. No, it's not. Yes. It is. Just fuck up. It's fine. It's not fine
[7858.11s -> 7872.87s]  It's gross actually is kind of gross without the Dunkaroos aspect of it. All right, let's go trash container right here
[7874.46s -> 7878.54s]  We'll move this out of the way for now. I'll have to clean this up later. All right, it's time for pretzel
[7878.78s -> 7884.67s]  It's pretzel. Hopefully pretzels not that hopefully you don't need a bunch of bullshit for the pretzel turn the oven off
[7886.46s -> 7888.10s]  Okay, fine. I
[7888.10s -> 7893.85s]  Am going to try my hardest and we've been here for a couple hours for two three hours
[7894.01s -> 7899.87s]  I'm going to try as hard as I can to make this the way that it looks on the actual package
[7900.07s -> 7904.32s]  Like I'm I have to do one that look that is correct
[7904.64s -> 7909.46s]  Have to if I'm gonna prove anything here. I need to be ready
[7909.46s -> 7918.76s]  I need I want to brush my teeth so bad clean the tray
[7918.76s -> 7923.80s]  I will let me just see what the damage is here. This isn't this is an elaborate one. It's got like holy shit
[7924.60s -> 7928.88s]  This is so he's so many packets in here. Oh
[7930.24s -> 7931.44s]  boy
[7931.44s -> 7936.95s]  Okay, this is just salt. This is egg wash
[7938.92s -> 7940.92s]  nacho cheese sauce
[7942.66s -> 7951.87s]  Pretzel mix two pretzel mixes is there three? Okay. Am I ready for this?
[7952.43s -> 7959.12s]  Let me at least hold on. Let me at least get these other bowls because I'm gonna need one two
[7959.64s -> 7965.23s]  Three four one, two, three. I'm gonna need four bowls. Let me clean this one out and let me wash this tray
[7965.63s -> 7970.56s]  my mother's probably
[7970.56s -> 7972.34s]  Freaking out right now
[7972.34s -> 7979.82s]  You know, you guys like a backseat game, you know both backseat gamers on twitch. My mother is loves to bake
[7980.02s -> 7983.82s]  She's really into it. She is probably backseat gaming right now
[7983.82s -> 7990.84s]  So hard like I I did like I fell off the cliff like four times to my mother right now right now
[7990.84s -> 7992.76s]  She's just like what is he doing with his hands?
[7992.76s -> 7994.32s]  No, what do you what are you dumb?
[7994.32s -> 8001.54s]  Like he's he are you are you pretending to not know how to do this Jeremy? And she's like, oh my I just said that
[8002.06s -> 8020.33s]  All right. Do I need what do I need for pretzel nuggets? No, I'm doing the loop. All right, I can do this one
[8020.33s -> 8023.36s]  Let me clean up the area. Let me clean this out
[8026.30s -> 8033.00s]  Try as hard as I can for this like this is you think that you like me trying to beat like Jevil for the first
[8033.00s -> 8035.88s]  Take the first try. No, I'm gonna get this first try. I'm gonna try as hard as I can
[8036.04s -> 8042.44s]  I'm gonna be fucking silent try harding the whole time. I'm gonna be dead silent
[8042.96s -> 8045.04s]  quiet I
[8045.04s -> 8049.29s]  Said I'm gonna be silent try harding this because I want to be sure I get at the first try
[8049.77s -> 8057.70s]  These are just gonna have to be cleaned later because that shit ain't gonna happen right now
[8071.87s -> 8077.76s]  Speed run speed run easy big oven. That's not gonna work. You're sweating. I know I'm sweating
[8078.44s -> 8085.94s]  Wouldn't you be in this scenario? If you want me think about it
[8086.18s -> 8090.58s]  There's over 11,000 people here watching me not be able to do children's baking toy
[8090.78s -> 8093.10s]  Do you don't think that you would be sweating just a little here?
[8093.46s -> 8111.82s]  There is like a baseball stadium full of people watching me like burn cupcakes. It's good
[8134.72s -> 8138.37s]  It's just sugar Jeremy, don't worry, it's not gonna hurt you
[8139.45s -> 8153.32s]  Ego maniac and then I will return in
[8154.28s -> 8176.09s]  Two minutes I'll be back in one or two minutes to keep going we eat this we eat this shit
[8177.59s -> 8184.76s]  We eat this this we eat this we shouldn't be eating this stuff
[8184.76s -> 8189.22s]  We shouldn't be eating this just to get a juice or a juice kale
[8189.84s -> 8192.20s]  Cucumbers and like pineapples and shit. Don't eat this stuff
[8405.78s -> 8411.38s]  I still taste the marinara sauce
[8416.76s -> 8423.70s]  Even after eating like two other things I can still taste it. It's like embedded into my gums
[8424.14s -> 8431.19s]  Alright, here we go. Time to make the pretzel. I'm gonna make this one count. I'm not gonna fuck around here
[8432.30s -> 8436.42s]  Pretzel time. Let's go. I'm ready. I'm ready to give this a fucking hundred percent
[8437.18s -> 8445.41s]  Alright, let's get this thing cooking. Uh-huh. No, it's try hard time
[8445.57s -> 8450.60s]  This is gonna be the best if this is not one of the best pretzels
[8450.60s -> 8456.60s]  You've ever seen somebody make with an easy bake oven. I will give
[8456.80s -> 8460.96s]  I don't know
[8462.20s -> 8463.12s]  50 subs
[8463.12s -> 8466.03s]  I'll give you 50 community so I'll give 50 community subs
[8466.07s -> 8472.27s]  If this is not like at least like a 5 or 6 out of 10 if this is not a 5 or 6 out of 10
[8472.27s -> 8484.33s]  I will promise. Okay. Here we go. That means I'm gonna do this right one egg wash mix. Let's go
[8484.95s -> 8488.18s]  Let's fucking go. You know what?
[8574.41s -> 8579.86s]  Ah, it's too loud for me
[8656.20s -> 8688.49s]  Don't that's bad. Yeah
[8689.05s -> 8690.49s]  next is
[8690.49s -> 8708.30s]  Pretzel mix looked over there on that screen and I thought that this bowl was a fire
[8708.30s -> 8710.80s]  I looked at the preview and I thought that was a fire
[8711.16s -> 8735.53s]  If this is this one, I don't like this one. Give me another one. This one's fucked up. No too contaminated
[8735.81s -> 8750.69s]  It's like a fucking sandbag. Come on
[8751.29s -> 8790.30s]  This
[8790.58s -> 8820.05s]  Three four
[8821.13s -> 8836.00s]  To a ball
[8836.00s -> 8839.86s]  Okay, what kind of pretzel do you want to make? I don't know how to make a pretzel actually
[8839.86s -> 8930.52s]  I don't know how to make a pretzel now what it's gonna be good. I need a little I'm what I think anymore water
[8930.52s -> 8941.27s]  I don't know. Nope. Nope. Nope. Nope. Nope. Nope. Nope. Nope. Nope. Nope. Nope. Nope. Nope. Nope
[8941.55s -> 8968.06s]  Bingo use a bit more water
[8968.06s -> 8971.50s]  I'm only gonna use water just get it a little wet so I can use my hands with it
[8971.58s -> 8974.20s]  Just like they do with the fucking restaurants
[8974.56s -> 8996.76s]  Here we go, is it blood in this am I bleeding? Oh shit, is it? No, I'm not. All right
[9105.06s -> 9112.43s]  It's a fish. What are you talking? I haven't even spoken
[9113.23s -> 9118.97s]  loud for me
[9118.97s -> 9133.85s]  This sucks
[9133.85s -> 9143.06s]  Get that fucking liquid in there. That's what the problem is
[9143.06s -> 9146.42s]  It's not a fucking liquid in there get it in there work it in there go
[9147.22s -> 9197.04s]  What's a pretzel do? It's very finicky. Hold on. This one's a much better piece. All right. All right. All right
[9197.40s -> 9205.69s]  This is this one's this is the one to use fuck this one sucks. This is the one we're using
[9206.33s -> 9221.32s]  Okay, here we go. How do you how do you do it?
[9221.84s -> 9249.12s]  Dad twist it. I can't
[9249.92s -> 9253.25s]  it's
[9253.25s -> 9255.09s]  That just scared me
[9255.09s -> 9262.59s]  Okay, then it goes
[9262.59s -> 9273.84s]  twisted like this
[9303.52s -> 9322.18s]  He's going crazy. All right, that's good. That's good. That's good. Look at that. What do you think?
[9322.74s -> 9327.89s]  What do you think? You're a psycho
[9328.69s -> 9335.15s]  That's pretty pogchamp. It is
[9335.83s -> 9337.79s]  It actually is
[9337.79s -> 9343.14s]  Like that's very that's good. This is well done. That's at least a five
[9343.92s -> 9346.96s]  That's a fucking five five. That's a goddamn five
[9347.78s -> 9349.67s]  Ain't that a five?
[9349.67s -> 9364.97s]  All right now shut this up. I can't fucking I just did like a monkey. Let's just cook this just because
[9385.54s -> 9390.87s]  This music doesn't it's fucking freaking me out
[9391.79s -> 9413.43s]  Bake is this on is it on? No, you don't solve you salt after salt after you don't solve yet
[9413.43s -> 9420.80s]  you salt after make the glaze make the dough glaze it and then
[9421.48s -> 9424.94s]  Make the cheese
[9424.94s -> 9428.65s]  salt it salt now
[9429.37s -> 9431.10s]  Salt it now
[9431.10s -> 9446.68s]  Should I should I actually solve the directions? Don't say anything about salt. I don't see anything about salt. Oh shit
[9446.68s -> 9448.68s]  Yeah, it does. Okay, I gotta be careful
[9448.84s -> 9469.52s]  That's that's fine. That's not none of that. That's good. That's good. That's good. That's not that's that's perfect
[9469.84s -> 9471.60s]  All right, get it in the oven
[9471.60s -> 9531.22s]  Here we go. It's too big. Come on. Don't do this to me now. All right, get it in there 12 minutes
[9531.74s -> 9539.35s]  The shits on right?
[9601.30s -> 9624.66s]  Death
[9630.05s -> 9636.05s]  The rest of these look real complicated I'm willing to open them and see we've already done this one fuck this thing
[9636.41s -> 9646.10s]  I'm giving I'm giving this thing to my niece. Anyways, she's gonna. Oh wait the cheese sauce. What about the cheese sauce, dude?
[9646.58s -> 9656.01s]  Make the cheese dip. No, I don't want to make that. You know how bad this is gonna smell
[9656.01s -> 9666.77s]  I refuse to make this just the smell alone from opening this would would probably make me gag
[9666.93s -> 9676.65s]  Dermot's the worst uncle but a free easy bake oven with some fucking cool toys and some awesome recipes
[9676.65s -> 9690.67s]  This makes me a bad uncle. What are you smoking? Keep an eye on that. That's bread in there. We're making bread tonight
[9690.67s -> 9700.19s]  All right. Well, I mean it might as well. Yep. That's exactly what I thought it was gonna be
[9700.23s -> 9704.58s]  You know the inside, you know the Kraft macaroni and cheese the cheese packet
[9704.66s -> 9728.48s]  We're gonna be eating this shit in ten years. Anyway, 20 years from now real foods are gonna be
[9729.16s -> 9735.06s]  Hard to come by like digging a powdered food is gonna be the actually what we're eating that in bugs
[9735.72s -> 9748.90s]  Fifty years from now, we're gonna be eating bugs and powdered milk. Okay, just one with two teaspoons water. That's true. Yeah
[9748.90s -> 9763.35s]  I know I'm completely aware time what we got for a time. It must be 12 minutes everything
[9763.35s -> 9771.04s]  Why is everything 12 minutes too, right? That's it. Maybe one little bit
[9771.04s -> 9777.54s]  Yeah, maybe if I didn't have such huge ass balls
[9777.74s -> 9786.24s]  This wouldn't be a problem because all I'm effectively doing is just getting it all over the place
[9786.40s -> 9789.98s]  This is supposed to be a cheese sauce
[9790.18s -> 9810.25s]  Why did I open the why did I open this package? Why did I open the package? Why did I open this package? It stinks
[9810.73s -> 9823.16s]  This is not even a sauce. This is more like a solid than it is a sauce. I just fucked it up
[9823.16s -> 9841.76s]  I just fucking ruined it. Would you eat this? Would you eat this? Would you eat it?
[9841.76s -> 9859.67s]  I mean it kind of is like a dip. It's supposed to be a cheese
[9860.67s -> 9869.58s]  I can't even fucking imagine man going to like a Super Bowl party. Well, what do you got there? Oh, well
[9870.30s -> 9876.30s]  We've got cheese dip. Yeah, we've got a little bit of gravy left from Thanksgiving last year
[9876.58s -> 9880.28s]  we've got a sour dough dough and
[9880.96s -> 9883.98s]  Water like that. This is this is not enough
[9884.56s -> 9891.77s]  What a feast
[9891.77s -> 9896.72s]  Okay, seriously
[9896.76s -> 9901.88s]  This is the type of shit you get mad when your bowl looks like this when it's still when it comes out of the
[9901.88s -> 9905.45s]  Dishwasher like that. It's like fuck man. That's not clean
[9907.75s -> 9916.22s]  Bullshit, that's unbelievable. This is post dishwasher angry not cheese dip
[9917.91s -> 9925.52s]  Speaking of post dishwasher angry. I'm gonna have a lot of fun cleaning this shit up. I don't want to eat this
[9925.72s -> 9939.69s]  What's the time cheese dick? This is oh
[9940.21s -> 9956.59s]  Can you imagine like being in line at lunch it's like nachos is on the menu Wow nachos we never have nachos
[9957.23s -> 9959.59s]  Little lunch ladies. Just like yeah
[9962.11s -> 9988.18s]  Okay, who's next for the cheese that's when you just skip and you just go to the fucking meatball sub add more water
[9989.00s -> 10001.12s]  I need time on that. You thought you thought I was gonna do it. Oh that I didn't even know how it happened
[10001.16s -> 10004.51s]  It's like I was holding a bug in my hand and I looked down and it was gone
[10004.51s -> 10021.13s]  It just freaked me out because I didn't know what the bug was four minutes cool
[10021.77s -> 10027.44s]  This is no, this is probably the Lunchables cheese. I think is probably better than this
[10057.31s -> 10062.71s]  How has it become less is what I don't understand how did it's dip it's
[10063.35s -> 10087.20s]  Disappearing should I should I go for it? No earwax. Oh now I now you know, I can't do it
[10087.20s -> 10102.58s]  I'm taking it out. Why is every single one of these?
[10102.70s -> 10106.74s]  Let me give me give you a rundown of what the last three hours has been the last three hours has been I
[10107.30s -> 10113.40s]  make this gross shit and then sit there over the course of three recipes and
[10114.24s -> 10143.70s]  Try to eat a huge amount of the gross thing. I've done it like four times. You gotta go all in still there
[10153.68s -> 10158.17s]  That was the grossest thing. I think I've done in probably the last five years. I'm not even kidding
[10158.17s -> 10159.97s]  That's probably the gross thing. I've done in the last three years
[10159.97s -> 10165.92s]  Does it taste like cheese it tastes?
[10166.36s -> 10174.22s]  Like I feel like a cat just puked in my mouth and then somebody just sprayed
[10174.54s -> 10184.04s]  Like I can't believe it's not butter up my nose. That's kind of what it feels like. Is it ready?
[10184.48s -> 10206.15s]  It's ready. Is it time one minute. I'll tell you guys a story of how I
[10207.19s -> 10211.91s]  Never in my whole life. I've ever puked from looking at food or smelling food
[10211.91s -> 10216.99s]  I really haven't I haven't but one time I did one time
[10217.27s -> 10222.88s]  there was in the so my mother made eggs and bacon and like a breakfast spread, right and
[10223.76s -> 10228.96s]  After a few hours, you know, obviously it's like, okay, like it's clean it up put it everything in the sink and
[10230.28s -> 10234.00s]  Okay, we've got like there were there were dirty plates in there because we didn't have a dishwasher
[10235.04s -> 10237.20s]  at the time, I don't think and
[10237.20s -> 10245.34s]  in the sink with all like the dirty kind of breakfast plates was this one dirty plate that had eggs on it still just
[10246.35s -> 10248.15s]  like curdled up
[10248.15s -> 10254.62s]  Scrambled eggs wet and cold and it smelled like gross eggs and I threw up like I threw up directly
[10254.90s -> 10267.88s]  Into the sink on top of the eggs is the only times ever happen. Oh shit. No, I puked from Oreos, but no
[10267.88s -> 10273.38s]  I was sick though. That's a lie. It's not a lie. I was sick though. I was not sick for this story
[10273.38s -> 10277.56s]  That's not a that's a that's not a fake story. It's a real story. All right, here we go. You ready?
[10277.56s -> 10335.76s]  That's I wish I had some cheese dip. Ah shit. Ah, fuck. It's so bad. It smells rotten
[10335.96s -> 10349.59s]  50 subs but before but I that's not fair because I had to squish it because it wasn't it couldn't fit in here
[10349.71s -> 10365.17s]  All right, 50 subs fine. All right, fine 50 subs you get it
[10367.18s -> 10370.50s]  You can have to wait till I go go home
[10371.10s -> 10375.42s]  So if you want the subs, you're gonna have to wait till tomorrow
[10376.26s -> 10380.48s]  Cuz I can't I'm not even I can't do it right now
[10380.48s -> 10385.24s]  I did like my PayPal like credit card info like hooked up here
[10385.68s -> 10389.34s]  You didn't get scammed if you we're gonna be here tomorrow, too
[10389.34s -> 10406.43s]  Oh boy, I want to take a bite of this the cheese is kind of fucking me up. Oh, why did I eat that?
[10408.19s -> 10417.48s]  Like I'm not on like a game show where I have to eat gross shit now somebody hey somebody somebody already did it
[10417.48s -> 10418.88s]  I don't have to do it anymore
[10418.88s -> 10425.88s]  Okay, that's not good. Wait, listen to my voice. Did you hear this? This is bucket. I don't move nobody move
[10425.88s -> 10429.76s]  Nobody fucking move. This is exactly what I talked about in the past. Nobody fucking move
[10429.76s -> 10471.84s]  I need to keep this as long as possible because the cheese it's gone. God damn it. That's not edible
[10471.84s -> 10487.06s]  That's not edible. It wasn't edible coward. Let's just okay. I can't eat out of the trash
[10487.10s -> 10490.20s]  I'm a grown man. No. Nope. It smells so bad
[10490.72s -> 10500.43s]  Look at how much of a mess. This is look at how much of a mess it is to have kids
[10500.83s -> 10514.70s]  Look at how much look at how fucking hard kids are to have. I don't have any kids kids suck
[10514.98s -> 10527.07s]  Alright, I threw the tray away. I'll get it. Don't worry. I'm not gonna throw metal in the trash. We think I'm dumb
[10527.35s -> 10546.12s]  No, you cycle that shit. I'll get it later
[10546.64s -> 10549.52s]  Alright, what else is here?
[10549.52s -> 10559.91s]  I I feel like I should give this to my niece and she could actually have fun with it rather than me embarrassed myself
[10560.19s -> 10565.11s]  Like I mean, yeah, these are these would be these would be fun for like my niece to do
[10565.63s -> 10585.04s]  Someone's called me a wanker. My bowls are all dirty. I don't know if I could even do another one. Your niece doesn't want this
[10585.88s -> 10596.51s]  Yeah, she does. What who wouldn't want an easy bake oven? Dirty views the dirty bowls
[10597.03s -> 10606.57s]  This actually was fun though. I had a lot of fun doing this
[10606.57s -> 10616.27s]  I don't think I can physically make another one. I was supposed to do like six we did three
[10616.47s -> 10623.42s]  Let me see. Let me see. This one looks fun. Let me see. Let me see how fun this one looks
[10623.42s -> 10641.64s]  I just like opened my niece's present devil's food cake. Oh, this is this is a lot
[10642.24s -> 10658.75s]  Put it back. Put it back. Put it back. Put it back. Put it back. Just hold on. Stop stealing it from your niece
[10659.15s -> 10683.50s]  Fine. Don't worry. You got I do. All right. I got to clean that I got like gross cheese on it break the oven
[10683.96s -> 10688.90s]  Stop saying stop saying
[10689.66s -> 10695.68s]  Just the cock thing stop saying that you're gonna get in a lot of trouble with me personally
