[22.33s -> 23.53s]  Hey, what's up?
[6410.50s -> 6441.91s]  I don't have a revive check the right side and then i'll probably leave that's the only way
[6442.23s -> 6452.34s]  I don't want to fight this thing. Oh shit
[6454.00s -> 6472.02s]  What no, I thought I dodged it. All right, i'll be all right just die. It's fine
[6472.58s -> 6474.82s]  But I want to be able to get all the secrets
[6483.76s -> 6485.76s]  Germa i'm crunk right now. I think you're cool
[6487.68s -> 6496.79s]  I appreciate it. Thanks stunned can't do anything
[6510.92s -> 6512.92s]  No, I thought I was gonna be dead
[6514.76s -> 6530.80s]  Are you scrunk
[6530.80s -> 6538.61s]  No
[6538.61s -> 6541.65s]  They explained to the bernie meme in the discord. Oh, okay
[6542.21s -> 6548.74s]  What's the last time you played with playdoh?
[6549.14s -> 6551.08s]  That would have to be
[6551.08s -> 6552.68s]  at least
[6552.68s -> 6554.44s]  25 years ago
[6554.44s -> 6570.36s]  Dynamite wait, this is safe. No, you lied to me. You lied to me
[6570.76s -> 6576.95s]  I'm actually I feel betrayed right now. You lied to me. You said red line and that was a you lied to me
[6579.51s -> 6582.23s]  Oh
[6582.23s -> 6587.41s]  I'm definitely dead
[6587.41s -> 6603.59s]  Oh shit going no way. Goodbye. I do have a ton of meat though. All right, I gotta come back here
[6613.26s -> 6638.29s]  22 meat your max flesh rose, but okay 44 extra health is huge. It's so cool and freaky. It is cool
[6638.53s -> 6648.72s]  It is cool and freaky the executive balcony is down the stairs only those who have died three times are allowed there
[6649.57s -> 6652.69s]  Uh, I guess you qualify good job. You may proceed
[6655.20s -> 6667.06s]  Nice job swish swish axe found. Ooh
[6668.47s -> 6683.00s]  Time steals away like a stream. We glide hence away. I need a paper cup. That's extra mana who can use that
[6683.32s -> 6696.74s]  Okay, so this is a ton of damage but no nothing on it greatly increases maximum will points
[6697.30s -> 6702.92s]  Oh, I don't think I want that right now, but I definitely will take this
[6717.52s -> 6727.84s]  Maybe I should be like castor in a way how much more that's a lot. That's an unbelievable amount
[6730.90s -> 6741.70s]  Yeah, I think i'll keep it on well if I get a paper cup
[6741.70s -> 6756.74s]  I gotta remember where that is, but let me sleep on the cup. There we go
[6756.90s -> 6765.67s]  All right. So it was what color was the one where it just was red or is it green? I don't remember. What was it?
[6767.60s -> 6798.66s]  Is green right? Yeah. All right much stronger now and I think we have to fight this I think we do panorama
[6800.96s -> 6833.46s]  45 damage that's a lot hit all of them. That's good. Yeah, i'm gonna use uh, stay dust as a caster killer poison
[6833.78s -> 6848.96s]  I think that the one in the middle will die. I'm poisoned right get that connor attack out of here
[6849.60s -> 6862.90s]  James freaking me out dude. Take a quick break another paper cup
[6863.65s -> 6876.44s]  Take a quick break and come back or not, you know, maybe get some food in you too muscle
[6877.27s -> 6893.83s]  All right, i'm afraid but i'm gonna do it you you inadvertently destroyed it what what just happened those things kill you instantly
[6894.15s -> 6913.08s]  Holy shit. Okay. Well, let's try it again. Did I get everything that was down there?
[6913.40s -> 6930.37s]  You ignored the sign at the beginning. Oh, those are the skulls. Well, I didn't well
[6930.45s -> 6932.63s]  I don't know what it meant by that
[6932.63s -> 6937.27s]  Everything this game is so wacky looking. I didn't know that. I don't know. I don't know what that thing was
[6937.67s -> 6968.72s]  300 bucks nice. All right. Well, I got everything here. I got everything here. So where have I not gone?
[6971.40s -> 6976.71s]  I guess I could walk around out here. Have I explored all this area yet?
[6976.95s -> 7000.21s]  No, there was that big that like big vault. I wonder if i'm strong enough orange
[7000.45s -> 7022.26s]  Which I would orange or blue blue I think right i'm pretty sure it's blue and then from blue
[7022.82s -> 7034.40s]  Was he up or was he I don't remember where he was. What was that guy the vegetables?
[7034.80s -> 7048.52s]  Oh, yes vegetables vegetables vegetables part two is even better. I mean, this is great
[7076.10s -> 7082.64s]  All right, where was that guy? It was green crystal and then from green
[7083.04s -> 7098.05s]  I just kind of don't remember where he was. Where do I go over there? Where do I go?
[7102.00s -> 7104.87s]  It's green. Where do I go?
[7105.27s -> 7126.71s]  Teleporter in the skull maze. Well, I would need to die right just go to green die and go to green
[7126.87s -> 7136.16s]  It's in the middle
[7136.16s -> 7152.05s]  Uh, okay go to the warp station. I think I don't have to be dead to be at the warp station
[7152.29s -> 7161.24s]  I thought that's the afterlife. Isn't it? Oh, yeah. Yeah. Yeah. Yep. Yep. Yep. Yep. Yep. Yep. You're right
[7161.24s -> 7194.29s]  You're right. Yep forgot about this. So you think i'm strong enough to fight this thing find out maybe I mean
[7194.29s -> 7233.01s]  This is a lot. Let's try it. I can't like go around or anything, right? Can I sneak in? All right, i'll fight him
[7233.33s -> 7248.64s]  I wonder what the strategy here is take out the ads first. Yeah, and then let's do a panorama
[7249.20s -> 7268.23s]  All right, that hurts a lot
[7268.23s -> 7269.11s]  shit
[7269.11s -> 7279.84s]  There you go. Just don't die
[7291.43s -> 7292.31s]  Nope
[7292.31s -> 7304.26s]  I think we're okay
[7304.26s -> 7305.38s]  Jesus
[7305.38s -> 7312.29s]  Oh, that's all that's self only
[7313.62s -> 7315.78s]  Oh, I thought that was okay. I'll just heal
[7319.86s -> 7325.12s]  Uh-oh
[7325.12s -> 7342.16s]  Oh, thank god one health. Damn. Okay
[7342.96s -> 7359.28s]  The one on the right has been confused almost the whole time. I think we're good
[7359.52s -> 7375.75s]  That's not gonna cause a problem, right if I don't kill the ads first
[7376.55s -> 7378.95s]  Oh, all right. Let's do it. There's a lot of money back there
[7379.51s -> 7389.96s]  22 damage. That's it
[7389.96s -> 7405.68s]  good again
[7405.68s -> 7412.31s]  Dps race. I did it only 75 bucks
[7412.87s -> 7423.86s]  I kind of feel bad
[7423.86s -> 7428.18s]  Artificial bicep was found 50 bucks
[7430.84s -> 7462.12s]  That's it 100 bucks and that's it. Well, there's a tv in here detonation artificial bicep increases
[7462.52s -> 7478.72s]  HP and strength. What was that new power detonation inflicts 250 percent damage
[7479.36s -> 7481.80s]  Slow casting speed
[7481.80s -> 7491.24s]  Can you do that too? Jesus thermostreams in 864p because maximum bitrate allowed by twitch is 6 000
[7491.32s -> 7493.56s]  1080p 60 is too large for that barrier to look good
[7494.82s -> 7501.17s]  Well, you can make 1080 1080 6 uh, 1080 30. This is fine. 1080 60 is okay, too
[7501.57s -> 7512.36s]  It's I prefer it the other way. Why did I read that? I don't know. Why are you reading the
[7512.84s -> 7514.84s]  You're reading the bot messages. I don't
[7515.32s -> 7517.32s]  I don't know. I looked over and I saw it
[7517.88s -> 7521.16s]  I saw somebody do that emote where i'm like blah blah blah blah blah blah blah
[7521.16s -> 7528.34s]  I thought they would I thought they were talking shit. So it was that's an official message. Oops. That's my bad
[7540.55s -> 7550.29s]  All right. That's good. Let's go this way. What what?
[7552.44s -> 7556.76s]  Why why is there uproarous laughter right now? I'm missing something
[7558.64s -> 7585.80s]  What's happening? Visitors are rare. It's hot. Ow. Oh, don't touch it. This dude is beefing with his own nightbot
[7586.12s -> 7599.94s]  All right. So is there anything else to do in here?
[7606.64s -> 7612.08s]  Well, I don't know. I chat moves really fast sometimes and I I look over and it's
[7612.48s -> 7618.00s]  I just see somebody's doing that emote and that emote usually means like oh look at me
[7618.08s -> 7622.80s]  I'm german and I fucking talk too much. So i'm like, all right, so whatever fuck you bro. I'll tell you why
[7628.87s -> 7662.31s]  I thought it was somebody's like talking shit the bird fighting its reflection. Ooh, look at this
[7666.12s -> 7680.98s]  Yeah, wait, no. Whoa, I feel like there's a boss. All right, I don't get overwhelmed. Let me go this way
[7691.65s -> 7710.32s]  Bat-chest me you'll get timed out for that god. Are we ready for this? Only one way to find out vegetables
[7721.96s -> 7738.12s]  You crushed it. What please don't touch the device or i'll have to destroy you. It's a living nice weather
[7738.12s -> 7748.42s]  Hmm, please don't touch the device. This thing controls the harbor gate touch it unauthorized access detected manifesting horrid projection
[7748.66s -> 7770.64s]  Oh dear detonate
[7770.70s -> 7772.70s]  18 damage that's it
[7780.90s -> 7806.39s]  250 damage. All right, that was good. Maybe detonate with this character
[7806.87s -> 7836.29s]  Will be crazy. Yeah detonate. Oh, all right. Yeah do that again. It's a lot
[7836.85s -> 7852.60s]  Okay, i'm out of that, but I think it's fine. Let's attack normally. Don't be stupid. Yes
[7860.05s -> 7863.72s]  2,000 bucks got a muscle
[7864.52s -> 7865.96s]  that leak
[7865.96s -> 7875.89s]  Harbor gate opened. Oh, that's where I couldn't get out from. All right. Nice. Very cool
[7876.13s -> 7889.17s]  Let me get out of here now without dying. There was some shit over here though
[7893.14s -> 7902.05s]  I hope this is not like a big boss. I heal wonder if this thing's friendly
[7928.40s -> 7939.12s]  Mods can I read that that's funny. I just I have to read that like am I allowed to read that somebody just got timed out
[7940.18s -> 7946.63s]  This is what they said. Fuck this guy this germadude this streamer. I hate his streams. I hate his voice
[7946.87s -> 7953.35s]  I hate his face. I hate this game. I hate this chat. I hate twitch. I hate videos. I hate the internet
[7953.67s -> 7958.47s]  I hate this keyboard. I hate computers fuck electronics. I fucking hate this chair, too
[7958.79s -> 7968.40s]  I'm gonna just i'm gonna give you just a small
[7969.52s -> 7973.30s]  Small piece of go get like a glass of water and maybe come back
[7974.18s -> 7977.14s]  I hate this chair. Hopefully you get like a better chair man
[7977.88s -> 7980.68s]  Like everybody deserves like a chair, right a good chair
[7982.82s -> 7985.38s]  Get a glass of water. I hope you I helped like you feel better
[7985.86s -> 7996.68s]  Get a glass of water and then then come back. I hate the internet. I hate this chair
[7996.92s -> 8000.28s]  I hate this keyboard. I like this this keyboard, too
[8000.84s -> 8009.20s]  I hope you're doing all right, dude, seriously
[8009.20s -> 8019.86s]  Sometimes you just gotta let it out. Yeah in the event that this thing is hostile. I'm going to do this
[8020.34s -> 8051.84s]  Let's find out where to go. Where's that big thing? Where did that thing go? You passed it? Oh, right, right, right
[8051.92s -> 8056.60s]  Okay, hold on. Wait, I'm going over
[8056.68s -> 8084.90s]  There's a little thing here access terminal god. Where am I? Oh
[8086.02s -> 8092.55s]  Different part of the world interesting
[8106.52s -> 8130.36s]  Thousand bucks, that's a lot. Let's see who's in here tv. Oh, hey wane
[8130.76s -> 8135.36s]  I left my magic gauntlets in the basement and now it is infested with ambulance skulls
[8135.76s -> 8138.48s]  Maybe you could help me retrieve them. I mean the gauntlets
[8139.12s -> 8142.71s]  We should avoid the skulls. Oh
[8143.59s -> 8149.64s]  Sam snossa has joined the crew. Oh new party member
[8157.64s -> 8179.04s]  Any leech inflicts queasy status on one enemy trains enemies flesh point. Do we all learn it?
[8179.54s -> 8194.42s]  No, we don't be on this window frame a
[8195.50s -> 8209.68s]  Phantasmagoric tableau unfolds and whatnot. You can clean yourself off in the sink. Uh, sure burrito in the toilet
[8209.92s -> 8233.81s]  Ouch, though and sleep on it. Nope. Nice empty. How do I get that?
[8242.05s -> 8247.51s]  Wait
[8247.51s -> 8259.96s]  Nope, I thought I could be um juice box. I get that trash can
[8260.20s -> 8292.00s]  All right, so I can't fight any of this. I have to avoid it. I gotta use my pac-man skills person hostile
[8299.48s -> 8300.77s]  Hey
[8300.77s -> 8306.85s]  Roach food. I've got your roach food a thousand bucks for some roach food feels like this come once in a lifetime
[8307.72s -> 8326.13s]  Sure, that's a roach food couch money. I'm in trouble. How do I get out of this?
[8341.14s -> 8363.06s]  Shit, they're camping. I don't you don't uh, wait, what if I can I sleep and reset your assholes get out of the way
[8365.38s -> 8387.30s]  Get out of the way. I I think I have to die. Well, oh, yeah, you're right. I got that teleporter. That's right
[8387.54s -> 8406.13s]  Wait, where's my friend? Where's the new friend? I had a new friend. Where are they? They're not dead
[8420.21s -> 8427.99s]  Oh, all right. I was gonna say like that sucks. Is this did we does this count too then?
[8434.02s -> 8444.20s]  Okay, there we go. Look this chair this chair dude this chair. I hate chair streams. I hate his chair
[8444.28s -> 8449.16s]  I hate chairs. I hate this chair. I hate his chair. I hate that chair. I hate his chair
[8449.48s -> 8453.99s]  All right. I see we're see we're going uh off the deep end with this one
[8458.16s -> 8476.64s]  All right. I don't I want to go to the right. No, I don't there's nothing there. Shit reset it. No
[8481.11s -> 8509.54s]  Shit, okay gloves acquired magic gauntlets weird
[8516.13s -> 8531.96s]  Okay, so now I this is the person permanently in the group magic gauntlets
[8532.66s -> 8537.06s]  These gauntlets allow their wearer to convert various creatures into mightiness
[8537.38s -> 8573.43s]  Seems like a lot of damage another bicep too. Ah, there is you're right. Is that better than this demon skull helmet wrought from the skull?
[8573.59s -> 8613.56s]  So I think this is a placeholder, right? So that's that go back this way use the computer. Is this game too weird?
[8614.45s -> 8636.69s]  Um, I don't think so. This game is just weird enough. I like it. Stop ignoring me into a funeral stream
[8639.24s -> 8640.12s]  um
[8640.12s -> 8673.30s]  There is I touch it right? No, no, no, no, I don't know. This thing is kind of scary. Should I
[8678.00s -> 8687.73s]  Deutoplasm can I interact? Oh dear
[8696.77s -> 8701.62s]  Uh, all right detonate
[8707.60s -> 8711.09s]  confusion
[8711.09s -> 8712.21s]  bubbles
[8712.21s -> 8717.96s]  Let's go
[8717.96s -> 8722.58s]  three
[8722.58s -> 8723.38s]  Oh
[8723.38s -> 8726.76s]  That hurts
[8726.76s -> 8730.28s]  That did a lot of damage though. Hold on. I might be able to survive this
[8737.36s -> 8747.86s]  That's a full heal
[8747.94s -> 8760.44s]  Bleaches up expensive should I try it? Oh, it's right. It's a drain. All right. No, no, we're good. We're good. We're good
[8760.44s -> 8761.40s]  We're good
[8761.40s -> 8788.47s]  I think I'm as long as I can keep this up ancient odor
[8790.63s -> 8792.63s]  Oh poison that's bad
[8797.70s -> 8804.88s]  uh, oh
[8804.88s -> 8807.04s]  uh
[8807.04s -> 8823.80s]  Status come on. Don't hit wane
[8824.52s -> 8843.35s]  good
[8843.35s -> 8844.55s]  detonate
[8844.55s -> 8850.16s]  Sorry, I got the guard on it's not bad
[8854.71s -> 8874.66s]  60 damage nice. I feel like I don't want to use the dynamite. I think we're just going to tack tack
[8875.75s -> 8877.75s]  You use vegetable on you
[8878.07s -> 8880.07s]  Then you use vegetable on yourself
[8882.05s -> 8889.60s]  Yes
[8889.60s -> 8892.37s]  What I get?
[8892.37s -> 8913.89s]  Jerkin parasite crystal. Ooh, is that all I can do? What did I get this?
[8914.37s -> 8918.02s]  Sensible everyday wear for the modern machine prevents paralysis
[8918.50s -> 8931.76s]  Okay, we should wear that probably you um snasa
[8939.09s -> 8941.09s]  Yeah, okay prevents paralysis
[8945.92s -> 8954.63s]  Reequip the skull. It's one of the best head pieces. Is it I huh? What is it doing?
[8955.52s -> 8969.28s]  Demon skull, what are the stats on it? It's health. It's more hp
[8971.46s -> 8980.23s]  Okay
[8980.23s -> 8982.23s]  Keep that bell on what about you?
[8982.87s -> 8988.28s]  artificial bicep
[8988.28s -> 8993.92s]  Are we the poncho there? Right toilet paper is very awful
[8997.12s -> 8999.12s]  141 versus
[9001.09s -> 9008.87s]  Yeah, it's better. Telepaper really does not do anything. You can I can optimize too if I really wanted to
[9009.67s -> 9013.60s]  Well, there we go. That's fun
[9013.60s -> 9035.00s]  Back to it. So now I can leave the leave the dock thoughts on the game so far. I think it's great
[9035.40s -> 9051.81s]  Didn't want to do that. It's kind of like
[9051.87s -> 9058.42s]  Earthbound went through a bunch of I mean, it's like a really cool art piece
[9058.74s -> 9065.60s]  The music's really cool and it plays sort of like that earthbound kind of the party and do you have to I mean
[9065.84s -> 9074.76s]  It's I like it. It's really cool. Did I explore everything here? I believe the answer to that question is yes
[9085.99s -> 9093.56s]  Correct. It is an rpg, right? But it's it's like a television screen rpg. Here's what I mean by that
[9094.04s -> 9097.99s]  When you get into a battle your party members are not on the screen
[9099.17s -> 9102.98s]  It's just you you're like a pov
[9104.48s -> 9125.35s]  RPG pov traditional turn-based rpg dragon quest does this and like and like the like the psychedelic powers and stuff
[9125.59s -> 9142.04s]  I mean, that's earthbound just happened. Whoa, where am I? What's going on?
[9142.85s -> 9152.02s]  Whoa, what just happened wane wrongfully prepares many behaviors, but doth he sniff his vessel near truths
[9152.26s -> 9159.96s]  Digest the offending doom in prisons consider the dirt. Meanwhile at the moon palace gibby pilots
[9160.60s -> 9166.02s]  Soon our shrunken radiance will be greatly shunned. Every pain is a
[9166.66s -> 9168.56s]  Whatever that word is
[9168.56s -> 9190.87s]  Monculus and every chemical is like melancholy biscuit. What does it do? I just punched that thing. Should I not be doing this pneumatic?
[9190.95s -> 9220.92s]  I know. Oh your telephone interesting. Very cool. All right, we can keep going
[9221.67s -> 9236.50s]  But I want to go purchase stuff first. Yeah, the gate should be open
[9236.50s -> 9259.12s]  No, looks like it is. I'm I get 6,800 increases will buy 50. I don't know. That's a lot of money
[9259.44s -> 9281.44s]  I sell this stuff dude. You're rich. It's fine. I don't think so. You got a muscle thing in your inventory
[9285.03s -> 9307.28s]  Yeah, who can wear that? Wait
[9313.00s -> 9313.96s]  Wait
[9313.96s -> 9318.76s]  what oh
[9319.00s -> 9321.00s]  What does that mean?
[9321.00s -> 9335.67s]  Okay, permanently increases mightiness by two. I feel like it's going to be wane, right? Give wane the heaviest attacks
[9335.91s -> 9365.27s]  I think that's probably what i'm gonna do. Okay, so wane is now permanently right 59 mightiness. Nice
[9365.59s -> 9398.21s]  I need to go to the vegetable garden. Ooh
[9401.62s -> 9430.32s]  Two weapons I could give it to wane. I think i'm gonna give to wane. Okay
[9431.06s -> 9437.67s]  Mac greatly increasing maximum will losing mightiness though
[9441.32s -> 9459.27s]  Oh, it's because I lose the bicep. Damn it. Is that all right? I think I need another axe first
[9459.35s -> 9483.51s]  Let's give it to you. I don't have another instrument for you. At least for all that is holy use your muscle
[9483.51s -> 9488.37s]  I did I did you you went to go blow your nose and you came back or you went to go like
[9488.61s -> 9491.41s]  You went to go heat up a snack or something and you came back and I did it already
[9491.57s -> 9507.00s]  All right. Well, I have it now and when I find a good weapon, I will replace this go
[9508.66s -> 9527.01s]  He has no idea what he's doing. I have an I have a general idea. I have a general idea
[9527.33s -> 9546.02s]  Tell us then well, I mean I have no idea what's going on in the story
[9546.10s -> 9552.69s]  It's like a pretty trippy kind of cool interesting game and i'm just enjoying the ride and the music
[9553.25s -> 9558.87s]  And chill vibes and the the numbers that go up on screen i'm chilling out with that
[9562.39s -> 9576.56s]  That's the mountain. So I think i'm good and I go up to the vegetable garden. That's code for I don't know what's going on
[9578.72s -> 9604.44s]  I'm fine though. I whatever you whatever relax. Let me see. Where's the bugs?
[9605.86s -> 9612.96s]  Oh give roach food. Should I yes. Thanks for the snack. You can have this. Excuse me
[9613.36s -> 9639.04s]  What I just get shield made from a venerable beast. Wilder is immune to poison better than a trash can lid
[9639.28s -> 9651.75s]  This game has a meat grinder and bug food. Yeah, that's I mean, why have you not bought this yet?
[9651.99s -> 9679.22s]  How much is this game? It's like three dollars this game is I think it's less than three or four dollars. All right, let's move
[9690.50s -> 9729.81s]  Where should I land? It has to be a dock. Oh, we went over here. Whoa. Yeah, let's try this. There we go
[9734.40s -> 9741.12s]  Oh, what the hell is going on here?
[9741.76s -> 9744.61s]  Okay, this is where all the ladders are
[9757.09s -> 9772.87s]  So that all right, i'm gonna take like a screenshot of that get away from us. Whatever. Just kill it
[9773.80s -> 9779.57s]  I just got this intense craving pepperoni pizza
[9780.39s -> 9788.82s]  I'm so glad that there is pepperoni pizza in firm with you all and just confirm
[9789.57s -> 9824.10s]  There is a pepperoni pizza in the fridge. Don't worry bade magic or something. Well, let's try to kill a thing in the mill shit
[9826.69s -> 9834.66s]  There we go. So how do I hurt these bubbles?
[9835.97s -> 9869.28s]  Maybe the shirkens try the shirkens. Does it work? It does. Okay poison you're draining my mp
[9871.38s -> 9873.75s]  What I can't even do anything
[9873.83s -> 9888.87s]  I think i'm dead. I don't have any juice boxes and I could do dynamite, but that sucks. I want to save it
[9889.11s -> 9921.24s]  It's fine. You'll get more. I'm scared fine. It doesn't kill anybody. I didn't kill anybody
[9923.38s -> 9928.13s]  Now it's it's over and I just wasted a dynamite now i'm pissed
[9934.04s -> 9948.63s]  Wait, do I have I think I have wait a minute just die. What you what I thought you
[9949.35s -> 9953.51s]  Wait, no, I didn't want to you said but you told me I couldn't do that
[9953.91s -> 9990.16s]  You guys told me I couldn't do this you lied to me. What does this do? I can't touch this
[9991.04s -> 10030.40s]  That maneuver. No, i'm stuck my hand. So I had this thing when I've already used arrow keys
[10031.43s -> 10062.40s]  Um, my hand really hurts my fingers kind of get hurt. I'm an old man. Sorry. No, I didn't want to fight you run
[10063.04s -> 10082.82s]  Get away from me. Get away from me. I have to open every single gravestone. I have to this is why I can't play luigi's mansion
[10082.98s -> 10086.10s]  Everything needs to be like everything has to be sucked up
[10086.50s -> 10092.12s]  Everything has to be touched like all like all I have to suck up everything you give me. All right
[10092.12s -> 10097.43s]  I think i'm in trouble. Oh
[10102.59s -> 10104.24s]  soft-locked
[10104.24s -> 10105.75s]  Yes
[10105.75s -> 10119.20s]  Okay. Okay. Hold on. I have to die. I'm soft-locked. Thank god. All right
[10133.14s -> 10138.56s]  Oh, can I actually fight you or what? Yes. All right. We're good
[10138.88s -> 10150.23s]  Is there any way that I can remap my arrow keys to be WASD like in windows or something?
[10150.39s -> 10168.23s]  You need to do like a script to do it joy to key auto hotkeys. Yeah, I used auto hotkey before
[10170.61s -> 10196.93s]  Um, all right, let's go with the one on the left first heal you tilt your keyboard. Wait, wait a minute
[10196.93s -> 10198.29s]  You mean like move it?
[10198.29s -> 10212.16s]  Hold on then I have to hit space though. I'm gonna play with my arms crossed. I think i'm playing
[10212.16s -> 10217.70s]  Yeah, i'm gonna go arms crossed. My left hand is on the arrow keys. My right hand's on space
[10218.96s -> 10226.23s]  Turn it upside down. The enemy on your left has your hair style
[10235.57s -> 10273.78s]  It's literally you it's not literally me big damage coming out. I didn't mean to pass don't even oh come on
[10273.86s -> 10281.27s]  I should have killed this thing on the right first keyboard manager enable keyboard manager remap keys
[10282.18s -> 10299.25s]  Oh, wait, how do I do that keyboard manager? Hold on keyboard manager keyboard hardware speed
[10299.65s -> 10324.23s]  Where do I go? Oh, I have to it's a dinner. I can't everyone. Sorry crossing my arms. It's fine. There we go
[10324.39s -> 10337.73s]  I hate this keyboard. I hate this chair
[10339.01s -> 10371.27s]  Our toys is good 1200 bucks meat meat meat meat. I'm imagining I probably have to activate all these things
[10371.51s -> 10387.83s]  Let's give that to me. I'm wayne's gonna be the one that does all the damage. All right, let's keep going
[10391.57s -> 10422.31s]  Why can you phase through walls? So unfair the other one's up here over there. Yes, don't fight me
[10423.56s -> 10434.95s]  uh
[10434.95s -> 10460.29s]  Get out of the way get out of my way. There it is. Ah, you know what? Let's get the experience. These things are fine
[10460.61s -> 10465.01s]  It's jerbo. Oh my god. Look at their hands to the left
[10467.33s -> 10474.10s]  Whatever
[10474.10s -> 10505.30s]  It's uh, what I there he is. I think one hit will yeah, geez kill it
[10506.20s -> 10535.38s]  Only five why is some snosses only doing 15 damage? There we go. Lots of meat cool
[10537.80s -> 10550.08s]  This among I don't want to run out of vegetables that dudo plasm
[10550.64s -> 10562.36s]  Seems really really important. It's a full everything heal. I don't want to use it. I'm gonna be stuck here. I think i'm stuck actually
[10568.34s -> 10584.28s]  Yeah, try to get down the ladder. Nice. All right
[10587.04s -> 10598.60s]  All right. I made it. Meow tv, please get out of the way
[10598.60s -> 10607.67s]  I want to see the tv get out of the way. I want to watch the tv. Oh, it's microwave
[10607.91s -> 10622.20s]  Is there a reason to not do this with all the burritos or should I do it for all of them?
[10622.36s -> 10645.48s]  This is just better consider text consider text consider text thy prison safe. Okay weird
[10645.72s -> 10647.41s]  All right
[10647.41s -> 10650.45s]  I can actually fight these things now and I have to remember that magic's the only thing that can hurt them
[10654.07s -> 10670.74s]  All right special a lot of health seriously
[10682.72s -> 10704.64s]  Damn, oh shut up with this. All right. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no
[10705.59s -> 10738.77s]  Get that status off. Thank you. What the hell? Why do you have so much health poison?
[10742.50s -> 10758.18s]  Shit die
[10758.18s -> 10783.51s]  What the hell will the poison eventually kill the one on the right? I'm out of mp
[10787.65s -> 10797.08s]  I can't I can't win. I have to leave bubbles on the one on the left
[10797.32s -> 10807.17s]  I think that's all I can do just hope the poison kills it. Okay
[10811.64s -> 10812.76s]  Die
[10812.76s -> 10821.67s]  Guard everybody guard until somebody dies from poison the one on the left
[10822.15s -> 10852.23s]  This is like more than three four five hundred damage. No, no, no, no, no, no, no actually
[10852.23s -> 10894.72s]  No, I can fight you. I don't even have to hog champ go go go. I think that's it down here hog champ
[10906.56s -> 10931.22s]  Food tv person health chant. Is that all of them or is there more one in the middle? Oh get out of the way
[10934.87s -> 10942.82s]  Oh my god
[10942.82s -> 10956.84s]  No the shit in the way passion three five four
[10956.92s -> 10961.96s]  No, i'm five seven and five eight with shoes on and that person for a whole at least one full day
[10962.20s -> 10986.76s]  It's blinking. Did I do it? Wait, was that blinking before? I don't remember but let's just kill this stuff as I can
[10989.76s -> 10994.64s]  No, no, no, no, no, no, no. I didn't want to do that. I hit right right like just passes and I didn't want to pass
[10994.88s -> 11022.69s]  Oh, that's bad sour patch kid. I gotta look at some snaus's gear because we are not hurting anything with that character
[11035.16s -> 11057.28s]  Yeah, 65 63 15. Oh, no, no, no it is. Okay, they're they're attacking out of order. I'm not supposed to clear it
[11057.52s -> 11105.72s]  It's based on speed. Yeah. Oh my god. That was bad. No, no, no
[11105.72s -> 11120.13s]  I want you to be healing people and you to attack. Yeah, i'm five i'm five
[11120.71s -> 11135.25s]  Hey, man, who gives a shit how tall anybody is something moved above ground
[11135.65s -> 11144.39s]  You could be six feet tall you could be seven feet tall you could be five two you could be five one
[11146.40s -> 11150.88s]  We're all so different. We all have our own things that we can do
[11151.52s -> 11153.52s]  We all have different skills
[11154.80s -> 11157.36s]  And time out everyone saying five
[11158.24s -> 11160.96s]  You know what I mean time about get them delete them
[11163.27s -> 11190.90s]  Something moved above ground. What was it? I actually like being shorter
[11191.22s -> 11203.14s]  You know how like how how much better it is to like and I can like nap on the couch perfectly great
[11205.44s -> 11211.33s]  Well, yeah, this is that's fine. Do you want to cope? I can fit into little places and shit. It's great
[11211.73s -> 11236.26s]  I don't give a shit how tall I am up here. Maybe what is going on here?
[11236.50s -> 11239.22s]  Somebody stashed two frozen burritos here. Ooh
[11241.36s -> 11247.51s]  Yeah, yeah, no, don't ever forget who actually threw the ring into mount doom. Don't forget who did that
[11248.79s -> 11257.88s]  It wasn't a gigantic orc. It wasn't gandalf. Who was it? Who did it? Huh? Who did it?
[11258.12s -> 11268.77s]  Well, yeah, but yeah, but yeah, but yeah, I don't hear any rebuttals to that
[11276.53s -> 11288.60s]  Gandalf what I've gandalf. How do you pronounce it? Get it's gandalf gandalf. That's how you say gandalf
[11288.84s -> 11337.17s]  Something happened above ground. What happened? Oh this happened gandalf gandalf
[11355.40s -> 11373.60s]  Demon skull was found. I already have one of those but cool weird. That's good
[11374.24s -> 11381.11s]  Uh, let's attack normally. No, I wish I didn't do that. That's right without being selected
[11381.11s -> 11412.20s]  It just passed the turn. Did it work? I didn't see. Ooh, they're hurting each other. Nice fused
[11412.68s -> 11427.43s]  Who has the anti-paralysis on somebody does meat found meat found?
[11445.22s -> 11451.84s]  Water blue blue was the heaven above me and the earth green at my feet
[11452.40s -> 11461.81s]  Oh life. Oh life. I kept saying and the very word seemed sweet gather our platinum art
[11461.97s -> 11464.13s]  He said and spirit considers our doom
[11464.83s -> 11492.58s]  Vegetables feel like i'm being prepared for something duck blade was found
[11493.22s -> 11501.03s]  small chance of lowering targets mightiness
[11503.00s -> 11505.16s]  Duck blade, is it worth?
[11505.16s -> 11507.16s]  putting on the
[11507.16s -> 11512.26s]  this thing
[11512.26s -> 11514.84s]  78
[11514.84s -> 11528.10s]  All right. Nice. I don't care about the blindness right now. This is probably better
[11529.36s -> 11531.36s]  That is what i'm gonna use
